tissue,name,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
Liver,"(2Z,4E,6E,8E,10E,12E,14Z)-15-(6-Hydroxy-4,4,7a-trimethyl-2,4,5,6,7,7a-hexahydro-1-benzofuran-2-yl)-2,6,11-trimethyl-2,4,6,8,10,12,14-hexadecaheptaenal",-0.024771494269911074,-0.020645380863644328,-0.03573195515219962,0.0019515690397037071,0.04212932954022513,-0.04229407553433659,-0.009065454397862853,-0.024134658948402703,-0.05941649879965259,-7.770366181867329e-4,-9.694342012717777e-4,-0.012355045197451226,-0.009654524546529588,-0.008158030069528028,0.013397833878117073,0.00681609595573366,-0.010118517845681645
Liver,"(3s,6R,7S)-6,7-Dihydroxy-8-methyl-8-azabicyclo[3.2.1]oct-3-yl (2E)-2-methyl-2-butenoate",0.02866070150137535,-0.015958185437891938,-0.010401273812864022,-0.05517391031789237,0.006220448704042649,0.0036422465469659678,0.0252950518227103,-0.02594902002569561,-0.0033800274256673684,0.03316797680531332,0.050182642635755836,-0.0012181807533139053,0.025576900974698256,0.007172839678068614,0.021479716193081415,-0.04124067686935445,0.010695588362342408
Liver,"(4E)-5-[(2R,3aS,5R,5′R,6S,6″S,7aS)-2-{(S)-Hydroxy[(2R,3R,5S,6S)-2-hydroxy-3,5-dimethyl-6-{3-[(1′R,2R,2′S,3R,5S,6′S,8′R,10′R)-3,5,10′-trimethyl-8′H-spiro[piperidine-2,4′-[3,7,12]trioxatricyclo[6.3.1.0
~2,6~]dodecan]-8′-yl]-1-propen-2-yl}tetrahydro-2H-pyran-2-yl]methyl}-6-methyl-2,3,3′,3a,4′,5″,6,6″,7,7a-decahydrodispiro[furo[3,2-b]pyran-5,2′-furan-5′,2″-pyran]-6″-yl]-4-pentenoic acid",0.02348910545237735,0.01121846424949096,-0.011506380713146885,-0.00940613453780991,0.038374415626683936,-0.00606578011364796,0.021480879563388084,-0.05659159362454531,0.010196744776007368,0.005147630008195494,0.003530368943472624,-0.003512392721853409,0.08986626341028758,0.03544968852176227,-0.0014438492447507497,-0.013604059593011381,-0.0049022316211222265
Liver,"(4Z,7Z,9E,11E,13R)-13-{[(2S)-2-Amino-2-carboxyethyl]sulfanyl}-14-hydroxy-4,7,9,11-octadecatetraenedioic acid",-0.0171353120469566,-0.005290338714830961,-0.035769794369387625,-0.029422294671880893,0.001082422823580816,-0.006296393051802141,-0.03394772972836247,0.01298716016774551,0.011281153961903526,0.07971869280932405,0.0335737640146256,0.016045291875953986,-0.0146185280743143,-0.03197316804104087,0.044860456137703494,0.021010607807903297,-0.005164383369196262
Liver,"(5Z,8Z)-Tetradecadienoylcarnitine",0.02111408152382313,0.021970982333485815,0.020588695176285955,0.06791569503162895,0.010762919580497611,0.0040672993048670985,0.030404973805256634,-0.02481328681495652,-0.0035072660360643817,6.605238759861522e-5,0.014476723065930407,0.030382766699412016,-0.004222945190166944,0.020413194264878882,-0.015586098018812562,-0.0327925818631342,-0.017689370671441104
Liver,(5α)-Androst-3-en-17-one,-0.03916853032623843,0.010372590417718501,-0.01544133983416335,-0.00889705151350249,-0.03542615549196037,-0.027580028927326344,-0.03220530241922611,0.004273658724402142,-0.049230016777439704,1.9169133115222122e-4,0.04388065704641454,-0.01587713682338191,0.0059186541618638285,-0.005297339599489479,-0.002890041417517254,-0.00482899911718976,-0.012957299938871214
Liver,"(6Z,9Z,12Z,15Z)-6,9,12,15-Octadecatetraenal",-0.042400664889061704,0.018644352311643127,-0.03455529619236485,0.012243312720628004,0.009390589720046121,-0.0012767152271421882,-0.0013632948641494945,-0.01656878993959334,0.033061457894515235,-0.03130758367287667,0.0033097752645652456,-0.04353368262468902,-0.0012491995836067334,-0.015606526894423425,-0.008542348682826056,-0.0014396344558845473,-0.023957748589336768
Liver,"(6Z,9Z,12Z,15Z,23R,29S)-26,29,30-Trihydroxy-26-oxido-20-oxo-21,25,27-trioxa-26λ~5~-phosphatriaconta-6,9,12,15-tetraen-23-yl (4Z,7Z,10Z,13Z,16Z,19Z)-4,7,10,13,16,19-docosahexaenoate",0.03951572390431916,0.009700430149565694,-0.03973324439921188,-0.01626758573322819,0.034189072755275926,0.0155935447923704,0.03281150245859736,-0.019188241385039155,0.020930546340965722,0.010024773598417079,-0.009930943723809255,0.006543505070341425,0.01889468905204844,0.0017406728348612623,0.008787403011253837,-0.007337096711424323,-0.028066283024734524
Liver,"(7Z,10Z)-Hexadecadienoylcarnitine",-0.012255806551480173,0.051450340047962846,0.017943907643283533,0.02400980481744706,-0.018756102639211458,0.027133907794188228,-0.023444891689568176,-0.01624744757546501,0.015983237248008625,0.04131413608133353,-0.002067902273588271,-0.027734323615408327,-0.00549662832094457,-0.039738319303754745,-0.023358616433931313,-0.027215865123356452,0.009399139245497228
Liver,"(8E,15Z)-1,8,15-Heptadecatriene-11,13-diyne",-0.033238076164037254,-0.018345968258003297,-0.027563203307500353,0.00873331957997184,0.006880200863392373,0.018018081016583788,0.018066111027251947,-0.027879704223111524,-0.022865659506351006,-0.049303913902420456,0.0029945559630364244,-0.01853701604046611,-0.03089842501727348,0.04832925993504675,0.04183214669651688,0.031670189679259664,-0.011314990629972736
Liver,"(8Z,10E)-Dodeca-8,10-dienoylcarnitine",-0.014310979898154127,0.050050312657199676,0.023013631330795835,0.017176351208275525,-0.013558565398312076,0.01087113322144033,0.01829675884060591,0.0026609625620893002,-0.0380706666162761,-0.04104371076972477,0.009152792370729974,0.041408751593857845,0.0071233909466214985,-0.042911224366622765,0.02416130139372588,-8.49488572783231e-4,0.011352497875347986
Liver,(9Z)-9-Octadecenamide,0.0027935250070503883,0.05085515853093033,0.025836557171194256,-0.0332317650101484,0.006240283220182099,0.018731289205322497,0.03514928215395048,-0.0041063606172597345,0.0026290391490891188,-0.0317199352392879,0.03223986364305546,0.023122707648989875,-0.005550428133580704,0.010726973042503307,0.04903969298643119,-8.333535427117242e-4,0.005785254917877279
Liver,(E)-3-O-Methyl entacapone,-0.022577984749505543,-0.042550825873306664,0.010025138302554732,-0.02567681388813656,-0.028014890493370272,0.0335658038452014,-0.03207855158856164,0.028369985451235345,0.0033263779097373303,0.010938235202129982,-0.001334535574948769,0.02163201145922103,0.03241991182006576,0.0332011416195657,0.03770116693447878,-0.010772919519905666,-0.032270516003405234
Liver,(E)-p-coumaric acid,-0.0025971422523178513,-0.001061542386073788,-0.06122109344157586,-0.004785050518814417,-0.004554859792281884,-0.014451271507909131,0.044726325577979564,-0.04981384281699915,0.01660894673713403,0.022136731119714485,-0.015538910567373372,0.03846995446306799,0.018740928618975625,-0.01772743633261302,-0.00875586231390369,-0.0036666184923196212,-0.04432643164004912
Liver,"(E,E)-2,4-Dodecadienal",-0.041500346207136406,0.029974584004353707,-0.009381205785712237,-0.0019017478017544567,0.0011528276577502164,0.021026333369169623,-0.016910439368002086,-0.009183530122720981,0.008854644252436313,0.011390851950298464,-0.025760651550314376,-0.05236127989594189,-0.0033606316128477367,-0.039549422625030826,-0.009604339936533172,-0.03463828723774278,-0.008284111145299996
Liver,(Methylthio)pyrazine,-0.016186452352008274,-0.031193281232019147,-0.027060599854360035,-0.028447765658732926,0.006782994710923838,0.0021603867640554377,0.023199872365396237,-0.026220219154652696,-0.05750201441415941,0.03363923585672019,2.2112180393567027e-4,-0.037636142837443314,-0.04199449415000859,0.009984799996612215,-0.027212819826441453,0.040888446765273034,0.014457986029191064
Liver,(R)-2-Benzylsuccinate,-0.018038675994560195,0.0016179503881487984,0.01913211526286162,-0.008967619393954733,0.02295001656736897,0.021270988576160808,-0.03367586383940616,-0.0010185411693555636,0.03303496650954069,0.021502482889638085,0.08657527630631531,-0.03904216445421712,-0.0349867329368755,0.04318721899102397,-0.028491544926828895,0.0010454336809441237,-0.01453920422552924
Liver,(R)-Lipoic acid,-0.02771472079178313,-0.02546837784966449,-0.0011048714767834162,-0.009074961693147645,0.00578793376827292,0.026224817172661737,-0.06618342578387694,4.051000615504549e-4,-0.009779975642033215,0.018019858980829365,-3.006274137935909e-4,0.03583005294252918,-0.0015022725275706103,-0.0655752695221542,0.0028538335455372712,-0.031030810801622805,0.004366243792976577
Liver,(S)-Succinyldihydrolipoamide,0.031294389497477745,-0.013682539170426012,0.015015711944416225,0.0059965290420537585,0.001806958411471113,-0.027663742242598575,-0.05210993066209374,0.004733957276008534,0.03277607793844874,-0.015562985457325072,-0.03293651923994783,0.0017693209523041886,0.0461942849532929,-0.059249059950585596,0.02364802188556513,0.01912252635392651,0.007052353526056857
Liver,(S)-beta-Aminoisobutyric acid,-0.029145321302271276,0.00799838362011416,0.03975357906668914,0.014765009747494907,0.01912426453125026,0.03729367745589046,0.025138699552993943,-0.049784302609389666,0.01691916171268016,0.02521652777327487,-0.013685973531286883,0.01116932401770995,-0.04164613709787033,0.020798665059652673,0.008314817693122561,-0.005133578847455671,0.013874480124471436
Liver,"(S,E)-Zearalenone",0.035265022385992405,2.987348806080373e-4,0.031242403720120403,-0.02561265472536323,0.005425424340955171,-0.02704647495100808,0.03237490627921604,0.04560992153389228,0.0038342982797731602,-0.015074301529063958,0.020759893772915237,-0.034498352778091976,0.005484911583719059,0.02437372731139092,-0.022769343750745075,-0.033981299523939586,-0.0072025729088963635
Liver,(±)-Tartaric acid,-0.006644653999592026,-0.05522639903137768,-0.0036149061084256944,0.05071127314251073,-0.00322645423357835,0.025461062641695238,0.009991617386176379,-0.001041437503114812,-0.006543066100737295,0.021669839581922097,-0.03983595833247634,-0.014043155627753367,-0.016429167142468504,-0.009045470819685885,0.003247773668778779,0.00144994865724239,0.015425791042502829
Liver,(±)-Tetrahydropalmatine,-0.0094004330792316591,-5.588558752864911e-4,-0.036115309377751786,-0.03538174242182521,-0.04657261418125434,0.014275200580485018,-0.023439278265779562,0.0420378544551876,0.06441243799038252,0.0017878358427646645,-0.003477372036780891,0.010549632354118594,0.019352725551669368,0.00956062448266796,0.0036944867667383125,0.02412454566068766,0.013902277236927028
Liver,(±)18-HEPE,-0.020565412321307864,0.014425536115385227,-0.009972764453335845,0.005741284634835029,-0.01785284052033632,-0.01055775480590499,0.028832750337552834,-0.012479373913263194,0.05364642516324462,-0.035545875550489055,0.017634490822659526,-0.031755423358035606,0.03553051139457536,0.01422472265753546,-0.0019001667258521278,0.10199705878342769,0.028900786560023796
Liver,(Â±)-2-Hydroxy-4-(methylthio)butanoic acid,0.030411702172168053,-0.027010914981123377,0.02456900130915089,0.023827045717009755,-0.01587595193390099,-7.722893700552819e-4,-0.01734099110389287,0.0449068449165471,-0.04023807559107058,-0.01204073881976655,-0.04658427381998027,-0.025000891271714374,0.025832263184415564,-0.010790291457763604,-0.004202686945543961,0.025206769468815716,0.0013516883982910633
Liver,(Â±)-2-Methylbutanal,0.009930620275630108,-0.019025970248980537,0.032239302574154236,-0.01173587034292428,-0.007399301458853605,-0.05773842544940437,-0.05506900730269884,-0.030862989464077988,-0.02286209376502601,-0.03460850088328783,-0.03471925699112619,-0.027097585433089204,-0.005433475425482457,0.018465349091131386,-0.020074247237630936,-0.010646010618025588,0.01702644750008367
Liver,(Â±)-Metalaxyl,0.01852797150135632,-0.01401694607290149,0.013753544799905865,-2.637526094556222e-4,-0.03435734579342616,-0.002365899174826236,-0.01645303345689052,0.00926826947951636,-0.009031966787583532,0.0592859544750546,0.06624546780893785,0.014433682495668296,-0.0018741772179726812,-0.07994003249429324,0.004703382698857952,0.029516010157432406,0.006043381363134969
Liver,(−)-Inosine,0.012214070659329182,0.004718441125118611,-0.01208508286495128,-1.4538711933315292e-4,-0.021811627038412544,0.00816391361244535,-0.00988078703307705,0.011890463305775525,0.02394488766721983,-0.06262322700976888,-0.04454889605615724,0.022997687702023376,-0.10319813582035431,0.02643815265898372,0.008406892279512721,0.02226550127091811,0.010935858477345411
