tissue,sample.clean,group,diet,cohort,animal,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
Muscle,1M10,Old CD,CD,1,10,-6.493847375675514,-7.366089175129724,-5.3531442539458105,-2.5022739311492637,1.0793100024100313,3.0328491428717457,-5.550630782875988,0.9638746974461175,5.3290944353933964,0.49341015258738885,-3.6623743294789732,-3.1225565348333255,-10.75889419511927,-8.476152557578123,-0.4443456635041569,-9.59578719243157,1.0330529562317402e-14
Muscle,1M11,Old CD,CD,1,11,-11.429312221934419,-10.954606460029183,-5.929843635095653,-5.961376725775294,-10.787563514032366,8.198396735585838,-4.5234462832277025,9.535780736819214,-12.755190778124454,7.985405690451399,0.049146901829053125,1.4480170855488845,-1.054915313189994,5.20106328501902,1.6651733743595616,1.3097828944807437,-1.4817967200148843e-16
Muscle,2M16,Old CD,CD,2,16,0.729877780997722,2.319603472124328,-11.859819781370486,5.488399383511195,5.110351028682056,16.076387031532768,-0.84751309083903,-17.51632190400754,-2.764149776530708,3.8172786175404574,0.5894448877642866,-1.6366696898078614,4.12169882540902,-0.8721678065116255,1.2286068061766267,0.5695057757705022,1.127129052963205e-14
Muscle,2M17,Old CD,CD,2,17,11.203434962099161,5.794571950602922,-11.268547505830876,17.930199200374137,16.463552205167638,-0.98470729389049,3.123086929457819,12.034469566238899,-3.820844436112309,0.6994710895014059,-0.43670435395048535,-5.030206700393891,-0.4648820370246484,1.745145282242001,-0.3227513692478919,-0.39592718279638595,8.402858597758755e-15
Muscle,2M20,Old CD,CD,2,20,6.777982455886599,12.946450994443293,0.47629286474852733,4.648630978286084,-3.805374397422766,-8.780894667895726,-11.35927375703238,-3.2069783850182505,-4.620868398838644,1.5560181369186672,12.851963219958199,7.850941615378337,-2.4458801865121127,-0.8596959728035292,-4.824177171488616,-1.9593436625187055,5.929951868457474e-15
Muscle,1M5,Old ID,ID,1,5,-9.622341912320369,-2.599812014798579,4.572065596039398,-1.1923253485690304,4.283061588623688,-2.50719736091404,4.278447517937526,-3.5008719443829595,-2.0804778143586518,-8.99535888217416,-1.7610058791327248,3.4258989051841797,3.37567021616674,11.303466096597482,-0.5669751881991103,-9.760401843387935,9.798800520666398e-15
Muscle,1M6,Old ID,ID,1,6,-10.882925772174582,-8.307349886292311,-8.733825462943305,-5.5578583835428175,3.015785411301913,1.933500686763156,-6.266602143010799,4.700454946774825,14.675214854392264,-3.672687849029255,9.685643377986485,-4.024248122671996,5.536371594821815,2.6537587341852964,-2.0089542722795186,3.730360876973181,5.907619322671739e-15
Muscle,1M7,Old ID,ID,1,7,-3.445437793300074,-4.869462245448106,-9.542297493055454,2.1785827221846277,-1.1550331374997207,-10.759103076288003,1.322249575129238,-5.442114936240251,-0.7083311805678069,-7.1840712689656705,-0.14827980498531995,2.0793216220707618,-8.115347245851884,1.362045337972096,10.822182061165345,6.200383160573149,-3.3659356307299697e-15
Muscle,1M9,Old ID,ID,1,9,-6.392949228089587,-6.9776798050646915,-1.3664585989129718,0.691347951454733,-3.893332890715357,-16.031254467026336,-1.782158211437222,-2.3310374283075914,-5.893052975685546,1.60123180256709,-4.431410673993313,-6.768982941655678,11.28686978383376,-7.3432487640488295,-0.3640929951752583,-1.004106399262706,1.6900403454892173e-15
Muscle,2M22,Old ID,ID,2,22,4.654413381029312,16.27543058396691,5.82581101736296,-7.795965949393509,4.099267066927447,-4.912371945604843,-7.091980749099873,-0.39062838170986075,8.248645603673303,11.877152135416258,-8.881653543890758,0.25474899323281575,0.7794558208801944,5.556526644475423,4.562500754322425,0.1982673559065532,1.1387772782416667e-14
