tissue,name,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
Liver,"(1R,5R)-3,3,5-Trimethylcyclohexyl 5-oxo-L-prolinate",-0.03504478552984757,-0.04291747893256624,0.03521742570448146,0.004286622970929091,0.014431385794308587,0.01132792726938748,0.02601329475220639,0.009325651963190927,0.010601204364968154,0.03217009173596014,0.006297602456413332,0.01785120085711313,-0.020420342381288047,-0.024938534785581168,4.5449661682499856e-4,0.019630179557075494,-0.0026377350567925945,-0.0034121712813435746,0.003162272352234767,2.2149586442276397e-4,-0.004865811409553091,-0.010385844603666069
Liver,"(1aR,2R,3S,11cS)-6,11-Dimethyl-1a,2,3,11c-tetrahydrotetrapheno[1,2-b]oxirene-2,3-diol",-0.02317033790273156,-0.027629084123675842,-0.02724173151077309,-0.008542753206147771,0.003504065273021012,0.03679479483110971,-0.029037342306249977,-0.007141986842017589,-0.011536838964120036,0.001554697748509037,-0.0061536751713144825,-0.06278930509579901,-0.01440331308548378,-0.0479027152513761,0.008374243317020056,-0.028662669787246256,-0.07135017977358553,0.03418252569779273,0.004727930446834664,-0.018567167411485272,0.017804091215060894,0.02308545322088395
Liver,"(2E,4E)-2,4-Hexadienoic acid",-0.0037196960459584157,-0.03125536859644572,-0.02976611811671835,-0.013375364395040572,0.056393917480926856,0.016871188653661395,-0.04070127129170344,0.01865997767930901,-0.013718717235603764,0.03770890837576642,-0.016795385753263267,0.019633357671925863,0.007691293730166734,0.025254658932501263,-0.044446899805237916,-0.02445511493699678,0.04126864871729065,0.013636926209202004,0.035222763373717283,-0.00415254288149315,-0.02277197945852064,-0.0735954376317177
Liver,"(2E,4Z)-N-Isobutyl-2,4-octadecadienamide",-0.006720113992185164,0.024519012106917083,-0.03744914526440345,-1.2966861989251695e-5,0.03239653337963114,0.019656752932663807,0.07310243349586196,0.006542457272595817,-0.02515471765982413,6.252391807447601e-4,3.476032906655492e-4,0.0151974829910064,-0.06544511374212117,-0.0131884933904324,-0.024428687433084253,-0.004004131670452237,-0.014729708929931357,-0.017706422760835838,0.02575977013905258,0.0034400876468466015,-0.02569271964613575,0.13693039941866186
Liver,"(2E,5Z,7E)-Decatrienoylcarnitine",-0.003925622750417881,-0.009901789708073915,0.029827475738002894,-0.060209147020055385,-0.008013796570361387,-0.001386075598108391,-0.001289659085804293,-0.006316747833698275,-0.04993563253735965,-0.006065832544166246,0.028155558257137284,0.016910761956088465,0.015103605267615821,0.014214377634117715,0.021784352622989216,-0.032922354036047215,-0.08966907248455691,-0.027329161973925063,-0.010788528163291851,0.011778507885830318,-0.02060908809580278,0.08947124788204308
Liver,(2R)-1-(Octanoyloxy)-3-(phosphonooxy)-2-propanyl palmitate,-7.066387565127339e-4,-0.03218107825325197,-0.011977791490735683,-0.04313236470473228,-0.00380687428218946,0.021176084129146306,-0.030401299818413212,0.0581827659946757,0.023677111929864634,0.05456935342513016,0.02463063530451462,0.02093991708129026,-0.004038658232707162,-0.03378325467948904,-0.008308799708181748,-0.023052579215800208,-0.00880130617502436,0.022861011533217544,0.04289370843077494,-0.007810466555980768,-0.009443120207275143,0.09803985093289094
Liver,"(2R)-1-[(Hydroxy{[(1s,3R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]-3-(palmitoyloxy)-2-propanyl (9Z)-9-hexadecenoate",0.005827386826658978,0.04190250688032311,0.003217795045000942,0.019294086937750896,0.0033027746557727487,0.005819228810408832,-0.002250035459022296,-0.008513062095824413,-0.017703396921524936,-0.024252267575619407,0.008184904329940753,0.013182383628152041,-0.047889855369291294,0.06935299220239396,-0.03342245155559741,0.018846802420583546,-0.08075932266243505,-0.039531450253359086,0.03864913006967378,-0.008127672839908364,3.346935348855276e-4,0.005064059031569079
Liver,"(2R)-1-[(Hydroxy{[(1s,3R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]-3-(stearoyloxy)-2-propanyl (5Z,8Z,11Z,14Z)-5,8,11,14-icosatetraenoate",-0.04977403115552638,0.0016736393729734785,0.003061915439387757,0.014785927720905678,0.008676847510742311,0.02002758902970264,0.02340507817940531,0.043740826906225466,0.02578779280350569,0.017609161769030855,-0.013878897458893447,0.02008917943178438,-0.01859318945894191,-0.01210926342460376,0.002726721717097255,0.00927048711474459,-0.020903994453970377,-0.0018364224618218111,-0.013301727071041346,-0.02658014698311785,-0.032125778170449114,0.05584141315505761
Liver,"(2R)-2,3-Dihydroxypropanoic acid",-0.018216196328112756,4.364361227675015e-4,0.0125042033533061,-0.038313688116749296,0.019375323422176644,-0.06297327107852012,0.026875400005241402,0.02202634056522093,-0.002013917720382356,0.03925937933988818,-0.045145360204805904,0.017597013549944987,-0.04361424653462809,0.013811154151404482,0.02391241661125611,-0.031241667386161204,-0.013810544690636575,-0.033522703200106224,0.011578879275060116,0.008911999237040618,0.0341494022315636,-0.13233028287512585
Liver,"(2R)-2-Hydroxy-3-[(hydroxy{[(1S,2R,3R,4S,5S,6R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]propyl palmitate",-0.020429896195890074,-0.0323186650642258,-0.02098362465801089,0.014798623947673827,0.04243026837204478,-0.037135468482596426,-0.01997760355560555,0.00829867956845073,0.04913992397353882,-0.04003434007684507,-0.025110513674683248,-0.008481421864827103,-3.265806259910929e-4,-0.004115028385584724,0.03739826363080448,-0.033756018296968324,-0.006790349947577364,0.030058280861054804,-0.025243094578378058,-0.0054620018330680704,-0.02309665183762698,-0.016244486204946767
Liver,"(2R)-3-[(Hydroxy{[(1s,3R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]-1,2-propanediyl dihexadecanoate",-0.011691354029597669,-0.02284294627235958,-0.012296322685298938,-0.027294015824812314,0.06852051232317051,-0.025146810397440086,-0.00812756879065259,8.933263329351874e-4,0.030688571145284425,4.0998309748965106e-4,0.017006159465383402,-0.012195947873900062,0.015179119527851078,-0.044096436904401154,-0.046116313134303255,0.0044234570976605814,0.03286657717194085,-0.04086614317133719,0.008041910496713139,0.022960014092091544,-0.05246346749801472,0.029174372133168626
