gene.id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,design,comparison,flag
Ifi204,315.2247719,0.611548638,0.24872492,2.458734882,0.013942754,0.999946781,~cohort + diet,old ID vs CD,
Atcay,68.04644464,0.501788728,0.334922985,1.498221235,0.13407578,0.999946781,~cohort + diet,old ID vs CD,
2310007L24Rik,26.10309967,0.904785627,0.368025061,2.458489173,0.013952298,0.999946781,~cohort + diet,old ID vs CD,
Rasd1,70.76030475,0.500647243,0.393550975,1.272128071,0.203327619,0.999946781,~cohort + diet,old ID vs CD,
Gabra3,51.13597495,0.500175911,0.307649144,1.625799783,0.103992255,0.999946781,~cohort + diet,old ID vs CD,
Cd3g,16.28962816,0.500102966,0.627634285,0.796806321,0.425563523,0.999946781,~cohort + diet,old ID vs CD,
Wdfy4,115.5406737,0.50001599,0.574612475,0.870179489,0.384202323,0.999946781,~cohort + diet,old ID vs CD,
P2ry12,25.90131305,0.499967468,0.350529433,1.426320933,0.153775725,0.999946781,~cohort + diet,old ID vs CD,
Evi2b,48.34429129,0.499299635,0.395340691,1.262960395,0.206603413,0.999946781,~cohort + diet,old ID vs CD,
Lepr,177.9261208,0.494675329,0.201395452,2.456238821,0.014039982,0.999946781,~cohort + diet,old ID vs CD,
Gm2574,34.10623394,0.498531972,0.475430118,1.048591481,0.294366178,0.999946781,~cohort + diet,old ID vs CD,
2810039B14Rik,38.79694455,-0.642312178,0.2619209,-2.452313572,0.014194091,0.999946781,~cohort + diet,old ID vs CD,
Scx,76.8882258,-0.513362809,0.209384952,-2.451765537,0.014215726,0.999946781,~cohort + diet,old ID vs CD,
B4galt1,889.3308157,0.224636521,0.091649246,2.451046031,0.014244174,0.999946781,~cohort + diet,old ID vs CD,
Fam229b,35.17258956,0.496462933,0.299795906,1.656003044,0.097721202,0.999946781,~cohort + diet,old ID vs CD,
Steap2,35.41833351,0.495141276,0.284274929,1.741769064,0.081548862,0.999946781,~cohort + diet,old ID vs CD,
Cd209b,71.89075366,0.495097391,0.318124777,1.556299371,0.119636921,0.999946781,~cohort + diet,old ID vs CD,
Msra,367.8440443,-0.221233495,0.090527622,-2.443823117,0.01453255,0.999946781,~cohort + diet,old ID vs CD,
Xpnpep2,22.59738912,0.494452649,0.418705112,1.180909034,0.237638862,0.999946781,~cohort + diet,old ID vs CD,
Tmub2,450.8965806,-0.207868182,0.085074362,-2.44337045,0.014550793,0.999946781,~cohort + diet,old ID vs CD,
Dock2,146.0147472,0.493160547,0.51155822,0.964036013,0.335027871,0.999946781,~cohort + diet,old ID vs CD,
Piwil2,49.61855315,0.514736076,0.210807758,2.441732124,0.014616988,0.999946781,~cohort + diet,old ID vs CD,
A530016L24Rik,203.3331221,0.492440006,0.547777166,0.898978703,0.368664004,0.999946781,~cohort + diet,old ID vs CD,
Tyrobp,76.82624533,0.492243237,0.32593578,1.510246092,0.130980641,0.999946781,~cohort + diet,old ID vs CD,
Drp2,259.2357815,0.491415532,0.258267985,1.902734987,0.057075134,0.999946781,~cohort + diet,old ID vs CD,
Mmp2,836.0393674,0.365520427,0.149727963,2.441230214,0.01463732,0.999946781,~cohort + diet,old ID vs CD,
Tspan32,20.20117896,0.491019849,0.484000388,1.014503007,0.310342795,0.999946781,~cohort + diet,old ID vs CD,
Plcg2,72.92205318,0.490930067,0.350413932,1.401000426,0.161213946,0.999946781,~cohort + diet,old ID vs CD,
Timp1,18.27219419,0.489624629,0.636462016,0.769291201,0.441720459,0.999946781,~cohort + diet,old ID vs CD,
Cd109,44.53946634,0.489433544,0.359895324,1.359933044,0.173851113,0.999946781,~cohort + diet,old ID vs CD,
Cfp,173.3966737,0.489431557,0.279147969,1.753305098,0.079549651,0.999946781,~cohort + diet,old ID vs CD,
Gimap3,52.98943956,0.489331799,0.615159766,0.795454816,0.426348984,0.999946781,~cohort + diet,old ID vs CD,
Hells,29.97474086,0.488853452,0.370958907,1.317810257,0.187567173,0.999946781,~cohort + diet,old ID vs CD,
2310014F06Rik,40.26603699,0.488712906,0.274971194,1.777324012,0.075514945,0.999946781,~cohort + diet,old ID vs CD,
Ric3,217.3974313,-0.332693639,0.136768707,-2.432527487,0.014993853,0.999946781,~cohort + diet,old ID vs CD,
Gm11734,23.57530805,0.487464832,0.411453923,1.184737355,0.236121308,0.999946781,~cohort + diet,old ID vs CD,
B3gnt2,129.1900698,0.487155773,0.345846733,1.408588624,0.158956845,0.999946781,~cohort + diet,old ID vs CD,
Zdbf2,17.74643748,0.486559372,0.362623082,1.341777166,0.179668258,0.999946781,~cohort + diet,old ID vs CD,
Pck1,1760.61042,0.486432274,0.602943072,0.806763185,0.419802933,0.999946781,~cohort + diet,old ID vs CD,
Slc1a3,225.6359078,0.485157851,0.344480058,1.408377177,0.159019414,0.999946781,~cohort + diet,old ID vs CD,
Gm15920,75.73611364,0.484622277,0.373416054,1.297807823,0.194353381,0.999946781,~cohort + diet,old ID vs CD,
Gm10557,44.1202115,0.731832561,0.300899808,2.432146986,0.015009615,0.999946781,~cohort + diet,old ID vs CD,
Ncf4,22.85974451,0.483622839,0.433499832,1.115624051,0.264583093,0.999946781,~cohort + diet,old ID vs CD,
Dus3l,335.0982298,0.291244358,0.119835658,2.43036475,0.015083635,0.999946781,~cohort + diet,old ID vs CD,
Pi16,455.2760262,0.3683363,0.152761907,2.41117899,0.015901043,0.999946781,~cohort + diet,old ID vs CD,
Dffa,1722.325955,-0.172894963,0.071754703,-2.409527968,0.015973172,0.999946781,~cohort + diet,old ID vs CD,
Pla2g2d,63.54858139,0.482045141,0.356670548,1.351513726,0.176530926,0.999946781,~cohort + diet,old ID vs CD,
D630024D03Rik,18.54714777,0.481998509,0.61007273,0.790067291,0.429488471,0.999946781,~cohort + diet,old ID vs CD,
Cntnap1,48.95630674,0.481294741,0.273830045,1.757640364,0.078808721,0.999946781,~cohort + diet,old ID vs CD,
Ppp1r3b,238.72329,0.480583354,0.545724012,0.880634431,0.378515717,0.999946781,~cohort + diet,old ID vs CD,
Cacna1g,54.3101638,0.480583301,0.249213097,1.928403065,0.053805011,0.999946781,~cohort + diet,old ID vs CD,
Tnnt1,2188.626265,0.479609965,1.01385758,0.473054574,NA,NA,~cohort + diet,old ID vs CD,
6330403A02Rik,46.59709336,0.479121159,0.287730049,1.665175952,0.095877657,0.999946781,~cohort + diet,old ID vs CD,
Cd300lh,39.37980888,0.47902466,0.522745633,0.916362816,0.359476631,0.999946781,~cohort + diet,old ID vs CD,
Nfam1,69.93948962,0.478458664,0.296210123,1.61526777,0.10625272,0.999946781,~cohort + diet,old ID vs CD,
C1qb,404.0919558,0.477768826,0.26185406,1.824561459,0.068067234,0.999946781,~cohort + diet,old ID vs CD,
Ccl9,290.6504312,0.477419495,0.267968862,1.781623029,0.074810726,0.999946781,~cohort + diet,old ID vs CD,
Susd5,45.48121226,0.477350035,0.316946672,1.506089436,0.132044216,0.999946781,~cohort + diet,old ID vs CD,
Ace2,24.02196734,0.477116701,0.358387031,1.331288968,0.183093947,0.999946781,~cohort + diet,old ID vs CD,
Adam12,72.02483601,0.477026919,0.532530371,0.895774109,0.37037342,0.999946781,~cohort + diet,old ID vs CD,
Pirb,122.2968507,0.476898843,0.296692787,1.607382666,0.10797045,0.999946781,~cohort + diet,old ID vs CD,
Clec4a3,46.30338843,0.476185929,0.360908544,1.319408856,0.187032463,0.999946781,~cohort + diet,old ID vs CD,
Gxylt2,53.0056433,0.476104112,0.262646843,1.812715915,0.069875649,0.999946781,~cohort + diet,old ID vs CD,
Ppp1r15a,739.7967046,-0.292032619,0.121887572,-2.395917918,0.016578802,0.999946781,~cohort + diet,old ID vs CD,
