"contrast","direction","gene.id","baseMean","log2FoldChange","pvalue","padj"
"old ID vs old CD","Upregulated","Gm26621",41.80864480274,0.503732680883301,0.021158967196435,0.999946780809711
"old ID vs old CD","Upregulated","Tgtp2",303.79413960388,0.931859336526451,0.0215582256514868,0.999946780809711
"old ID vs old CD","Upregulated","1700109H08Rik",98.9790347033317,0.373469677006624,0.0228838660868895,0.999946780809711
"old ID vs old CD","Upregulated","Pydc4",51.6481274033202,0.730154571973536,0.0229540292713192,0.999946780809711
"old ID vs old CD","Upregulated","RP23-13A13.6",64.8793953579572,0.463832979552815,0.0238278234424027,0.999946780809711
"old ID vs old CD","Upregulated","A330023F24Rik",355.145174023782,0.268886637897269,0.027231573070664,0.999946780809711
"old ID vs old CD","Upregulated","Gm10032",8.51526159125313,1.75955117624158,0.0272585190594503,0.999946780809711
"old ID vs old CD","Upregulated","4833403I15Rik",186.15206935042,0.474667664238695,0.028610117372456,0.999946780809711
"old ID vs old CD","Upregulated","2410089E03Rik",172.026727667603,0.337505552103196,0.0318302355772563,0.999946780809711
"old ID vs old CD","Upregulated","Whsc1l1",610.004213311693,0.248164821596122,0.0341444600792413,0.999946780809711
"old ID vs old CD","Upregulated","Gpr64",58.6828871802492,0.638689761424111,0.0342937182129469,0.999946780809711
"old ID vs old CD","Upregulated","N28178",33.5846419960783,0.596620599033749,0.0345340809868644,0.999946780809711
"old ID vs old CD","Upregulated","Slc2a4rg-ps",43.3022377458413,0.557840505533818,0.0348869089314464,0.999946780809711
"old ID vs old CD","Upregulated","Hist1h1e",389.910104952201,0.269335336541795,0.036015076701708,0.999946780809711
"old ID vs old CD","Upregulated","Garem",263.424492372173,0.259526509795985,0.0378830786077854,0.999946780809711
"old ID vs old CD","Upregulated","Gm9917",76.5753815153985,0.391137294473204,0.0389701182387507,0.999946780809711
"old ID vs old CD","Upregulated","AI607873",275.46878160512,0.49655741762522,0.0436905467167952,0.999946780809711
"old ID vs old CD","Upregulated","Gm4245",924.125536377217,0.340115440115174,0.044368418764458,0.999946780809711
"old ID vs old CD","Upregulated","4933439C10Rik",53.2254811239764,0.46716307392964,0.0446065003512967,0.999946780809711
"old ID vs old CD","Upregulated","Etohi1",208.532702266799,0.312964296689714,0.0455069692029404,0.999946780809711
"old ID vs old CD","Upregulated","Zfp53",88.0402059794105,0.304111720211133,0.0460879566378184,0.999946780809711
"old ID vs old CD","Upregulated","Hmgb1-ps8",71.8820882751448,0.390886281356203,0.0465730926800706,0.999946780809711
"old ID vs old CD","Upregulated","Gvin1",1196.98190618675,0.487777479005118,0.0467900326785022,0.999946780809711
"old ID vs old CD","Upregulated","Gm5537",264.251351441896,0.332134978892918,0.0469573070550447,0.999946780809711
"old ID vs old CD","Upregulated","Fam173b",287.247136859554,0.195308747840964,0.0486039723645513,0.999946780809711
"old ID vs old CD","Upregulated","9930111J21Rik1",67.0679732339423,0.472035270984962,0.0489162203399637,0.999946780809711
"old ID vs old CD","Upregulated","Tgtp1",154.297843169407,0.968868854848529,0.0497170470986866,0.999946780809711
