"contrast","direction","gene.id","baseMean","log2FoldChange","pvalue","padj"
"young CD vs old CD","Downregulated","Gm7967",14.0177887828952,-1.30875951153562,0.00111352184335697,0.00790202089849113
"young CD vs old CD","Downregulated","BE692007",20.5863931886856,-1.23213933326887,0.00112583643512364,0.00797539505361339
"young CD vs old CD","Downregulated","AU041133",21.8658248342877,-1.11782896984024,0.00116143543802087,0.00815332196109893
"young CD vs old CD","Downregulated","4930506M07Rik",82.5652143489627,-0.641357364839009,0.00124952276052505,0.00855598539593286
"young CD vs old CD","Downregulated","A930003A15Rik",60.0232429868798,-0.976146127688578,0.00125569248398589,0.00858628445626849
"young CD vs old CD","Downregulated","Emr1",120.44804615517,-0.990841312220613,0.00126721290190462,0.00862511022167724
"young CD vs old CD","Downregulated","Nhp2l1",1397.3689346475,-0.336624532515439,0.00127120543671681,0.00864829763237339
"young CD vs old CD","Downregulated","Tnfrsf22",136.821767162273,-0.593447057100859,0.00127903486408637,0.00868555275920287
"young CD vs old CD","Downregulated","Gstt1",132.482880405692,-0.835980607972975,0.00132119017055592,0.00890626962918584
"young CD vs old CD","Downregulated","Zfp51",419.619675374568,-0.438518851215333,0.00144062116466675,0.0095286246657595
"young CD vs old CD","Downregulated","Gm8995",159.776356669613,-1.63621137644406,0.00153511554634324,0.00997926499809126
"young CD vs old CD","Downregulated","Zfp951",30.5068011876235,-0.893350220307445,0.00164825965099178,0.0104884729429274
"young CD vs old CD","Downregulated","Gm12514",21.7275589833713,-1.06933688319048,0.00167534692263237,0.0106242038740643
"young CD vs old CD","Downregulated","Gm10222",16124.644324888,-0.561975702537692,0.00178079056676881,0.0111209014962809
"young CD vs old CD","Downregulated","AF251705",8.55990677921675,-1.45163578240475,0.00184689344041217,0.0114318717316721
"young CD vs old CD","Downregulated","Gnb2l1",5822.02335995446,-0.240140550844458,0.00185942888351723,0.0114904766041712
"young CD vs old CD","Downregulated","Fam57a",52.7253490887193,-0.650578595338637,0.00202564944468239,0.0121811253571675
"young CD vs old CD","Downregulated","Prss32",18.3391281085129,-6.88803190577934,0.00203696989678865,0.012219336280492
"young CD vs old CD","Downregulated","Ighv3-6",16.5686370789077,-7.57727011646537,0.00209102109345774,0.012492814408222
"young CD vs old CD","Downregulated","Gm16118",57.1016749616227,-0.638695467046571,0.00210357476950279,0.0125576523745126
"young CD vs old CD","Downregulated","Gm4788",15.8831284438207,-7.51618915875607,0.00211336076902259,0.012600785554556
"young CD vs old CD","Downregulated","Rsl1",86.1613909928569,-0.431941781025782,0.00217561291777246,0.0129093944956089
"young CD vs old CD","Downregulated","Cutal",12.6613213496606,-2.11245768746431,0.00223908077481476,0.0132063721448623
"young CD vs old CD","Downregulated","Fam45a",290.521557758074,-0.395407107895547,0.002328941691827,0.0135844196746116
