"gene_id","VIP_component_1","VIP_component_2","VIP_max_component_1_2","VIP_mean_component_1_2"
"Frs2",1.90026798987662,1.44791377821429,1.90026798987662,1.67409088404545
"Exd2",1.89990044929825,1.44848915217867,1.89990044929825,1.67419480073846
"4933415F23Rik",1.89977857690147,1.45034909764196,1.89977857690147,1.67506383727172
"Tet3",1.89955026844594,1.50096172005518,1.89955026844594,1.70025599425056
"Sec14l5",1.89898564779519,1.50086013147872,1.89898564779519,1.69992288963695
"Csnk1e",1.89780559125073,1.43123932609511,1.89780559125073,1.66452245867292
"Syt9",1.89774916252002,1.62934896019849,1.89774916252002,1.76354906135925
"Il1rn",1.8976131137313,1.47362172385504,1.8976131137313,1.68561741879317
"Lrig1",1.89740539701654,1.45454993242323,1.89740539701654,1.67597766471989
"Cuedc1",1.89719012938918,1.42735111592072,1.89719012938918,1.66227062265495
"Haghl",0.543338661077184,1.89653891335987,1.89653891335987,1.21993878721853
"Zfp280c",0.332696620643782,1.89632743873574,1.89632743873574,1.11451202968976
"Pygo1",1.89573372562978,1.44648562317436,1.89573372562978,1.67110967440207
"Gtf2f2",1.89571345644131,1.45843439604151,1.89571345644131,1.67707392624141
"Slc6a2",0.745014147856371,1.89542165025544,1.89542165025544,1.32021789905591
"Lgmn",1.89530383671002,1.47130201163392,1.89530383671002,1.68330292417197
"Gm5091",1.8948270801477,1.46357626527199,1.8948270801477,1.67920167270985
"Zfp710",1.89471415971037,1.44386928447582,1.89471415971037,1.6692917220931
"Kcna1",0.827784474818677,1.89469160541587,1.89469160541587,1.36123804011728
"Slc37a2",1.89463018799301,1.43579207734775,1.89463018799301,1.66521113267038
"Tmem182",0.931306404634135,1.8930847587933,1.8930847587933,1.41219558171372
"Ppap2a",1.89283514174121,1.43103443133512,1.89283514174121,1.66193478653816
"Smpx",1.89274585648957,1.42943392652283,1.89274585648957,1.6610898915062
"6430571L13Rik",1.89218032238016,1.54126773802412,1.89218032238016,1.71672403020214
"Atxn1",1.89206302612987,1.44093872808252,1.89206302612987,1.66650087710619
"Ranbp2",1.89124475293359,1.48256727234869,1.89124475293359,1.68690601264114
"1110002E22Rik",1.89098996956805,1.44084089603973,1.89098996956805,1.66591543280389
"Col5a3",1.89051782834843,1.42209577508925,1.89051782834843,1.65630680171884
"Gid4",1.89020778661413,1.47595059804643,1.89020778661413,1.68307919233028
"Stk26",1.88912256361184,1.44469934448058,1.88912256361184,1.66691095404621
"Pofut1",1.88857533192534,1.45384716089194,1.88857533192534,1.67121124640864
"8430408G22Rik",1.88800408253833,1.43281805405296,1.88800408253833,1.66041106829564
"RP23-371A16.2",1.88789791806462,1.42115797334163,1.88789791806462,1.65452794570313
"Gtpbp2",1.88727501848635,1.44002197690467,1.88727501848635,1.66364849769551
"Gm8424",1.88586377117452,1.4561439134277,1.88586377117452,1.67100384230111
"0610009E02Rik",0.0694505211907055,1.88586056063936,1.88586056063936,0.977655540915033
"Mid2",1.88567568072512,1.4524916970488,1.88567568072512,1.66908368888696
"Wnt5a",1.88545781753202,1.59473135113207,1.88545781753202,1.74009458433205
"Eif5b",0.423268590098383,1.88448171453525,1.88448171453525,1.15387515231682
"Ppm1l",1.8841222031537,1.47420734552403,1.8841222031537,1.67916477433886
"Mvb12b",1.88383121514689,1.43411275116162,1.88383121514689,1.65897198315425
"Tppp",1.88364389956828,1.6409670628798,1.88364389956828,1.76230548122404
"Hfe2",1.88330854372641,1.44140102493514,1.88330854372641,1.66235478433077
"Stam2",1.88272863293991,1.46124060241957,1.88272863293991,1.67198461767974
"Aldh4a1",1.88236864227036,1.42596313588693,1.88236864227036,1.65416588907865
"Igha",1.8818600174322,1.43694070757238,1.8818600174322,1.65940036250229
"Trappc3",1.88162250857189,1.41613692320607,1.88162250857189,1.64887971588898
"Zmym3",1.88140281196422,1.56164204941313,1.88140281196422,1.72152243068868
"Igfbp4",1.88114132191721,1.42061768212252,1.88114132191721,1.65087950201987
"Tmem200b",1.11114431289133,1.88110707364653,1.88110707364653,1.49612569326893
"Cdh4",1.88072429176711,1.42868116332351,1.88072429176711,1.65470272754531
