metabolite_timepoint,hormone_sampling_time,metabolite_source,metabolite_ion_mode,metabolite,metabolite_formula,metabolite_mz,metabolite_rt,hormone,n_before_outlier_filter,n_outlier_removed,removed_samples,removed_for_metabolite,removed_for_hormone
pv,SAC,CD,nega,"(4R,5S,7R,11x)-11,12-Dihydroxy-1(10)-spirovetiven-2-one 12-glucoside",C21H34O8,413.21744,2.78,GIP,42,7,3M7;3M14;3M21;3M33;3M37;3M38;5M1,3M14;3M21;3M33;3M37;5M1,3M7;3M38
pv,SAC,CD,nega,"(4R,5S,7R,11x)-11,12-Dihydroxy-1(10)-spirovetiven-2-one 12-glucoside",C21H34O8,413.21744,2.78,GLP-1,43,6,3M6;3M14;3M21;3M33;3M37;5M1,3M14;3M21;3M33;3M37;5M1,3M6
pv,SAC,CD,nega,"(4R,5S,7R,11x)-11,12-Dihydroxy-1(10)-spirovetiven-2-one 12-glucoside",C21H34O8,413.21744,2.78,Ghrelin,2,0,,,
pv,SAC,CD,nega,"(4R,5S,7R,11x)-11,12-Dihydroxy-1(10)-spirovetiven-2-one 12-glucoside",C21H34O8,413.21744,2.78,Glucagon,43,8,3M14;3M15;3M21;3M33;3M37;4M3;5M1;5M10,3M14;3M21;3M33;3M37;5M1,3M14;3M15;3M37;4M3;5M10
pv,SAC,CD,nega,"(4R,5S,7R,11x)-11,12-Dihydroxy-1(10)-spirovetiven-2-one 12-glucoside",C21H34O8,413.21744,2.78,Insulin,43,8,3M6;3M14;3M21;3M33;3M37;5M1;5M2;5M10,3M14;3M21;3M33;3M37;5M1,3M6;3M14;3M21;3M37;5M2;5M10
pv,SAC,CD,nega,"(4R,5S,7R,11x)-11,12-Dihydroxy-1(10)-spirovetiven-2-one 12-glucoside",C21H34O8,413.21744,2.78,Leptin,43,6,3M6;3M14;3M21;3M33;3M37;5M1,3M14;3M21;3M33;3M37;5M1,3M6
pv,SAC,CD,nega,"(4R,5S,7R,11x)-11,12-Dihydroxy-1(10)-spirovetiven-2-one 12-glucoside",C21H34O8,413.21744,2.78,PP,13,4,3M4;3M6;3M14;3M37,3M14;3M37,3M4;3M6
pv,SAC,CD,nega,"(4R,5S,7R,11x)-11,12-Dihydroxy-1(10)-spirovetiven-2-one 12-glucoside",C21H34O8,413.21744,2.78,PYY,43,6,3M14;3M21;3M33;3M37;3M38;5M1,3M14;3M21;3M33;3M37;5M1,3M38
pv,SAC,CD,nega,"(4R,5S,7R,11x)-11,12-Dihydroxy-1(10)-spirovetiven-2-one 12-glucoside",C21H34O8,413.21744,2.78,Resistin,43,5,3M14;3M21;3M33;3M37;5M1,3M14;3M21;3M33;3M37;5M1,
pv,SAC,CD,nega,"(4R,5S,7R,11x)-11,12-Dihydroxy-1(10)-spirovetiven-2-one 12-glucoside",C21H34O8,413.21744,2.78,Secretin,43,7,3M14;3M21;3M33;3M34;3M37;3M40;5M1,3M14;3M21;3M33;3M37;5M1,3M34;3M40
