correlation_method,metabolite_timepoint,hormone_sampling_time,metabolite_source,metabolite_ion_mode,metabolite,metabolite_formula,metabolite_mz,metabolite_rt,hormone,n,n_unique_samples,n_med_adj_ic,n_raw_ion_count_fallback,correlation,p_value,p_adj_bh,metabolite_min,metabolite_max,hormone_min,hormone_max
pearson,sys_sac,SAC,CD,posi,Benzyl alcohol,C7H8O,91.05418,3.894,Leptin,38,38,38,0,-0.4077496698356109,0.011050966811734994,0.3301356042688224,37831.0378214361,6252247.39507625,608.22,9954.55
pearson,pv,SAC,CD,nega,Hexacosanoic acid,C26H52O2,395.38938,2.14,Amylin,43,43,43,0,0.3838334013463175,0.011054987952636389,0.3301356042688224,22666.9615950518,196041.68323541,1.79,104.9
pearson,tp4,GTT,CD,posi,LysoPC(15:0/0:0),C23H48NO7P,482.32385,3.98,GLP-1,35,35,0,35,-0.4243697067995067,0.011060237505230004,0.3301660650605218,1881634.83947614,40408681.2229773,24.2,446.95
pearson,pv,SAC,Maven,nega,Arachidonic acid,C20H32O2,305.741516,2.1925,Insulin,43,43,43,0,0.38378903294268685,0.011065061334682231,0.3301837988944818,6552726.80432887,49102818.059225,112.79,285098.39
pearson,pv,SAC,CD,posi,Thalassemine,C8H19N4O6P,299.10939,13.705,Insulin,43,43,43,0,0.38371745448844874,0.011081329020240007,0.33024784114867956,57856.4649911047,1118423.21691812,112.79,285098.39
pearson,pv,SAC,CD,posi,"N,N-Dimethylacetamide",C4H9NO,88.0757,7.621,Secretin,43,43,43,0,0.38371317062655547,0.011082303264816518,0.33024784114867956,4614274.96042825,93568532.6384526,6.73,174.81
pearson,tp4,GTT,CD,posi,D-(−)-Quinic acid,C7H12O6,193.07208,3.747,Resistin,35,35,0,35,0.4242509736488862,0.011085141661856578,0.33024784114867956,7097.42703714667,129428.101260255,4345.62,30708.92
pearson,sys_sac,SAC,CD,posi,HIAA,C10H9NO3,209.09201,9.642,Resistin,38,38,38,0,0.4075840400377878,0.011086804087065789,0.33024784114867956,107452.162905723,740470.847044213,5122.24,58609.94
pearson,sys_sac,SAC,CD,posi,Bethanechol,C7H16N2O2,161.12847,18.879,Resistin,38,38,38,0,0.40756278154847414,0.011091410928970893,0.33024784114867956,198849.723573621,8107600.12585674,5122.24,58609.94
pearson,pv,SAC,CD,posi,Menatetrenone,C41H56O2,581.4372,4.026,Insulin,43,43,43,0,0.3836679539050664,0.011092591010886702,0.33024784114867956,15156.084320295,789308.437584817,112.79,285098.39
pearson,sys_sac,SAC,CD,posi,Cer(d18:1/22:1(13Z)),C40H77NO3,620.5969,2.433,PYY,38,38,38,0,-0.4075295408936614,0.011098617640469067,0.3303012925086909,27090.5770949889,1119191.42418593,29.88,445.18
pearson,pv,SAC,CD,posi,"6-Deoxy-2,3-di-O-methyl-D-allopyranose",C8H16O5,193.10838,3.751,PYY,43,43,43,0,-0.38361981649795623,0.011103552247221036,0.3303222162814667,16654.0537395122,3283054.1686132,29.88,445.18
pearson,tp4,GTT,CD,posi,Rhamnose,C6H12O5,165.07711,7.428,Secretin,35,35,0,35,0.42412292115297023,0.01111205374915073,0.33036073247384173,120948.224507261,46355033.5705945,2.01,46.49
pearson,tp4,GTT,CD,posi,"PC(20:5(5Z,8Z,11Z,14Z,17Z)/16:1(9Z))",C44H76NO8P,778.53625,3.16,C-Peptide 2,34,34,0,34,0.4301369760514615,0.011113311002489155,0.33036073247384173,19472.7064793994,1874094.63615385,102.01,1743.56
pearson,sys_sac,SAC,CD,posi,Cathine,C9H13NO,135.08023,2.55,PYY,38,38,38,0,0.40744192201459806,0.011117632859287064,0.33036340169838857,45082.4313987422,34801678.3482101,29.88,445.18
pearson,sys_sac,SAC,CD,posi,Propionylcarnitine,C10H19NO4,218.13857,10.884,PYY,38,38,38,0,0.40741037115687967,0.011124486867739869,0.33038849479917615,3662731.16472225,118294599.574416,29.88,445.18
pearson,pv,SAC,CD,posi,Lysyltyrosine,C15H23N3O4,310.1774,3.974,C-Peptide 2,43,43,43,0,0.38351723331983,0.011126942082281188,0.33038849479917615,5604.49293853294,165218.974903454,29.61,36727.54
pearson,pv,SAC,CD,posi,cyclohexenone,C6H8O,193.12219,2.642,Resistin,43,43,43,0,-0.38342231052845877,0.011148622797941054,0.3309063851151614,104735.524958693,2192987.47306282,5122.24,58609.94
pearson,tp4,GTT,CD,posi,Acetylcarnitine,C9H17NO4,204.12435,16.983,Glucagon,31,31,0,31,-0.4496383783426832,0.011156093895324045,0.33100228113142743,59129.3849590791,8504262.07238132,17.67,161.53
pearson,pv,SAC,CD,nega,Quinic acid,C7H12O6,191.05752,12.705,Insulin,43,43,43,0,0.38335423644370026,0.011164193400034408,0.3311167420947895,53484.3515460337,8621758.02000988,112.79,285098.39
pearson,tp4,GTT,CD,posi,cuscohygrine,C13H24N2O,225.19599,8.001,Leptin,35,35,0,35,-0.42376401840869243,0.011187777372777421,0.3313479575688654,827750.668381959,5045731.81352236,324.41,7988.85
pearson,tp4,GTT,CD,posi,sulfamidic acid,H3NO3S,97.99149,17.387,Amylin,35,35,0,35,0.42376137842050077,0.01118833598904302,0.3313479575688654,9877.76816453173,502702.341708807,1.81,53.85
pearson,sys_sac,SAC,Maven,posi,Valine-C13N15,C5H11NO2,124.099861,11.912,PP,11,11,11,0,0.727368554894837,0.011188967950494741,0.3313479575688654,534082.989781556,677431.339941364,1.13,2736.72
pearson,sys_sac,SAC,Maven,nega,Valine-C13N15,C5H11NO2,122.085609,11.926,PP,11,11,11,0,0.7273685548948363,0.011188967950494854,0.3313479575688654,605539.988965978,768067.461352928,1.13,2736.72
pearson,tp4,GTT,CD,posi,PC(18:1(9Z)/16:0),C42H82NO8P,760.58464,3.388,Amylin,35,35,0,35,0.4237348083026769,0.011193959488215423,0.33137006657909457,2020833.67840388,191748367.478704,1.81,53.85
pearson,pv,SAC,CD,nega,Sedoheptulose 7-phosphate,C7H15O10P,289.03538,14.529,Leptin,43,43,43,0,-0.3832027846954693,0.011198901703479102,0.3313906993089407,17075.5819971862,603122.195220179,221.83,9954.55
pearson,sys_sac,SAC,CD,posi,chloroneb,C8H8Cl2O2,244.95377,15.845,PYY,38,38,38,0,0.40701266861170027,0.01121119105864392,0.3316286458582272,22643.8810337218,2293619.80842573,29.88,445.18
pearson,tp4,GTT,CD,posi,iminoquinoline,C9H8N2,145.07601,8.09,Resistin,35,35,0,35,-0.42346188046628513,0.01125186265062367,0.3327056447852216,2274291.80970337,16482666.7383075,4345.62,30708.92
pearson,tp4,GTT,CD,posi,Deanol,C4H11NO,72.08082,11.921,PP,7,7,0,7,-0.8681950909638387,0.011269571174008473,0.3331030916264481,26973860.6185857,37946116.7194279,2.12,1206.64
pearson,tp4,GTT,CD,posi,PE(22:1(13Z)/18:1(9Z)),C45H86NO8P,800.61581,3.858,C-Peptide 2,34,34,0,34,0.429138344718201,0.011322810862991207,0.3345500611607947,29047.8906122883,6729899.56871992,102.01,1743.56
pearson,pv,SAC,CD,posi,streptidine,C8H18N6O4,263.14601,14.039,GLP-1,43,43,43,0,0.38262572655874744,0.01133199314216341,0.33467107005558133,8782.3674481859,10706049.3185357,28.62,692.09
pearson,tp4,GTT,CD,posi,L-Valine,C5H11NO2,118.08624,12.014,GLP-1,35,35,0,35,-0.4230698346852375,0.011335480889894662,0.33467107005558133,59537271.8964455,765439790.276282,24.2,446.95
pearson,tp4,GTT,CD,posi,"(2S)-1-{[11-(3,4-Dimethyl-5-pentyl-2-furyl)undecanoyl]oxy}-3-hydroxy-2-propanyl 13-(3-methyl-5-pentyl-2-furyl)tridecanoate",C48H82O7,771.60744,3.852,Leptin,35,35,0,35,-0.4230155183171847,0.011347107234459418,0.3347814325304195,28614.6810497546,1382198.65108457,324.41,7988.85
pearson,tp4,GTT,CD,posi,Indole-3-propionic acid,C11H11NO2,190.08615,9.619,GIP,34,34,0,34,-0.4290184456723421,0.011348187053548339,0.3347814325304195,6200.54995869261,152515.669793762,9.74,290.77
pearson,tp4,GTT,CD,posi,diethylmaleate,C8H12O4,173.08148,7.662,Resistin,35,35,0,35,0.42299227785482935,0.01135208490569061,0.3347814325304195,28505.9099372819,5935898.04065858,4345.62,30708.92
pearson,tp4,GTT,CD,posi,2-Isopropyl-3-methoxypyrazine,C8H12N2O,170.12876,11.41,C-Peptide 2,34,34,0,34,0.4289105807579578,0.011371057310734867,0.3349246669969282,3072535.59485526,38799257.3871732,102.01,1743.56
pearson,tp4,GTT,CD,posi,5'-Methylthioadenosine,C11H15N5O3S,330.12303000000003,2.38,PYY,34,34,0,34,0.42888890739496527,0.011375657340919386,0.3349246669969282,50827.7339150824,5341092.73392043,1.63,170.9
pearson,sys_sac,SAC,CD,posi,"PE(22:2(13Z,16Z)/20:4(8Z,11Z,14Z,17Z))",C47H82NO8P,820.58391,3.029,PYY,38,38,38,0,0.40624875727429083,0.01137934564720253,0.3349246669969282,62041.8438542311,11836468.4117147,29.88,445.18
pearson,pv,SAC,CD,posi,7-Ketocholesterol,C27H44O2,401.34114,2.46,Resistin,43,43,43,0,-0.3824065204055571,0.011382903446418093,0.3349246669969282,93676.1898032514,4808558.55546019,5122.24,58609.94
