correlation_method,metabolite_timepoint,hormone_sampling_time,metabolite_source,metabolite_ion_mode,metabolite,metabolite_formula,metabolite_mz,metabolite_rt,hormone,n,n_unique_samples,n_before_outlier_filter,n_outlier_removed,removed_samples,removed_for_metabolite,removed_for_hormone,n_med_adj_ic,n_raw_ion_count_fallback,n_cd,n_id,n_young,n_old,correlation,p_value,p_adj_bh,metabolite_min,metabolite_max,hormone_min,hormone_max
pearson,sys_sac,SAC,CD,nega,N-Formylglycine,C3H5NO3,102.01962,9.971,Secretin,36,36,38,2,3M34;3M40,,3M34;3M40,36,0,21,15,10,26,-0.37425620133671245,0.02453069274754153,0.5009713923640419,459155.41975797,1338557.54467737,6.73,93.64
pearson,pv,SAC,CD,posi,1-arachidonoyl-sn-glycero-3-phosphocholine,C28H50NO7P,544.33932,8.329,PYY,37,37,43,6,2M17;3M38;4M1;4M4;5M8;5M10,2M17;4M1;4M4;5M8;5M10,3M38,37,0,20,17,10,27,-0.3691738892296898,0.024536890547884587,0.5009713923640419,13221.2731400192,1056200.06146701,29.88,352.53
pearson,pv,SAC,CD,posi,Hypotaurocyamine,C3H9N3O2S,184.07491,11.899,Resistin,42,42,43,1,3M6,3M6,,42,0,24,18,14,28,0.3465912225555352,0.024538868383553552,0.5009713923640419,20474.287743055,7257688.94524765,5122.24,58609.94
pearson,tp4,GTT,CD,nega,2-Hydroxyethanesulfonate,C2H6O4S,124.99144,5.204,Resistin,33,33,34,1,3M30,,3M30,0,33,15,18,0,33,0.39073873299849077,0.024557131401549696,0.5011603984645415,13636921.1076476,124078282.795903,4345.62,24285.62
pearson,pv,SAC,CD,posi,Pyrimidine,C4H4N2,81.04475,14.919,PYY,37,37,43,6,3M14;3M27;3M33;3M38;5M3;5M8,3M14;3M27;3M33;5M3;5M8,3M38,37,0,22,15,12,25,-0.36910785849416355,0.024564489794488116,0.5011603984645415,15589725.228716,3123678026.2204,29.88,352.53
pearson,sys_sac,SAC,CD,posi,D-Glycero-D-galacto-heptitol,C7H16O7,213.09794,15.981,Leptin,34,34,38,4,3M6;3M14;5M4;5M6,3M14;5M4;5M6,3M6,34,0,18,16,8,26,-0.3849536027553109,0.02456885376833448,0.5011603984645415,7598.29772205417,115812.458152924,608.22,7640.21
pearson,sys_sac,SAC,CD,posi,1-Hexanal,C6H12O,218.2113,3.977,Leptin,28,28,38,10,3M4;3M6;3M13;3M14;3M15;3M17;3M21;3M38;4M3;5M9,3M4;3M6;3M13;3M14;3M15;3M17;3M21;3M38;4M3;5M9,3M6,28,0,16,12,8,20,-0.423837270170662,0.024599713972041973,0.5016488199820176,7913.49594110557,994259.703266743,608.22,7640.21
pearson,tp4,GTT,CD,posi,"(15R,21S)-18,21,22-Trihydroxy-3-methyl-18-oxido-12-oxo-13,17,19-trioxa-18λ~5~-phosphadocosan-15-yl 22-methyltetracosanoate",C44H87O10P,807.60817,3.791,PYY,33,33,34,1,3M6,,3M6,0,33,15,18,0,33,-0.3905397448453504,0.024636607482091493,0.5021649972023607,10154.9423322924,187099.349099627,1.63,80.39
pearson,sys_sac,SAC,CD,posi,epi-Tulipinolide,C17H22O4,291.15873,2.416,Leptin,35,35,38,3,3M1;3M6;3M39,3M1;3M39,3M6,35,0,19,16,10,25,-0.3792729977090879,0.02463887207790893,0.5021649972023607,10963.8467657691,39813.1868854724,608.22,7640.21
pearson,sys_sac,SAC,CD,posi,Fasoracetam,C10H16N2O2,197.12805,6.481,Insulin,33,33,38,5,3M6;3M14;3M37;5M2;5M9,5M9,3M6;3M14;3M37;5M2,33,0,18,15,8,25,0.39050540981316867,0.024650342327459385,0.5021706932549667,38726.491228574,194050.883206407,112.79,6851.38
