"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ontology","comparison","direction"
"GO:0051233","spindle midzone",37,0.274336937472189,1.02419793051888,0.403508771929825,0.712056278806501,0.571072704807219,3351,"tags=41%, list=24%, signal=31%","51869/23834/240641/18817/229841/108911/70218/101706/228421/233406/381293/14579/51810/26934/20877","CC","old ID vs old CD","Up"
"GO:0099091","postsynaptic specialization, intracellular component",55,-0.255032469339984,-1.02195350032685,0.407407407407407,0.712056278806501,0.571072704807219,2409,"tags=22%, list=17%, signal=18%","22782/12387/18195/13383/245666/12361/77097/56724/18125/382253/77531/110784","CC","old ID vs old CD","Down"
"GO:0098686","hippocampal mossy fiber to CA3 synapse",45,-0.266460621419455,-1.01970350700363,0.410488245931284,0.712056278806501,0.571072704807219,2975,"tags=29%, list=22%, signal=23%","13844/105853/235106/78808/14265/67826/210274/19058/94245/53611/77531/60510/13841","CC","old ID vs old CD","Down"
"GO:0002116","semaphorin receptor complex",11,0.385146976650729,1.01687248821482,0.413276231263383,0.712056278806501,0.571072704807219,2945,"tags=55%, list=21%, signal=43%","54712/235611/140570/243743/18844/67784","CC","old ID vs old CD","Up"
"GO:0060170","ciliary membrane",50,-0.260109873566999,-1.0152432672005,0.405156537753223,0.712056278806501,0.571072704807219,2384,"tags=32%, list=17%, signal=27%","103765/244650/19881/210274/57440/12484/12361/102774/74325/26365/56297/269604/69672/71492/76260/20276","CC","old ID vs old CD","Down"
"GO:1905370","serine-type endopeptidase complex",16,0.343670461188342,1.01344533435884,0.412147505422993,0.712056278806501,0.571072704807219,1637,"tags=25%, list=12%, signal=22%","14133/12628/93757/76976","CC","old ID vs old CD","Up"
"GO:0071007","U2-type catalytic step 2 spliceosome",30,-0.294407944602081,-1.02384776334635,0.416044776119403,0.714076851320321,0.572693214091486,3762,"tags=57%, list=27%, signal=41%","80744/20643/68592/68183/56031/71713/66877/28000/20638/217207/20624/53317/67332/231889/66070/69878/71702","CC","old ID vs old CD","Down"
"GO:0045120","pronucleus",20,0.326316759126022,1.03705596849746,0.420581655480984,0.72,0.577443609022556,1741,"tags=25%, list=13%, signal=22%","51869/20525/15388/108000/194388","CC","old ID vs old CD","Up"
"GO:0002178","palmitoyltransferase complex",10,-0.410611705118075,-1.03390880369187,0.424860853432282,0.72,0.577443609022556,3417,"tags=80%, list=25%, signal=60%","71146/66844/208884/66612/57437/66183/268656/227102","CC","old ID vs old CD","Down"
"GO:0030008","TRAPP complex",14,-0.368054913958731,-1.0316406409954,0.423005565862709,0.72,0.577443609022556,5093,"tags=43%, list=37%, signal=27%","216131/59005/66682/60409/245828/78232","CC","old ID vs old CD","Down"
"GO:0097228","sperm principal piece",17,-0.345101619414663,-1.01964608612274,0.427027027027027,0.72,0.577443609022556,3886,"tags=47%, list=28%, signal=34%","68226/320225/211484/18642/71233/67042/20686/20276","CC","old ID vs old CD","Down"
"GO:0005912","adherens junction",148,0.209645170813622,1.01047667598365,0.427937915742794,0.72,0.577443609022556,1852,"tags=16%, list=13%, signal=14%","192216/18128/12552/381104/17988/22793/545370/227485/110380/329628/232288/17886/16774/223881/16449/30794/13052/213019/21872/101543/71774/12565/13640/12614","CC","old ID vs old CD","Up"
"GO:0022627","cytosolic small ribosomal subunit",36,0.27094676059498,1.00739430393284,0.423655913978495,0.72,0.577443609022556,4988,"tags=44%, list=36%, signal=28%","20102/76846/20085/20116/20042/27050/20115/16898/20044/27207/66481/20091/54127/20104/78294/20084","CC","old ID vs old CD","Up"
"GO:0045177","apical part of cell",458,0.181378145768952,1.00191288574941,0.428571428571429,0.72,0.577443609022556,3292,"tags=28%, list=24%, signal=22%","11421/241226/16485/14595/18128/12804/14609/19206/121021/13482/16971/50934/13038/50490/16534/99439/245049/14268/319430/140494/11941/20750/81897/104111/59033/93840/12316/12490/15483/101488/65970/110380/329628/20502/17886/20525/74338/23850/16416/53416/70008/16449/15511/18214/18080/77090/13479/21687/109711/93737/13132/233571/22329/21872/12351/13543/68294/71774/27405/74096/29875/13057/11799/211134/207792/12527/74488/20509/271639/18791/110350/13649/214552/56470/16526/94229/640524/12728/80718/209558/227059/11474/14365/17880/17153/15516/19228/18596/56485/77832/101772/76089/19141/13340/16513/27360/17380/63959/16194/11933/229709/11465/330064/29876/19730/11987/237636/192176/432572/13607/11891/12505/16591/16531/13731/319710/27416/72401/105727/20855/12305/360013/77579/52685/27060/286940/16790/225997/14680","CC","old ID vs old CD","Up"
"GO:0016235","aggresome",32,0.279403937779146,1.00151827668468,0.426991150442478,0.72,0.577443609022556,2348,"tags=25%, list=17%, signal=21%","13629/70673/15511/104248/14191/13543/20527/22666","CC","old ID vs old CD","Up"
