"direction","overlap_group","gene.id"
"Upregulated","Shared","Cntfr"
"Upregulated","Shared","Col6a6"
"Upregulated","Shared","Crispld2"
"Upregulated","Shared","Dus3l"
"Upregulated","Shared","Efhd1"
"Upregulated","Shared","Fam173b"
"Upregulated","Shared","Fbxl20"
"Upregulated","Shared","Fnbp1"
"Upregulated","Shared","Fndc1"
"Upregulated","Shared","Galr2"
"Upregulated","Shared","Gbp4"
"Upregulated","Shared","Gm10032"
"Upregulated","Shared","Gm12940"
"Upregulated","Shared","Gm14296"
"Upregulated","Shared","Gm4245"
"Upregulated","Shared","Hbegf"
"Upregulated","Shared","Hmgb1-ps8"
"Upregulated","Shared","Ikzf4"
"Upregulated","Shared","Itga2"
"Upregulated","Shared","Jak3"
"Upregulated","Shared","Kcnf1"
"Upregulated","Shared","Kmt2e"
"Upregulated","Shared","Krba1"
"Upregulated","Shared","Lrfn4"
"Upregulated","Shared","Ltbp4"
"Upregulated","Shared","Maml3"
"Upregulated","Shared","Meg3"
"Upregulated","Shared","Mmp2"
"Upregulated","Shared","Notch1"
"Upregulated","Shared","Numbl"
"Upregulated","Shared","Odf2l"
"Upregulated","Shared","Pcx"
"Upregulated","Shared","Pdgfrl"
"Upregulated","Shared","Pi16"
"Upregulated","Shared","Piwil2"
"Upregulated","Shared","Pkd1"
"Upregulated","Shared","Polk"
"Upregulated","Shared","Ppl"
"Upregulated","Shared","Ppm1k"
"Upregulated","Shared","Rbm12b2"
"Upregulated","Shared","Rbm33"
"Upregulated","Shared","Rbm5"
"Upregulated","Shared","Rian"
"Upregulated","Shared","Rnf169"
"Upregulated","Shared","Slc2a4rg-ps"
"Upregulated","Shared","Slc6a2"
"Upregulated","Shared","Slc7a2"
"Upregulated","Shared","Socs2"
"Upregulated","Shared","Stab1"
"Upregulated","Shared","Sytl2"
"Upregulated","Shared","Tbc1d4"
"Upregulated","Shared","Tgtp1"
"Upregulated","Shared","Tln2"
"Upregulated","Shared","Tnfsf10"
"Upregulated","Shared","Tppp"
"Upregulated","Shared","Zcchc14"
"Upregulated","Shared","Zfp111"
"Upregulated","Shared","Zfp217"
"Upregulated","Shared","Zfp90"
"Upregulated","Young CD vs old CD only","0610009L18Rik"
"Upregulated","Young CD vs old CD only","0610009O20Rik"
"Upregulated","Young CD vs old CD only","0610010K14Rik"
"Upregulated","Young CD vs old CD only","1110002E22Rik"
"Upregulated","Young CD vs old CD only","1110002L01Rik"
