"","gene.id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","design"
"22016","RP23-250G8.12",0.539187530602535,-2.04478757389574,2.23515586967343,-0.914829968522279,0.36028089941554,0.996616347260771,"~diet"
"22017","Fabp1",126.187979691631,-2.04682711821322,1.77459940537246,-1.15340234647696,0.248745278818109,0.996616347260771,"~diet"
"22018","Wfdc21",24.7048340308202,-2.04753539879006,0.764941741960049,-2.67672070495664,0.007434658151318,0.996616347260771,"~diet"
"22019","Gtf2a1l",0.349047329998834,-2.04847146695305,3.07216852512333,-0.666783560277122,0.504910395142487,0.996616347260771,"~diet"
"22020","Ighv1-43",0.349047329998834,-2.04847146695305,3.07216852512333,-0.666783560277122,0.504910395142487,0.996616347260771,"~diet"
"22021","Neurod4",0.349047329998834,-2.04847146695305,3.07216852512333,-0.666783560277122,0.504910395142487,0.996616347260771,"~diet"
"22022","Nps",0.349047329998834,-2.04847146695305,3.07216852512333,-0.666783560277122,0.504910395142487,0.996616347260771,"~diet"
"22023","Hsf5",0.761182989083407,-2.04982193409531,1.65486893775122,-1.23866119384704,0.215470995605543,0.996616347260771,"~diet"
"22024","Cyp3a11",51.0322090792794,-2.05149354039087,1.86994134622915,-1.09708978013018,0.272602147314721,0.996616347260771,"~diet"
"22025","Ptprh",14.6031366142618,-2.05436321003889,2.02665222523934,-1.01367328072101,NA,NA,"~diet"
"22026","2210417A02Rik",0.531522623426502,-2.05571074765131,2.24529465804242,-0.915563906183965,0.359895669622195,0.996616347260771,"~diet"
"22027","Mep1b",14.5776804736009,-2.05817365247371,2.31916024323104,-0.887465046229955,0.374828576830774,0.996616347260771,"~diet"
"22028","Gm7340",0.539409488625811,-2.06231850279703,2.27003417662783,-0.908496675526107,0.363615869403506,0.996616347260771,"~diet"
"22029","Gm4788",20.9886501344353,-2.0634221525113,2.02775025069538,-1.01759186162285,0.308871956559256,0.996616347260771,"~diet"
"22030","Hgfac",16.2544637031834,-2.06443940275212,1.69297714868585,-1.21941362549082,0.222687240963808,0.996616347260771,"~diet"
"22031","Gcnt3",19.7145138132107,-2.0734624644253,2.43527478228592,-0.851428544945967,0.394531340712687,0.996616347260771,"~diet"
"22032","Cyp4f40",5.34837476602884,-2.07453734004115,1.5479378068149,-1.34019424482551,0.180182202190634,0.996616347260771,"~diet"
"22033","BC089597",18.1253068916254,-2.07753413701952,2.03032778178496,-1.02325060793536,0.306189370377698,0.996616347260771,"~diet"
"22034","RP24-447G12.2",0.545124824764893,-2.07901064336052,2.23501898124491,-0.930198204492434,0.352268471374093,0.996616347260771,"~diet"
"22035","Gm15582",0.554186691154705,-2.08341302981774,2.22645794466586,-0.935752249356056,0.349400762066624,0.996616347260771,"~diet"
"22036","Asz1",0.350490440107662,-2.08409479505503,3.07030840652554,-0.678790049437888,0.497270899510184,0.996616347260771,"~diet"
"22037","Gm10825",0.350490440107662,-2.08409479505503,3.07030840652554,-0.678790049437888,0.497270899510184,0.996616347260771,"~diet"
"22038","Tex11",0.350490440107662,-2.08409479505503,3.07030840652554,-0.678790049437888,0.497270899510184,0.996616347260771,"~diet"
"22039","Gm16150",4.21891631726333,-2.08468618583117,0.874748007618012,-2.3831848345764,0.0171635741575783,0.996616347260771,"~diet"
"22040","Lypd8",283.715138372546,-2.08608468424161,2.30603973891216,-0.904617838557149,0.365667881585545,0.996616347260771,"~diet"
"22041","Gbx1",0.543127034960282,-2.08680951093072,2.23848192779442,-0.932243180085377,0.351210864711558,0.996616347260771,"~diet"
"22042","Olfr49",0.786681481751043,-2.08828287718924,2.15787487488608,-0.967749753006181,0.33316936375386,0.996616347260771,"~diet"
"22043","Sult2a2",36.2019316026494,-2.08853601815586,2.20547011534463,-0.946979967502074,0.343648986911462,0.996616347260771,"~diet"
"22044","Dcdc2a",1.73104554362474,-2.08868980852984,1.20378524840513,-1.73510168138138,0.0827227965611453,0.996616347260771,"~diet"
"22045","Aadat",4.16600865706834,-2.09192255348306,1.39079367018776,-1.50412142241102,0.13255010531611,0.996616347260771,"~diet"
