"ontology","ID","Description","direction","age_NES","age_p.adjust","age_setSize","diet_NES","diet_p.adjust","diet_setSize","direction_label","best_p.adjust","worst_p.adjust"
"BP","GO:0009164","nucleoside catabolic process","Down",-1.81055357411429,0.0343983703219313,15,-1.66561620487801,0.0924375307572024,16,"Down in young CD and old ID",0.0343983703219313,0.0924375307572024
"BP","GO:0072330","monocarboxylic acid biosynthetic process","Down",-1.62339834012669,0.00387827764424007,194,-1.44514447547257,0.0939564369700696,200,"Down in young CD and old ID",0.00387827764424007,0.0939564369700696
"BP","GO:0042632","cholesterol homeostasis","Down",-1.61656816194787,0.0312812008866083,82,-1.54070212605941,0.0953877955619742,84,"Down in young CD and old ID",0.0312812008866083,0.0953877955619742
"BP","GO:0034377","plasma lipoprotein particle assembly","Down",-1.73803869309512,0.0325679432602345,26,-1.71160706919169,0.0954801935046576,26,"Down in young CD and old ID",0.0325679432602345,0.0954801935046576
"BP","GO:1904478","regulation of intestinal absorption","Down",-1.86436455109089,0.0119610718461271,12,-1.71138771202123,0.0960633890279898,14,"Down in young CD and old ID",0.0119610718461271,0.0960633890279898
"BP","GO:1901657","glycosyl compound metabolic process","Down",-1.43757956853805,0.0978100404163773,64,-1.77614238132726,0.0266503009943414,65,"Down in young CD and old ID",0.0266503009943414,0.0978100404163773
"BP","GO:0009150","purine ribonucleotide metabolic process","Down",-1.3497242523572,0.0870320114837524,300,-1.38377853034575,0.0987871801949934,303,"Down in young CD and old ID",0.0870320114837524,0.0987871801949934
"BP","GO:0034381","plasma lipoprotein particle clearance","Down",-1.99109629686407,0.00210372509768787,43,-1.67950022207084,0.0992075098255955,44,"Down in young CD and old ID",0.00210372509768787,0.0992075098255955
"BP","GO:0061138","morphogenesis of a branching epithelium","Up",1.62634996953505,0.00394050009587436,185,1.76230287952544,0.000895170806829253,188,"Up in young CD and old ID",0.000895170806829253,0.00394050009587436
"BP","GO:0048754","branching morphogenesis of an epithelial tube","Up",1.73612717111306,0.0012673050618874,154,1.7535387980459,0.0059419319069628,157,"Up in young CD and old ID",0.0012673050618874,0.0059419319069628
"BP","GO:0001763","morphogenesis of a branching structure","Up",1.60212208953652,0.00361699389885106,199,1.66189552426551,0.00606367265921452,203,"Up in young CD and old ID",0.00361699389885106,0.00606367265921452
"BP","GO:0030198","extracellular matrix organization","Up",1.50074938198231,0.00733436492109095,251,2.35588178789258,1.61063765489194e-11,249,"Up in young CD and old ID",1.61063765489194e-11,0.00733436492109095
"BP","GO:0043062","extracellular structure organization","Up",1.50074938198231,0.00733436492109095,251,2.35588178789258,1.61063765489194e-11,249,"Up in young CD and old ID",1.61063765489194e-11,0.00733436492109095
"BP","GO:0045229","external encapsulating structure organization","Up",1.50074938198231,0.00733436492109095,251,2.35588178789258,1.61063765489194e-11,249,"Up in young CD and old ID",1.61063765489194e-11,0.00733436492109095
"BP","GO:0001501","skeletal system development","Up",1.66510718813804,1.08246810915579e-05,446,1.42597447301066,0.020655314601592,448,"Up in young CD and old ID",1.08246810915579e-05,0.020655314601592
"BP","GO:0042063","gliogenesis","Up",1.34556843589582,0.0285864314784845,326,1.69788497605133,0.000478308627768213,331,"Up in young CD and old ID",0.000478308627768213,0.0285864314784845
"BP","GO:0001503","ossification","Up",1.46732146026008,0.00474016519448086,348,1.41549552042822,0.0378756241737058,354,"Up in young CD and old ID",0.00474016519448086,0.0378756241737058
"BP","GO:0007492","endoderm development","Up",1.69351232255842,0.0152560690994869,66,1.65792065933176,0.0423993023404058,68,"Up in young CD and old ID",0.0152560690994869,0.0423993023404058
"BP","GO:0035567","non-canonical Wnt signaling pathway","Up",1.92591186301677,0.00282109156544577,53,1.71432378657484,0.0499671280496443,54,"Up in young CD and old ID",0.00282109156544577,0.0499671280496443
"BP","GO:0060348","bone development","Up",1.4096178775107,0.0244993594616789,198,1.45347278077692,0.0599598316621041,198,"Up in young CD and old ID",0.0244993594616789,0.0599598316621041
"BP","GO:0014037","Schwann cell differentiation","Up",1.69029557869636,0.034027962867291,50,1.68889024308109,0.0671475025355263,51,"Up in young CD and old ID",0.034027962867291,0.0671475025355263
"BP","GO:0030199","collagen fibril organization","Up",1.56370220519658,0.0708739460585435,54,1.9101634385271,0.0143428355830528,54,"Up in young CD and old ID",0.0143428355830528,0.0708739460585435
"BP","GO:0001704","formation of primary germ layer","Up",1.69800383074852,0.00501681234210016,98,1.49641309746815,0.0720894405708668,102,"Up in young CD and old ID",0.00501681234210016,0.0720894405708668
"BP","GO:0007369","gastrulation","Up",1.6286704068029,0.00585821231226262,155,1.4647139923572,0.0722186250976919,159,"Up in young CD and old ID",0.00585821231226262,0.0722186250976919
"BP","GO:0007416","synapse assembly","Up",1.33194859458613,0.0756805054566316,235,1.40987280163273,0.0763916827572294,237,"Up in young CD and old ID",0.0756805054566316,0.0763916827572294
"BP","GO:1903053","regulation of extracellular matrix organization","Up",1.46707653286921,0.0781985547709029,62,1.75182924838614,0.0279914083902709,62,"Up in young CD and old ID",0.0279914083902709,0.0781985547709029
"BP","GO:0048705","skeletal system morphogenesis","Up",1.85247509661671,2.29647269123675e-05,209,1.36820885586134,0.0907144833016657,212,"Up in young CD and old ID",2.29647269123675e-05,0.0907144833016657
"BP","GO:0060562","epithelial tube morphogenesis","Up",1.74740838742237,1.38365089097124e-05,320,1.3315811869101,0.0924375307572024,327,"Up in young CD and old ID",1.38365089097124e-05,0.0924375307572024
"CC","GO:0098803","respiratory chain complex","Down",-2.0399386918715,7.73376454329476e-05,81,-2.2440146882974,6.3050600828584e-06,82,"Down in young CD and old ID",6.3050600828584e-06,7.73376454329476e-05
"CC","GO:0000502","proteasome complex","Down",-2.43665049435518,1.37497999706762e-07,61,-2.02357307734056,0.000783476671483833,62,"Down in young CD and old ID",1.37497999706762e-07,0.000783476671483833
"CC","GO:0032994","protein-lipid complex","Down",-2.20013399290391,7.82851420373847e-05,41,-2.1176441130717,0.000906396656798197,42,"Down in young CD and old ID",7.82851420373847e-05,0.000906396656798197
"CC","GO:0034358","plasma lipoprotein particle","Down",-2.22432475516952,5.94688967803116e-05,38,-2.11959729743497,0.00133569515133723,39,"Down in young CD and old ID",5.94688967803116e-05,0.00133569515133723
"CC","GO:1990777","lipoprotein particle","Down",-2.22432475516952,5.94688967803116e-05,38,-2.11959729743497,0.00133569515133723,39,"Down in young CD and old ID",5.94688967803116e-05,0.00133569515133723
"CC","GO:0030964","NADH dehydrogenase complex","Down",-1.98360401021813,0.00186626228232053,45,-2.35364957965458,6.3050600828584e-06,45,"Down in young CD and old ID",6.3050600828584e-06,0.00186626228232053
"CC","GO:0045271","respiratory chain complex I","Down",-1.98360401021813,0.00186626228232053,45,-2.35364957965458,6.3050600828584e-06,45,"Down in young CD and old ID",6.3050600828584e-06,0.00186626228232053
"CC","GO:1905369","endopeptidase complex","Down",-2.27280633027448,4.56827644494222e-07,90,-1.85274662578341,0.00291036552142261,91,"Down in young CD and old ID",4.56827644494222e-07,0.00291036552142261
"CC","GO:0005838","proteasome regulatory particle","Down",-2.33457131466128,5.16771777560642e-05,21,-2.0715531925286,0.00371591735459383,21,"Down in young CD and old ID",5.16771777560642e-05,0.00371591735459383
"CC","GO:0034364","high-density lipoprotein particle","Down",-2.28929552983889,2.46728675560443e-05,31,-1.98522278919073,0.00643148607104412,32,"Down in young CD and old ID",2.46728675560443e-05,0.00643148607104412
"CC","GO:0000313","organellar ribosome","Down",-1.76129315238849,0.00935336769231462,85,-2.18235731539545,9.65914036464273e-06,85,"Down in young CD and old ID",9.65914036464273e-06,0.00935336769231462
"CC","GO:0005761","mitochondrial ribosome","Down",-1.76129315238849,0.00935336769231462,85,-2.18235731539545,9.65914036464273e-06,85,"Down in young CD and old ID",9.65914036464273e-06,0.00935336769231462
"CC","GO:0030658","transport vesicle membrane","Down",-1.52964767254321,0.00935336769231462,185,-1.89357561352777,0.000131404669465948,187,"Down in young CD and old ID",0.000131404669465948,0.00935336769231462
"CC","GO:0030662","coated vesicle membrane","Down",-1.59151083510784,0.0112986840011676,109,-1.9893775352587,0.000127603423867792,109,"Down in young CD and old ID",0.000127603423867792,0.0112986840011676
"CC","GO:1905368","peptidase complex","Down",-1.9662437141021,0.000120555160589299,117,-1.67315219799041,0.0116232421723554,118,"Down in young CD and old ID",0.000120555160589299,0.0116232421723554
"CC","GO:0022624","proteasome accessory complex","Down",-2.27329733292363,6.51531562226233e-05,24,-1.94727441417765,0.0154214083777388,24,"Down in young CD and old ID",6.51531562226233e-05,0.0154214083777388
"CC","GO:0042627","chylomicron","Down",-2.05113847583607,0.00252397487740887,12,-1.83913685410998,0.0161706807754046,12,"Down in young CD and old ID",0.00252397487740887,0.0161706807754046
"CC","GO:0034361","very-low-density lipoprotein particle","Down",-1.97451001826917,0.00675775130285649,23,-1.93644459634123,0.016229163570876,24,"Down in young CD and old ID",0.00675775130285649,0.016229163570876
"CC","GO:0034385","triglyceride-rich plasma lipoprotein particle","Down",-1.97451001826917,0.00675775130285649,23,-1.93644459634123,0.016229163570876,24,"Down in young CD and old ID",0.00675775130285649,0.016229163570876
"CC","GO:0005774","vacuolar membrane","Down",-1.41418336674665,0.0197493225615409,319,-1.4830917443783,0.0140644679380234,326,"Down in young CD and old ID",0.0140644679380234,0.0197493225615409
"CC","GO:0031083","BLOC-1 complex","Down",-1.85197799105863,0.0216748751516253,12,-1.84344679239487,0.0155275580285473,12,"Down in young CD and old ID",0.0155275580285473,0.0216748751516253
