"gene.id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","design","comparison"
"Serpina1a",237.432873388723,-8.84219115564269,1.81486973541346,-4.87208033893865,1.10429243739731e-06,3.52109487112234e-05,"age.grp","young CD vs old CD"
"Atp6v1e1",2618.57698067348,-0.425658153551835,0.0874199644847762,-4.86911835369096,1.12097256840197e-06,3.56657716105998e-05,"age.grp","young CD vs old CD"
"Osbpl6",1898.45297441365,0.715820056027349,0.147079101683628,4.86690527636688,1.1335932683996e-06,3.5989757895448e-05,"age.grp","young CD vs old CD"
"Smad1",249.294615394326,0.458967291445152,0.094480651169465,4.85779136536566,1.18702388357842e-06,3.76052223031506e-05,"age.grp","young CD vs old CD"
"Abcc2",16.905570249559,-5.60278925003566,1.1543049238635,-4.85382080090494,1.2110517905361e-06,3.82274536774672e-05,"age.grp","young CD vs old CD"
"Iqgap2",110.371457635755,-1.98138436579568,0.408222169373693,-4.85369123591592,1.21184368495933e-06,3.82274536774672e-05,"age.grp","young CD vs old CD"
"Zfp217",179.203284527447,0.574365044653972,0.118403909292202,4.85089595510338,1.22905010457704e-06,3.86143851675843e-05,"age.grp","young CD vs old CD"
"Clic4",1967.84460237342,-0.477190020331107,0.0983724741826502,-4.85084902352967,1.22934098955257e-06,3.86143851675843e-05,"age.grp","young CD vs old CD"
"Lgr4",1072.06608091716,0.551227312829079,0.113753785955583,4.84579311535455,1.26106875170459e-06,3.95268746951484e-05,"age.grp","young CD vs old CD"
"Narf",4781.84622945276,0.417208443877328,0.0861203610932782,4.84448089372783,1.26943132441749e-06,3.9704692038931e-05,"age.grp","young CD vs old CD"
"Col6a1",1630.69698086524,0.671202638905542,0.138651448448091,4.84093492291809,1.29229691077595e-06,4.0334417111597e-05,"age.grp","young CD vs old CD"
"Rrnad1",225.184761996104,0.646565636387775,0.13358901429887,4.83996112839979,1.29864527122504e-06,4.04470467069522e-05,"age.grp","young CD vs old CD"
"Rpl3",1740.06951439862,-0.7954393311726,0.164507787545662,-4.83526854892395,1.32966004059441e-06,4.13258340616742e-05,"age.grp","young CD vs old CD"
"2310030G06Rik",92.362254026065,-0.885114657866758,0.183207064436967,-4.83122558940016,1.35695147233912e-06,4.20854508112235e-05,"age.grp","young CD vs old CD"
"Atp2a3",299.52287943068,-1.08212641912624,0.224234902936103,-4.82586076010921,1.39399878909784e-06,4.31438241581792e-05,"age.grp","young CD vs old CD"
"Gm16576",251.513812578164,0.812670846849436,0.168423192475803,4.82517184779163,1.39882602762038e-06,4.32026540706269e-05,"age.grp","young CD vs old CD"
"Psmc6",4477.46086090032,-0.470606035187736,0.0975442494604801,-4.8245389942582,1.40327462295768e-06,4.3249568389821e-05,"age.grp","young CD vs old CD"
"Zfp110",611.308507736396,-0.447574834415314,0.0927941430572429,-4.82330909763576,1.41195903003366e-06,4.34265649174728e-05,"age.grp","young CD vs old CD"
"Wif1",34.8337956247144,2.5162356841814,0.522541618678023,4.81537851577684,1.46921125430497e-06,4.50461016213923e-05,"age.grp","young CD vs old CD"
"Abcc4",569.355855485438,0.634439802378808,0.1317584446708,4.81517373678752,1.47071875509795e-06,4.50461016213923e-05,"age.grp","young CD vs old CD"
"Klhdc3",1569.90822795384,0.620279386550228,0.129073584659347,4.80562609450477,1.54267972335509e-06,4.71523411095056e-05,"age.grp","young CD vs old CD"
"Serinc1",8496.48977784349,-0.33470311360404,0.0696751900960917,-4.8037631923564,1.5571097707474e-06,4.7469395240755e-05,"age.grp","young CD vs old CD"
"Lrtm2",64.5220542287921,2.22618892114211,0.463455446470537,4.80345832182088,1.55948362065747e-06,4.7469395240755e-05,"age.grp","young CD vs old CD"
"Psma7",1628.13896595844,-0.417686433795968,0.0870235292834141,-4.79969540692456,1.58907123740224e-06,4.82704911065211e-05,"age.grp","young CD vs old CD"
"3632451O06Rik",192.80581718375,-0.668274081025236,0.139258132127689,-4.79881548613965,1.59606745809954e-06,4.83834576671942e-05,"age.grp","young CD vs old CD"
"Emc3",1790.76746869997,-0.303177853834009,0.0632692662846348,-4.79186612454264,1.65237151232338e-06,4.99876242549795e-05,"age.grp","young CD vs old CD"
"Serpina1b",335.749104729456,-9.31499822832111,1.94504081900219,-4.78910166682247,1.67529593213687e-06,5.04710985248279e-05,"age.grp","young CD vs old CD"
"Fdft1",1439.27031512522,0.477781017069414,0.0997665140899927,4.7889917917593,1.67621336450096e-06,5.04710985248279e-05,"age.grp","young CD vs old CD"
"Fgl1",117.414416912961,-8.7074349826347,1.81832766312078,-4.78870511582616,1.67860931895215e-06,5.04710985248279e-05,"age.grp","young CD vs old CD"
"Galnt6",10.3813788320129,-3.24884640792693,0.678624083827112,-4.78740216469332,1.68954054773826e-06,5.06965185086585e-05,"age.grp","young CD vs old CD"
"Pou2af1",23.7897096575863,-4.15000807427894,0.867655544124793,-4.78301337711737,1.72686628459463e-06,5.16375727828134e-05,"age.grp","young CD vs old CD"
"Steap3",765.81278278732,0.626249468119655,0.13093527766619,4.78289334457464,1.72789818835669e-06,5.16375727828134e-05,"age.grp","young CD vs old CD"
"Thap2",364.879656206539,0.744883580597733,0.155773488712004,4.78183795430609,1.7369967854786e-06,5.18046132202434e-05,"age.grp","young CD vs old CD"
"Serpind1",36.4085861412483,-4.9464466364045,1.0349474176824,-4.77941830849848,1.75803084572172e-06,5.23262285794149e-05,"age.grp","young CD vs old CD"
"Ndst1",1710.23801709692,0.607389129311813,0.127107818682761,4.77853475581822,1.7657724365976e-06,5.24509023772442e-05,"age.grp","young CD vs old CD"
"Gtpbp2",1012.60606922827,0.560717821420104,0.117361199557204,4.77771038073619,1.77302505475429e-06,5.24611695570956e-05,"age.grp","young CD vs old CD"
"Trpv2",33.6881185986776,-1.02199850048437,0.213910696876876,-4.77768767717408,1.77322519873947e-06,5.24611695570956e-05,"age.grp","young CD vs old CD"
"Nbr1",3639.71924139936,-0.345778966776955,0.0724256041862347,-4.77426416613413,1.80365503242516e-06,5.32547184873854e-05,"age.grp","young CD vs old CD"
"Nme1",417.890258021526,-0.466654303012983,0.0977581544531052,-4.77355884655983,1.80998629604217e-06,5.3334985406129e-05,"age.grp","young CD vs old CD"
"Gabrr1",12.7346208535055,-2.20878468168357,0.462872399993107,-4.77190837413607,1.82488523774802e-06,5.36668939539323e-05,"age.grp","young CD vs old CD"
"Oxct1",12419.750943946,0.43337854175158,0.0908498218287971,4.77027398653862,1.83975506700612e-06,5.38943330466784e-05,"age.grp","young CD vs old CD"
"Zfp609",795.705182669632,0.887540935130507,0.186057300697631,4.77025589322551,1.8399203316078e-06,5.38943330466784e-05,"age.grp","young CD vs old CD"
"Sypl2",8224.08486876904,0.641666570707767,0.134564970034685,4.76845177866404,1.85647096002796e-06,5.42714470948371e-05,"age.grp","young CD vs old CD"
"Ube2d1",4328.38699538363,0.678049773408881,0.142343114576812,4.76348838807365,1.90274565054836e-06,5.55142965198525e-05,"age.grp","young CD vs old CD"
"Serpina1c",268.038200464933,-9.95803331219405,2.09082312291117,-4.76273349145331,1.90988008042246e-06,5.56125436435439e-05,"age.grp","young CD vs old CD"
"Ces1c",225.507050334255,-10.5183348713346,2.20906634983045,-4.76143909038397,1.92217315290634e-06,5.5860319402276e-05,"age.grp","young CD vs old CD"
"Dctd",22.3479197872011,1.61053098877512,0.338370066230504,4.75967335620637,1.93906516428167e-06,5.62405088807275e-05,"age.grp","young CD vs old CD"
"Sfxn3",539.609645838722,0.615898313015333,0.12944082755912,4.7581456687924,1.95379487415676e-06,5.65566151513259e-05,"age.grp","young CD vs old CD"
"Zcchc14",713.111097548602,0.654319301047903,0.137563712748817,4.75648183647566,1.96995954738413e-06,5.69129408963441e-05,"age.grp","young CD vs old CD"
"Uts2b",9.7885222064435,-3.91459187613495,0.823476208458685,-4.75374010314392,1.99687703384664e-06,5.75779211927304e-05,"age.grp","young CD vs old CD"
"Slc25a42",751.5878481697,0.767932124212206,0.161587516236324,4.75242235352572,2.00993966582118e-06,5.78415970497427e-05,"age.grp","young CD vs old CD"
"Arpc3",717.342853574414,-0.614553982326369,0.129352263376419,-4.75101066100405,2.02402459634866e-06,5.81336091748936e-05,"age.grp","young CD vs old CD"
"Slc25a27",212.653983432979,0.649795689351422,0.136830916656786,4.74889524405736,2.04530844766659e-06,5.86308516755377e-05,"age.grp","young CD vs old CD"
"Kng1",172.534850776316,-10.1318566274533,2.13446846209934,-4.74678207120857,2.06678427068989e-06,5.91316592794473e-05,"age.grp","young CD vs old CD"
"Apof",44.1141978900363,-8.1606733891746,1.71956871401157,-4.74576754198825,2.07717155651252e-06,5.9313894949312e-05,"age.grp","young CD vs old CD"
"Igsf9b",60.9074318883627,1.56996578092168,0.33102028224802,4.74280841723579,2.10775584315777e-06,6.00710415299964e-05,"age.grp","young CD vs old CD"
"C2cd2l",280.171448223008,0.4413455405451,0.0932551184574276,4.73266827435945,2.21587466841083e-06,6.30307470708075e-05,"age.grp","young CD vs old CD"
"St6galnac6",1036.96478979242,0.351598486584851,0.074300467183292,4.73211676741536,2.22190528429074e-06,6.30807455999697e-05,"age.grp","young CD vs old CD"
"Pink1",14962.0157843427,0.390676101372367,0.0826165996405357,4.72878456717168,2.25867888284819e-06,6.4001682048921e-05,"age.grp","young CD vs old CD"
"Isoc2a",441.71306167636,0.513763667022193,0.108671098179551,4.72769370723882,2.27084389419951e-06,6.41670213684174e-05,"age.grp","young CD vs old CD"
"Prkcz",86.2452354431406,-1.13864591776198,0.24085671915165,-4.72748247079234,2.27320681268592e-06,6.41670213684174e-05,"age.grp","young CD vs old CD"
"Bzw1",2926.47572947735,-0.282224919842562,0.0597321795617577,-4.72483880402801,2.3029796093434e-06,6.4795672082264e-05,"age.grp","young CD vs old CD"
"Itih3",83.8342009917102,-7.4146558514338,1.56933026408579,-4.72472622310204,2.30425576394964e-06,6.4795672082264e-05,"age.grp","young CD vs old CD"
"Actr2",1936.74715527692,-0.317541200760949,0.0672604260763602,-4.7210703125854,2.3460681337452e-06,6.58460149400766e-05,"age.grp","young CD vs old CD"
"Ambp",113.785901293456,-10.3568865510762,2.19593400009552,-4.71639245561372,2.40063166591213e-06,6.71311280680626e-05,"age.grp","young CD vs old CD"
"Rab13",137.378162285027,-0.813113513227542,0.172402569301182,-4.7163654029254,2.40095072952226e-06,6.71311280680626e-05,"age.grp","young CD vs old CD"
"Fam107a",75.8527103981523,-1.88035699825672,0.398817704256992,-4.71482829920973,2.41914659518081e-06,6.75120249237322e-05,"age.grp","young CD vs old CD"
"Fetub",38.4434747381515,-4.71314387926123,1.00007837505538,-4.71277451529761,2.44366551320296e-06,6.80676112668213e-05,"age.grp","young CD vs old CD"
"Elf3",33.1821707856359,-2.85197508917125,0.605570691399884,-4.70956591802422,2.48244920125435e-06,6.90176978495632e-05,"age.grp","young CD vs old CD"
"Pzp",309.080765003229,-9.33952328441018,1.98383270999947,-4.70781797141186,2.50382530648322e-06,6.94811522549094e-05,"age.grp","young CD vs old CD"
"C3ar1",52.9117300202794,-1.08974028087959,0.231596556497339,-4.70533887619399,2.53444606170574e-06,7.01989253451442e-05,"age.grp","young CD vs old CD"
"Zmpste24",1415.63561749771,-0.360667131592164,0.0766849535415539,-4.7032320544698,2.5607508967335e-06,7.07946919259863e-05,"age.grp","young CD vs old CD"
"Ube2r2",4212.72483170754,0.626587877812731,0.133301503890796,4.700531198253,2.59485606881564e-06,7.16034769045332e-05,"age.grp","young CD vs old CD"
"Icam1",123.673780912694,-0.677931765519325,0.144303869725303,-4.69794584725856,2.62791080997011e-06,7.23803121037102e-05,"age.grp","young CD vs old CD"
"Pik3r5",29.8056560134257,-1.41013092709795,0.300275928867544,-4.69611710940698,2.65153558182274e-06,7.28950089282106e-05,"age.grp","young CD vs old CD"
"Lime1",119.661698289558,0.75327661541129,0.160452427229632,4.69470377243489,2.66993345202174e-06,7.326436347992e-05,"age.grp","young CD vs old CD"
"Micu2",1385.47996823229,-0.449266559958726,0.0957478260616555,-4.69218548804885,2.70301882840892e-06,7.40346325859013e-05,"age.grp","young CD vs old CD"
"Cd22",20.9427243243021,-4.20055619774166,0.895554193154344,-4.69045450275472,2.72598841362937e-06,7.45254943526118e-05,"age.grp","young CD vs old CD"
"Ces2c",57.4776874442709,-3.70722291949927,0.79114058715804,-4.68592179402206,2.78702679214265e-06,7.60533762151608e-05,"age.grp","young CD vs old CD"
"5031439G07Rik",3871.03700742895,0.609094635168855,0.130057652308349,4.68326641576443,2.82339160071741e-06,7.69035612571793e-05,"age.grp","young CD vs old CD"
"Dync1i2",1793.49066527482,-0.238162984962015,0.0508829601940972,-4.68060395962663,2.86031021553196e-06,7.77656716609546e-05,"age.grp","young CD vs old CD"
"Avil",186.237093487072,0.900511985978949,0.192465547190378,4.67882173783656,2.88528150092973e-06,7.83003874967382e-05,"age.grp","young CD vs old CD"
"Nipa1",149.565645843235,-0.563899052795472,0.120549148668064,-4.6777522614298,2.90036655963856e-06,7.85653422384294e-05,"age.grp","young CD vs old CD"
"Zfp319",181.631740062373,0.663525439136383,0.141951914841636,4.6742972074496,2.94961925064315e-06,7.97531666616205e-05,"age.grp","young CD vs old CD"
"Msn",1498.05030796796,-0.459012965617177,0.0982297340773133,-4.67285155486529,2.97046464661606e-06,8.01141316245379e-05,"age.grp","young CD vs old CD"
"Scarf1",123.684495082633,0.9194216933699,0.196767932237249,4.67261958244968,2.97382267359255e-06,8.01141316245379e-05,"age.grp","young CD vs old CD"
"Taf3",375.067571566724,0.601596487244292,0.128770353375858,4.67185552786625,2.98490888120179e-06,8.02663202425901e-05,"age.grp","young CD vs old CD"
"B3gnt5",10.8655298028242,-2.93464182437716,0.628440217800374,-4.66972313555743,3.01605940803083e-06,8.09565182559256e-05,"age.grp","young CD vs old CD"
"Sema6d",884.011938798202,0.737435405795711,0.157943033102802,4.6689961013711,3.02675122052924e-06,8.10170647998608e-05,"age.grp","young CD vs old CD"
"Bckdhb",696.423919535921,0.409848796754951,0.0877841650160995,4.66882377567509,3.02929077894216e-06,8.10170647998608e-05,"age.grp","young CD vs old CD"
"Shroom3",27.9053594127863,-2.39595731992065,0.513524083194976,-4.66571558828128,3.07544849554147e-06,8.20035857714745e-05,"age.grp","young CD vs old CD"
"Slco1a4",13.5675052447675,-3.66575386591609,0.785699499412708,-4.66559272171632,3.07728690086005e-06,8.20035857714745e-05,"age.grp","young CD vs old CD"
"Efemp1",307.38956876926,-0.844048890374243,0.180931800674192,-4.66501127623298,3.08600115475593e-06,8.20876307165076e-05,"age.grp","young CD vs old CD"
"A730017L22Rik",58.0426523661332,0.832093615068441,0.178469993965751,4.66237262958681,3.12584548273429e-06,8.29979439956948e-05,"age.grp","young CD vs old CD"
"Acrbp",42.2508153637639,1.22012290172518,0.261833269386944,4.65992310519583,3.16327533390759e-06,8.38409941732095e-05,"age.grp","young CD vs old CD"
"1300017J02Rik",33.3922509144136,-7.75667993140084,1.66483626603379,-4.65912479782765,3.17556644647103e-06,8.39669064899855e-05,"age.grp","young CD vs old CD"
"Aqp9",23.8989266608148,-4.54184664955935,0.974880276763656,-4.65887633365307,3.17940125502282e-06,8.39669064899855e-05,"age.grp","young CD vs old CD"
"Glud1",3491.34895147195,0.413512786136347,0.0887678647306663,4.65836130440899,3.18736439338144e-06,8.40268938205181e-05,"age.grp","young CD vs old CD"
"Il20rb",77.7929365506142,-1.46821011451832,0.315314944564349,-4.65632898100296,3.21897429932141e-06,8.4708943994442e-05,"age.grp","young CD vs old CD"
"Xpo6",847.627134726149,0.639855621695041,0.137460585822513,4.65482973076524,3.24248549486387e-06,8.51758244851874e-05,"age.grp","young CD vs old CD"
