Tissue_cell_type_name	Developmental_stage	Organ_system	Tissue	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID	input_list_raw_p	input_list_permutated_p	input_list_rank_p	input_list_combined_p	input_list_combined_log10p	delabel
FetalSpinalCord_Neutrophil (RPS high)	Fetal	Nervous system	FetalSpinalCord	Neutrophil (RPS high)	Neutrophil	CL:0000775	Spinal cord	UBERON:0002240	0.999999771939788	0.789822320478603	0.837269372693727	0.934776618364011	0.029292159183624	NA
FetalSpinalCord_Macrophage	Fetal	Nervous system	FetalSpinalCord	Macrophage	Microglial cell	CL:0000129	Spinal cord	UBERON:0002240	0.999999771939788	0.789822320478603	0.837269372693727	0.934776618364011	0.029292159183624	NA
AdultAscendingColon_B cell (Plasmocyte)	Adult	Digestive system	AdultAscendingColon	B cell (Plasmocyte)	B cell	CL:0000236	Ascending colon	UBERON:0001156	0.999999941583944	0.773148110731218	0.855350553505535	0.934784320863659	0.0292885806395671	NA
Madissoon_2020_oesophagus_T_CD8	Adult	Digestive system	Madissoon_2020_oesophagus	T_CD8	T cell	CL:0000084	Esophagus	UBERON:0001043	0.999999413735602	0.805426087131094	0.822140221402214	0.935139609634398	0.0291235472369198	NA
TS_Bone_Marrow_naive b cell	Adult	Lymphatic system	TS_Bone_Marrow	naive b cell	B cell	CL:0000236	Bone marrow	UBERON:0002371	0.999999235847403	0.809213808851487	0.819188191881919	0.935438166822723	0.0289849144121797	NA
FetalSkin_Fetal mesenchymal progenitor	Fetal	Integumentary system	FetalSkin	Fetal mesenchymal progenitor	Mesenchymal stem cell	CL:0000134	Skin of body	UBERON:0002097	0.999999795689573	0.792416086439307	0.839114391143911	0.936269395553441	0.0285991724491299	NA
AdultTransverseColon_Dendritic cell	Adult	Digestive system	AdultTransverseColon	Dendritic cell	Dendritic cell	CL:0000451	Transverse colon	UBERON:0001157	0.999999704272132	0.797356593031125	0.833948339483395	0.936280194712357	0.0285941632198408	NA
Fetal_HCA_Stomach_MUC13_DMBT1 positive cells	Fetal	Digestive system	Fetal_HCA_Stomach	MUC13_DMBT1 positive cells	Epithelial cell	CL:0000066	Stomach	UBERON:0000945	0.99999992292941	0.783852541680156	0.849446494464945	0.936641364309186	0.0284266666537163	NA
FetalAdrenalGland_Macrophage	Fetal	Endocrine system	FetalAdrenalGland	Macrophage	Macrophage	CL:0000235	Adrenal gland	UBERON:0002369	0.9999997488289	0.800403238762746	0.834686346863469	0.937550580074635	0.0280052931418367	NA
FetalMuscle_Fetal neuron	Fetal	Muscular system	FetalMuscle	Fetal neuron	Neuron	CL:0000540	Muscle organ	UBERON:0001630	0.999999760759447	0.799168112114791	0.836162361623616	0.937610516066497	0.0279775303319155	NA
Fetal_HCA_Kidney_Myeloid cells	Fetal	Urinary system	Fetal_HCA_Kidney	Myeloid cells	Myeloid cell	CL:0000763	Kidney	UBERON:0002113	0.999999641625509	0.805137890913238	0.8309963099631	0.937945519956254	0.0278223866417346	NA
AdultEpityphlon_B cell (Plasmocyte)	Adult	Digestive system	AdultEpityphlon	B cell (Plasmocyte)	B cell	CL:0000236	Caecum	UBERON:0001153	0.999999954689248	0.77788276288171	0.860516605166052	0.938071801758198	0.0277639186423221	NA
