correlation_method,metabolite_tissue,metabolite,hormone,n,n_unique_samples,n_before_outlier_filter,n_outlier_removed,removed_samples,removed_for_metabolite,removed_for_hormone,n_cd,n_id,n_old_cd,n_old_id,correlation,p_value,p_adj_bh,old_diet_stratifying,all_diet_stratifying,old_diet_metabolite_cohens_d,old_diet_hormone_cohens_d,all_diet_metabolite_cohens_d,all_diet_hormone_cohens_d,metabolite_min,metabolite_max,hormone_min,hormone_max
pearson,Liver,APM,GIP,12,12,12,0,,,,8,4,3,4,0.7091111988694567,0.009814742252270907,0.7718346777285694,TRUE,TRUE,-4.78978704344059,-0.44889601269907653,-2.4447675861495526,-1.169512315049918,100331.5836145,1052479.4308574,33.18,1104.9
pearson,Liver,L-Methionine,GIP,12,12,12,0,,,,8,4,3,4,-0.7088476393254273,0.009854426813019575,0.7718346777285694,TRUE,TRUE,1.224681185524427,-0.44889601269907653,1.7400348637791903,-1.169512315049918,204629.476857281,21305228.961072,33.18,1104.9
pearson,Liver,Tepilamide fumarate,Secretin,12,12,12,0,,,,8,4,3,4,0.7088045802518003,0.0098609216232947,0.7718346777285694,TRUE,TRUE,-1.5328312689326515,-0.34464222725767063,-2.0540199896155937,-0.42963057685424855,110153.374844151,248160.205131405,11.69,60.26
pearson,Liver,Uridine diphosphate glucose,Insulin,13,13,13,0,,,,8,5,3,5,-0.6830935900561179,0.010066206769750816,0.7718346777285694,TRUE,FALSE,1.0120067229749123,-0.7833395778180952,-0.06577659196262878,-0.015669237473629045,29369333.2233652,81533325.5408637,155.89,2555.98
pearson,Liver,N-(4-Carboxy-4-oxobutanoyl)-L-cysteinylglycine,GLP-1,12,12,13,1,2M33,,2M33,8,4,3,4,-0.7068381939644399,0.010160933564369964,0.7718346777285694,TRUE,TRUE,-2.1650548145357207,0.7707687524700032,-2.4146095516226036,1.277845624706336,684628.312988854,1142172.97345517,52.35,354.34
pearson,Liver,(E)-p-coumaric acid,Insulin,13,13,13,0,,,,8,5,3,5,0.6806820711802533,0.010440125400824087,0.7718346777285694,TRUE,FALSE,-1.9011443027298334,-0.7833395778180952,-0.6417333715891849,-0.015669237473629045,619297.900982941,2281834.31906857,155.89,2555.98
pearson,Liver,Glycerol 1-myristate,GIP,12,12,12,0,,,,8,4,3,4,0.7036334645306165,0.010664368238552045,0.7718346777285694,TRUE,TRUE,-2.0378847039389725,-0.44889601269907653,-1.8543593206552464,-1.169512315049918,3070028.80020236,10738976.0028912,33.18,1104.9
pearson,Liver,Dihydroactinidiolide,Resistin,12,12,13,1,4M2,4M2,,7,5,3,5,0.7008600205367168,0.011114818398661805,0.7718346777285694,TRUE,TRUE,-1.0591898773767818,0.4514552437965252,-1.727630488210355,-0.5344974084591988,877797.322657531,3624326.01909698,10804.59,50393.88
pearson,Liver,1-arachidoyl-2-arachidonoyl-sn-glycero-3-phosphate,GIP,12,12,12,0,,,,8,4,3,4,0.7000799543632727,0.01124402066158409,0.7718346777285694,TRUE,TRUE,-1.0132674355189155,-0.44889601269907653,-1.1944351804438862,-1.169512315049918,79621.5719572658,1217727.39194177,33.18,1104.9
pearson,Liver,Ethyl glucuronide,GIP,10,10,12,2,4M1;4M2,4M1;4M2,,6,4,3,4,0.7562982484431708,0.011361086942131242,0.7718346777285694,TRUE,TRUE,-1.0895879638807553,-0.44889601269907653,-1.1614510209885605,-1.0368876724401996,4906916.41503145,15835951.3016365,33.18,1104.9
