metabolite_tissue,metabolite,hormone,correlation_direction,pearson_r,pearson_p_value,pearson_p_adj_bh,n,n_outlier_removed,removed_samples,n_old_cd,n_old_id,clustering_category,old_diet_metabolite_cohens_d,old_diet_hormone_cohens_d,mean_metabolite_abundance__Old CD,mean_metabolite_abundance__Old ID,mean_metabolite_abundance__Young CD,mean_hormone_abundance__Old CD,mean_hormone_abundance__Old ID,mean_hormone_abundance__Young CD
Liver,asn-phe,GLP-1,positive,0.6312912868284134,0.027696067788578943,0.8053673965337975,12,1,2M33,3,4,CD groups cluster; Old ID separate,1.637117154182025,0.7707687524700032,210929.413894807,313867.12560787075,148857.67776980472,148.54000000000002,228.4175,113.734
Muscle,L-Acetylcarnitine,GIP,positive,0.6287354844700606,0.028528102042898466,0.8053673965337975,12,0,,3,4,CD groups cluster; Old ID separate,-1.8390876544107981,-0.44889601269907653,585775762.0689213,390131880.43496525,619012352.2238082,293.11333333333334,183.1375,648.106
Liver,5-Hydroxymethyl-dC,GLP-1,positive,0.6272677818243021,0.029013976016453426,0.8053673965337975,12,1,2M33,3,4,CD groups cluster; Old ID separate,1.8911791114535712,0.7707687524700032,218495.91267482034,299497.87069954973,203357.2078597896,148.54000000000002,228.4175,113.734
Liver,2-Hydroxyadipic acid,GIP,positive,0.6258840639417729,0.02947748277837302,0.8053673965337975,12,0,,3,4,CD groups cluster; Old ID separate,-2.002118599622114,-0.44889601269907653,37374741.42869884,28061669.337526124,35967508.39345512,293.11333333333334,183.1375,648.106
Liver,3-sulfopropanediol,GIP,positive,0.6249963803265215,0.02977762554911712,0.8053673965337975,12,0,,3,4,CD groups cluster; Old ID separate,-1.917723583684616,-0.44889601269907653,310290.60238734866,182554.35138113674,412775.2537575802,293.11333333333334,183.1375,648.106
Liver,1-Octen-3-yl glucoside,Glucagon,positive,0.6249121536294405,0.029806218030354627,0.8053673965337975,12,1,2M26,3,4,CD groups cluster; Old ID separate,1.53314058242296,0.5554877620462959,23089.311346951832,31880.0088852109,24988.57509270036,224.83333333333334,267.6975,284.392
Liver,Mandelic acid,GLP-1,positive,0.6494118717517775,0.030586841619999153,0.8053673965337975,11,2,2M23;2M33,3,3,CD groups cluster; Old ID separate,2.851972279289861,0.7404468573589411,174397.35081694633,336003.15810676635,192419.23484148982,148.54000000000002,234.03,113.734
Liver,Taurine,Glucagon,negative,-0.596914124536914,0.03125625387078539,0.8053673965337975,13,0,,3,5,CD groups cluster; Old ID separate,-1.2117411820850765,0.8177262978081293,1941509661.9258132,1650094177.638772,2004160602.036278,224.83333333333334,306.004,284.392
Muscle,Valylproline,GIP,positive,0.620349617608149,0.031384792325239594,0.8053673965337975,12,0,,3,4,CD groups cluster; Old ID separate,-2.330780879288847,-0.44889601269907653,2219001.23935998,1448275.5395926326,2643664.559912426,293.11333333333334,183.1375,648.106
Liver,NP-004713,GLP-1,negative,-0.619697516200342,0.03161521646388588,0.8053673965337975,12,1,2M33,3,4,CD groups cluster; Old ID separate,-1.3031567372955208,0.7707687524700032,996769.184958181,823862.09270753,989812.5967788168,148.54000000000002,228.4175,113.734
