"tissue","raw.file","source","sequence.id","sample","sample.id","ion.mode","name","formula","mz","rt","ion.count","val.ic","med.val","val.adj.ic","med.adj.ic"
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","14(S)-HDHA","C22H32O3",343.22755,2.34,151830.165015729,841154,907295.31,163768.81835585,196435.967836522
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","15-Keto-13,14-dihydroprostaglandin A2","C20H30O4",333.20695,2.815,1674475.77968404,841154,907295.31,1806142.53943502,2166415.81313552
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","15-Keto-prostaglandin E2","C20H30O5",349.20396,2.41,2710215.18942565,841154,907295.31,2923323.82709546,3506442.50254828
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","15beta-Hydroxydesogestrel","C22H30O2",325.21744,2.233,3225500.16580198,841154,907295.31,3479126.50101689,4173111.75786799
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","16-Hydroxyhexadecanoic acid","C16H32O3",271.22779,2.147,354117.074577449,841154,907295.31,381961.877319777,458152.240464554
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","18-Hydroxycortisol","C21H30O6",377.19701,4.597,307215.346293918,841154,907295.31,331372.189697128,397471.371233947
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","18-Oxocortisol","C21H28O6",375.18475,2.621,18329.7857361445,841154,907295.31,19771.0866639269,23714.847447756
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2',4'-Dihydroxyacetophenone","C8H8O3",151.03984,2.88,723024.214565008,841154,907295.31,779876.786998891,935439.682507131
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2',4-Dihydroxy-4',6'-dimethoxy-3'-prenylchalcone","C22H24O5",367.1586,2.109,16133.0128129737,841154,907295.31,17401.5779053312,20872.6901252278
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2,2,4,4-Tetramethyl-6-(1-oxobutyl)-1,3,5-cyclohexanetrione","C14H20O4",251.12863,3.051,59372.2139795599,841154,907295.31,64040.7479343511,76815.02759655
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2,3-dinor prostaglandin e1","C18H30O5",325.20193,2.742,499790.03559373,841154,907295.31,539089.3406902,646622.094803978
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2,6-dihydroxypyridine","C5H5NO2",110.02451,8.046,13219025.3728441,841154,907295.31,14258458.8833346,17102609.6342658
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2-(3,4-Dihydroxybenzoyloxy)-4,6-dihydroxybenzoate","C14H10O8",305.02898,9.43,50639.4351121522,841154,907295.31,54621.2964312183,65516.6675602301
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2-Cyclohexen-1-one, 3-(15-hydroxypentadecyl)-2,4,4-trimethyl-","C24H44O2",363.32671,2.141,488554.649462147,841154,907295.31,526970.49783476,632085.892801261
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2-Dodecylbenzenesulfonic acid","C18H30O3S",325.18403,1.959,37500674.8980222,841154,907295.31,40449414.0868501,48517903.9840511
