"name","formula","ion.mode","source","mz","rt","Liver_1M1","Liver_1M10","Liver_1M11","Liver_1M2","Liver_1M4","Liver_1M5","Liver_1M6","Liver_1M7","Liver_1M9","Liver_2M16","Liver_2M17","Liver_2M20","Liver_2M22","Liver_2M23","Liver_2M26","Liver_2M31","Liver_2M33","Liver_4M1","Liver_4M2","Liver_4M3","Liver_4M4","Liver_4M5","Muscle_1M_01","Muscle_1M_02","Muscle_1M_04","Muscle_1M_05","Muscle_1M_06","Muscle_1M_07","Muscle_1M_09","Muscle_1M_10","Muscle_1M_11","Muscle_2M_16","Muscle_2M_17","Muscle_2M_20","Muscle_2M_22","Muscle_2M_23","Muscle_2M_26","Muscle_2M_31","Muscle_2M_33","Muscle_4M_01","Muscle_4M_02","Muscle_4M_03","Muscle_4M_04","Muscle_4M_05"
"(2R)-1-(Phosphonooxy)-3-(tetradecanoyloxy)-2-propanyl docosanoate","C39H77O8P","posi","CD",705.54088,2.283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86476.0695029736,55790.0076666302,135204.50949719,68944.1078905451,72074.613852591,368604.24982895,122559.457557418,58742.9292705067,64229.9879413719,47764.5863993207,207175.860601796,51643.6602355593,28980.9037139087,187529.927423114,241458.930097768,43670.6489500972,337135.867193307,127216.433945558,86100.8119905212,67516.6464459452,229484.776286806,472373.462406403
"(2R)-1-[(Hydroxy{[(1s,3R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]-3-(palmitoyloxy)-2-propanyl (9Z)-9-hexadecenoate","C41H77O13P","posi","CD",809.51429,2.859,7539430.88088211,5695453.91608008,5046115.1846002,1962170.84000997,6682366.211066,2593234.96032122,3316445.48879973,2936077.73896438,5528952.36603776,2150307.84459345,2791998.36248215,2556209.7165357,1755941.13346256,2780497.75903447,1457254.81860096,2376604.45716575,2078711.37855022,4001771.46891048,6350895.06558883,57165.8666991598,6823817.92521267,7546550.60119046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(2R)-1-[(Hydroxy{[(1s,3R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]-3-(stearoyloxy)-2-propanyl (4Z,7Z,10Z,13Z,16Z,19Z)-4,7,10,13,16,19-docosahexaenoate","C49H83O13P","posi","CD",911.56321,3.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99041.3332753124,75613.1202823643,93227.4011761517,117191.240882794,129016.943055365,272277.536153411,62838.1454227315,165981.505408749,100459.824423761,122102.403471766,912312.810527502,200416.831496995,446842.985214599,40918.5367431271,174669.467679219,157187.336829561,532858.125134695,538788.640717878,98698.0000534605,223802.817126425,480537.30690918,430269.057289586
"(2R)-1-[(Hydroxy{[(1s,3R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]-3-(stearoyloxy)-2-propanyl (5Z,8Z,11Z,14Z)-5,8,11,14-icosatetraenoate","C47H83O13P","posi","CD",887.56217,8.315,1109450.91719462,788639.602616776,672854.202576922,819833.37635963,967569.016296898,885724.348846566,526837.326610933,788491.250853051,831974.609923785,1185834.74075518,1186273.50097764,1613802.8985092,1845580.85016746,1207494.54605264,1207184.66138266,1628476.73068163,1014621.81540625,2143499.00419695,1635530.54775962,1215568.87534132,1661491.46500624,1242097.70763999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(2R)-1-[(Hydroxy{[(2R,3R,5S,6R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]-3-(palmitoyloxy)-2-propanyl stearate","C43H83O13P","posi","CD",839.56085,3.822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408110.087237757,198384.373377493,135545.437613746,216234.002833037,1031881.91942698,494715.772119354,520542.01480038,1183989.57950917,288134.527891522,283798.466640704,844685.461295332,202558.554491058,161855.591313211,164140.914802882,342748.297762456,847363.720968484,73495.5700463063,729312.264068025,95008.7347118337,655464.45672164,605709.68569626,551802.866457726
"(2R)-2,3-Dihydroxypropanoic acid","C3H6O4","nega","CD",105.01917,11.427,1111504.99742579,1137350.86851611,1019296.5182624,1247680.30082185,1082346.66088325,1127006.95078118,1029837.70674816,1271722.08726807,970855.909751705,1082072.61150329,1207718.71970823,1191501.64016775,1375519.55039031,765163.53105301,1233442.33853335,1073472.39714884,1928030.18048999,1655039.97175561,1336400.51612038,713424.525199033,931330.36613568,1299399.82596278,1980815.94838231,1096613.25160076,815273.621331892,788974.824286877,2381313.71016917,626545.052403248,617403.21931644,1053373.8095295,764285.411904145,419193.711739777,549295.833619443,1238888.57153571,8052193.85197907,1508353.46093987,2228631.10069289,8126918.99082757,371639.660772932,1797175.77468113,675801.724087179,7615307.98636666,2222147.49488336,986224.505363352
"(2R)-2-Hydroxy-3-(phosphonooxy)propyl (11Z)-11-docosenoate","C25H49O7P","posi","CD",476.30572,4.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,793129.140634282,1141196.23111605,1503623.41016764,437823.806122295,354095.72184224,568316.328360106,361934.341385254,762912.004812944,1243700.89277579,137484.531084216,660438.55671305,941579.043704276,866764.871697013,561051.611248068,2819210.99545097,1235398.68470547,787651.267908429,1019759.5854922,519930.699211784,1365263.13068074,3285242.62663826,1871800.66840266
"(2R)-2-Hydroxy-3-[(hydroxy{[(1S,2R,3R,4S,5S,6R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]propyl palmitate","C25H49O12P","posi","CD",573.30243,8.389,59966.3732384921,77052.5526333123,76522.3094901833,64024.0524709163,49222.3254676057,65006.9269609942,17970.0428638682,59470.3562417509,86331.1694741112,54025.0519117817,112364.118519333,129933.017424179,76126.3733286152,96022.3075152181,89687.2815807122,170934.303524444,177311.993488652,64493.6424766312,88721.5975234379,124334.312976733,84871.4899781875,51530.0102803081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(2R)-2-[(4Z,7Z,10Z,13Z,16Z,19Z)-4,7,10,13,16,19-Docosahexaenoyloxy]-3-[(11Z)-11-icosenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","C50H86NO8P","posi","CD",860.61445,3.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2107.574740393,5227.64357250577,21894.3261875193,10939.0335754072,14321.4226267669,2393.4888754923,477974.992476666,9039.07449833392,2521.51123434083,196760.421099918,491638.573578596,240398.973497251,1735.37074378708,2462.40909038407,3081.69861552418,2794.84944808612,6299.79532582652,2950.62758768356,55279.0445870522,2654.82824040617,376552.983676629,187776.670438744
"(2R)-3-(Icosanoyloxy)-2-[(9Z,12Z)-9,12-octadecadienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate","C46H88NO8P","posi","CD",814.62627,3.191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127595.849061519,154963.251704191,1507521.5113359,174754.345683102,126489.935480746,54247.7474948827,299549.393830116,98510.5611344329,1467160.24226341,39146.9534895002,807578.297051,406562.827052479,96772.1481521316,59699.0251087055,37725.322552941,775014.799781136,848603.358850829,18326.3940234158,589396.453723785,531526.575470973,148453.874603046,268569.836384038
"(2R)-3-[(Hydroxy{[(1s,3R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]-1,2-propanediyl dihexadecanoate","C41H79O13P","posi","CD",811.53005,2.059,1267901.93345739,1082260.86813838,1779004.79461237,1544079.8641101,62235.3732934189,2089302.99049122,259016.574708399,402332.586972017,303996.177483401,2395504.52078756,950045.319808887,23378.6677784749,2256752.78099072,2837273.23447253,844576.822919436,2909192.05249202,3485920.71396509,1064832.81480346,1063919.60020242,856140.277353604,1020199.98350972,270122.637583275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
