"tissue","raw.file","source","sequence.id","sample","ion.mode","name","formula","mz","rt","ion.count"
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","13-L-Hydroperoxylinoleic acid","C18H32O4",311.22252,2.336,4797457.46118556
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","13-OxoODE","C18H30O3",293.21216,2.394,8554138.85525101
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","14(S)-HDHA","C22H32O3",343.22755,2.34,151830.165015729
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","15-Keto-13,14-dihydroprostaglandin A2","C20H30O4",333.20695,2.815,1674475.77968404
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","15-Keto-prostaglandin E2","C20H30O5",349.20396,2.41,2710215.18942565
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","15beta-Hydroxydesogestrel","C22H30O2",325.21744,2.233,3225500.16580198
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","16-Hydroxyhexadecanoic acid","C16H32O3",271.22779,2.147,354117.074577449
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","18-Hydroxycortisol","C21H30O6",377.19701,4.597,307215.346293918
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","18-Oxocortisol","C21H28O6",375.18475,2.621,18329.7857361445
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2',4'-Dihydroxyacetophenone","C8H8O3",151.03984,2.88,723024.214565008
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2',4-Dihydroxy-4',6'-dimethoxy-3'-prenylchalcone","C22H24O5",367.1586,2.109,16133.0128129737
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2,2,4,4-Tetramethyl-6-(1-oxobutyl)-1,3,5-cyclohexanetrione","C14H20O4",251.12863,3.051,59372.2139795599
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2,3-dinor prostaglandin e1","C18H30O5",325.20193,2.742,499790.03559373
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2,6-dihydroxypyridine","C5H5NO2",110.02451,8.046,13219025.3728441
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2-(3,4-Dihydroxybenzoyloxy)-4,6-dihydroxybenzoate","C14H10O8",305.02898,9.43,50639.4351121522
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2-Cyclohexen-1-one, 3-(15-hydroxypentadecyl)-2,4,4-trimethyl-","C24H44O2",363.32671,2.141,488554.649462147
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2-Dodecylbenzenesulfonic acid","C18H30O3S",325.18403,1.959,37500674.8980222
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2-Hydroxy-3-methylbutyric acid","C5H10O3",117.05569,3.589,11181652.4430768
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2-Hydroxy-3-methylpentanoic acid","C6H12O3",131.07134,3.71,4183952.61940223
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2-Hydroxyadipic acid","C6H10O5",161.04549,12.79,28350758.0341018
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2-Hydroxybenzaldehyde","C7H6O2",121.02944,3.693,33475924.2118325
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2-Hydroxybutyric acid","C4H8O3",103.03991,5.168,60082749.8063973
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2-Hydroxydecanedioic acid","C10H18O5",217.10795,12.019,141082.322839279
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2-Hydroxyethanesulfonate","C2H6O4S",124.99139,4.585,83364485.6821224
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2-Hydroxyglutarate","C5H8O5",147.02964,7.627,4228911.94795564
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2-Hydroxymyristic acid","C14H28O3",243.19626,2.485,893387.096587281
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2-Hydroxypyridine","C5H5NO",94.02969,4.653,460313.908090313
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2-Keto-6-acetamidocaproate","C8H13NO4",186.07699,12.897,496657.286699617
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2-Ketobutyric acid","C4H6O3",101.02425,3.685,1138052.44081274
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2-Methoxyacetaminophen sulfate","C9H11NO6S",260.02545,15.158,390411.359634161
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2-Methoxyestradiol-3-methylether","C20H28O3",315.19628,2.556,1419406.86012978
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2-Methoxyestrone 3-glucuronide","C24H32O8",447.20567,3.993,426626.630530729
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2-Methylbutyrylglycine","C7H13NO3",158.08219,3.893,600320.366797941
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2-Methylhippuric acid","C10H11NO3",192.06656,3.896,2359279.74503595
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","nega","2-Methylpropanal","C4H8O",117.05566,3.858,61147.6905291974
