"gene.id","age_baseMean","age_log2FoldChange","age_lfcSE","age_stat","age_pvalue","age_padj","id_baseMean","id_log2FoldChange","id_lfcSE","id_stat","id_pvalue","id_padj","age_direction","id_direction","same_direction","direction_class","rescue_fraction","rescue_interpretation","age_nominal","id_nominal","significance_class","limiting_pvalue","limiting_neg_log10_p","shared_effect_size","youth_shift_score"
"Pcdh20",12.4917224827632,-0.457834968046671,0.561687482657195,-0.815106232883765,0.41501150419901,0.584945595659105,22.8028954960533,1.04824541230756,0.35769299236461,2.93057296252269,0.00338337529780682,0.999946780809711,"Lower in young CD","Higher in old ID",FALSE,"Opposing: ID higher",-2.28957044670451,"Opposing direction",FALSE,TRUE,"ID contrast only",0.41501150419901,0.381939864394172,0.457834968046671,-0.174865425610656
"Stra6",13.5406066969589,-1.66009917343243,0.540066449019535,-3.07387947621309,0.00211294775112878,0.012600785554556,24.9872675311645,0.438462285999048,0.519338356691193,0.84427094658014,0.398518017316486,0.999946780809711,"Lower in young CD","Higher in old ID",FALSE,"Opposing: ID higher",-0.264118128010678,"Opposing direction",TRUE,FALSE,"Age contrast only",0.398518017316486,0.399552039025102,0.438462285999048,-0.175188500406527
"Col22a1",679.55560623649,1.01713010179108,0.397579121047618,2.55830864334865,0.0105182691135621,0.0421272943362772,403.828556529586,-0.261941923424909,0.210463935390762,-1.24459291772992,0.213281425020465,0.999946780809711,"Higher in young CD","Lower in old ID",FALSE,"Opposing: ID lower",-0.257530401434046,"Opposing direction",TRUE,FALSE,"Age contrast only",0.213281425020465,0.671046966221396,0.261941923424909,-0.175775333040483
"Ypel2",396.876754313769,0.253949946059154,0.199500206261499,1.27293074437369,0.203042618404579,0.358769380671072,348.278261809711,-0.29343789869889,0.150034503188236,-1.95580278178238,0.0504883910692869,0.999946780809711,"Higher in young CD","Lower in old ID",FALSE,"Opposing: ID lower",-1.15549502274963,"Opposing direction",FALSE,FALSE,"Neither nominal",0.203042618404579,0.692412794622264,0.253949946059154,-0.175838191844992
"Aldh1a3",47.9931048583461,-0.60863473194953,0.353178105146043,-1.72330822064367,0.0848328019520308,0.193785296082453,69.1964643898587,0.32656838024657,0.306931013934778,1.06397973948623,0.287337877873805,0.999946780809711,"Lower in young CD","Higher in old ID",FALSE,"Opposing: ID higher",-0.53655889666456,"Opposing direction",FALSE,FALSE,"Neither nominal",0.287337877873805,0.541607120032159,0.32656838024657,-0.176871759918912
"D630024D03Rik",10.8281757283201,-1.23923816510572,0.709039956881883,-1.74776915331467,0.080504008732734,0.18634065238654,18.547147770741,0.481998509342296,0.610072730169747,0.790067291170653,0.429488470819522,0.999946780809711,"Lower in young CD","Higher in old ID",FALSE,"Opposing: ID higher",-0.388947437961755,"Opposing direction",FALSE,FALSE,"Neither nominal",0.429488470819522,0.367048489869215,0.481998509342296,-0.176916824973303
"Csf2rb2",77.8996237145279,-0.754638779257118,0.216286312752245,-3.48907320881443,0.000484698382472341,0.00419437410342273,115.66656393056,0.316813543602079,0.291073165987084,1.08843267131033,0.276404144552872,0.999946780809711,"Lower in young CD","Higher in old ID",FALSE,"Opposing: ID higher",-0.419821446114864,"Opposing direction",TRUE,FALSE,"Age contrast only",0.276404144552872,0.558455449203239,0.316813543602079,-0.176926249805969
"Rin2",470.269441216824,-0.239844843460607,0.157340840390876,-1.52436483029308,0.127417600520753,0.26093300547758,556.75121692217,0.198071856192158,0.117835099864701,1.68092407457188,0.0927776630967699,0.999946780809711,"Lower in young CD","Higher in old ID",FALSE,"Opposing: ID higher",-0.825833290114866,"Opposing direction",FALSE,FALSE,"Neither nominal",0.127417600520753,0.894770577643621,0.198071856192158,-0.177228869180001
"Kif26b",43.7969258613648,0.328848783422782,0.309801530430034,1.0614821139402,0.288470857124918,0.45723590978475,31.8663950573359,-0.679617029817903,0.316499694503655,-2.14729126637452,0.0317701006913637,0.999946780809711,"Higher in young CD","Lower in old ID",FALSE,"Opposing: ID lower",-2.06665514387553,"Opposing direction",FALSE,TRUE,"ID contrast only",0.288470857124918,0.5398980550529,0.328848783422782,-0.177544818576473
"Ctss",251.859433990229,-1.36579134323763,0.269914158146602,-5.06009522663056,4.19047142600069e-07,1.59033238205779e-05,454.391943063174,0.382678048548055,0.403532923580068,0.948319272571386,0.342966942420323,0.999946780809711,"Lower in young CD","Higher in old ID",FALSE,"Opposing: ID higher",-0.280187783033469,"Opposing direction",TRUE,FALSE,"Age contrast only",0.342966942420323,0.464747738313841,0.382678048548055,-0.177848757565063
