tissue,name,PC1,pc1_variance_explained,variance_explained,abs_variance_explained,rank
Liver,"PE(20:3(5Z,8Z,11Z)/20:4(5Z,8Z,11Z,14Z))",0.049540188629811056,0.20931212974484736,5.137001687747987e-4,0.010369362390067223,36
Liver,Arabinonic acid,-0.049479257983340755,0.20931212974484736,5.124373219473998e-4,0.010356608866687794,37
Liver,"5,7-Dihydro-4H-purin-8-ol",-0.04942572059662791,0.20931212974484736,5.113289903408044e-4,0.010345402842253956,38
Liver,SM(d18:1/20:0),0.04939323723505032,0.20931212974484736,5.106571042780471e-4,0.010338603680660878,39
Liver,Hexyl cinnamaldehyde,-0.049332681591415524,0.20931212974484736,5.094057502223567e-4,0.01032592864992361,40
Liver,"PC(20:5(5Z,8Z,11Z,14Z,17Z)/16:1(9Z))",0.0492683933301564,0.20931212974484736,5.080789433077361e-4,0.01031247233704187,41
Liver,Oleoyl glycine,0.04926079118937715,0.20931212974484736,5.0792216167144e-4,0.010310881116764745,42
Liver,"(1R,5R)-3,3,5-Trimethylcyclohexyl 5-oxo-L-prolinate",0.04922776698116593,0.20931212974484736,5.072413725772163e-4,0.010303968749410917,43
Liver,trans-4-Hydroxycyclohexylacetic acid,-0.04916380101748694,0.20931212974484736,5.059240224264942e-4,0.010290579897322086,44
Liver,ionene,-0.048952422029419275,0.20931212974484736,5.01582949987145e-4,0.010246335711146332,45
Liver,Trp-Phe,-0.04882447172761255,0.20931212974484736,4.989643332012642e-4,0.010219554160973669,46
Liver,Myristicin,-0.048697522104121656,0.20931212974484736,4.96372969412894e-4,0.010192982064910485,47
Liver,"N-Butyl-1H-pyrazolo[3,4-d]pyrimidin-4-amine",-0.04851128822789487,0.20931212974484736,4.925836718768316e-4,0.010154001055646818,48
Liver,2-hydroxyflutamide,-0.04824414340002473,0.20931212974484736,4.8717343199303014e-4,0.010098084402774998,49
Liver,"PC(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))",0.04820904373608029,0.20931212974484736,4.864648111246891e-4,0.010090737617361458,50
Liver,Epristeride,-0.04819537054022709,0.20931212974484736,4.861889049934164e-4,0.010087875651617007,51
Liver,D-Glycero-D-galacto-heptitol,-0.0481643134716486,0.20931212974484736,4.8556250719180677e-4,0.010081375030449213,52
Liver,Palmitic acid alkyne,-0.048104379755136935,0.20931212974484736,4.843548305052755e-4,0.010068830176602631,53
Liver,17alpha-Estradiol,-0.048014436427149525,0.20931212974484736,4.825452756089661e-4,0.010050003947065247,54
Liver,O-{Hydroxy[2-hydroxy-3-(stearoyloxy)propoxy]phosphoryl}serine,0.04785904611382348,0.20931212974484736,4.7942698316641306e-4,0.010017478869641253,55
Liver,Xylitol,-0.04773699199587353,0.20931212974484736,4.769847522376531e-4,0.00999193146226902,56
Liver,Bibenzyl,-0.04765615965629148,0.20931212974484736,4.7537077746121864e-4,0.009975012273118844,57
Liver,Glycidyl Stearate,0.04750616268647788,0.20931212974484736,4.723830435642207e-4,0.009943616087911885,58
Liver,Galactitol,-0.04744180794646111,0.20931212974484736,4.711040727808936e-4,0.0099301458602198,59
Liver,Scoparone,0.04742535226059977,0.20931212974484736,4.7077731473877467e-4,0.009926701485565749,60
Liver,"PC(18:3(9Z,12Z,15Z)/19:1(9Z))",-0.047378824047589634,0.20931212974484736,4.6985402451087225e-4,0.009916962566207376,61
Liver,Ethinylestradiol,-0.047182856695661315,0.20931212974484736,4.659752609805419e-4,0.009875944222414801,62
Liver,PE(18:0/18:1(9Z)),-0.04717381002223581,0.20931212974484736,4.6579658922683056e-4,0.009874050643933003,63
Liver,LysoPC(18:0/0:0),0.047169656836821186,0.20931212974484736,4.657145753110096e-4,0.009873181331848642,64
Liver,Isopropanol,-0.04713341259825067,0.20931212974484736,4.649991583935236e-4,0.009865594973082467,65
Liver,Tetralin,-0.04711315604938492,0.20931212974484736,4.6459955846677966e-4,0.009861355031698098,66
Liver,LysoPC(15:0/0:0),0.047084861900220355,0.20931212974484736,4.6404168873299994e-4,0.009855432723077144,67
Liver,Thiamine,-0.047076252991758764,0.20931212974484736,4.63872015209489e-4,0.00985363077411227,68
Liver,2-Methylbutyrylglycine,-0.04704976104256603,0.20931212974484736,4.6335007833797013e-4,0.009848085687805645,69
Liver,Isopentenyl pyrophosphate,-0.046986287085993686,0.20931212974484736,4.6210072771810725e-4,0.009834799818772156,70
Liver,Dibutyl sebacate,-0.046963989995880355,0.20931212974484736,4.616622569441618e-4,0.009830132767353422,71
Liver,Vitamin A2 aldehyde,-0.046916070143811626,0.20931212974484736,4.6072062057410856e-4,0.009820102561059859,72
Liver,PG(18:0/16:0),-0.046902298552978956,0.20931212974484736,4.6045018340274774e-4,0.009817220000052699,73
Liver,β-Ionone,-0.04686324392375588,0.20931212974484736,4.596836868848105e-4,0.009809045392433621,74
