tissue,sample.clean,group,cohort,age,diet,animal,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
Muscle,4M4,Young CD,4,Young,CD,4,-3.7480757884984506,11.537240022154602,5.080914695083071,-6.095334681997689,-1.485223622981497,-5.962263483632283,-4.114134240884256,2.0362523827683514,3.539495802770182,3.856028472499413,3.4923767726649064,7.810149975425616,3.2915234868302856,-0.3884054304867527,8.18110902447057,7.721658900619282,0.7292068743463169,-2.0874071093851025,6.954470242321728,2.5755475571822792,-6.917209790315013,-1.1538501160801444e-14
Muscle,4M5,Young CD,4,Young,CD,5,-5.697359351654567,13.099020437299147,6.751828589829669,-13.212672663513393,4.4973206114773,0.504923949122989,9.12960256937664,-8.984478210050115,-10.666493330096559,4.063671284178017,-9.687450468386151,-3.30586746955244,8.172274907277975,5.556421702284742,-2.107079118052673,-1.7111828815359378,-0.9738819888640254,-0.8795319924335617,-0.430186722522214,0.7095033974606573,-0.6925127475233415,-7.494054192439054e-15
Muscle,1M1,Old CD,1,Old,CD,1,-6.474811040487544,-4.8612310082087875,-4.119710232814337,-3.840114621014254,-8.372776710664212,6.859233038792171,-1.6209073758104988,15.29438840948053,-2.8343411862499766,-2.3262382006290254,-1.375433296190824,-3.83315935811207,9.657123842394636,-7.654056020410868,-0.6790253570383252,-3.342632351224455,1.8492291461431893,-7.5464429756592715,-2.762643478031785,1.20510287188534,-1.6982440888680497,-8.907500815505978e-15
Muscle,1M2,Old CD,1,Old,CD,2,-7.198935608791767,-13.07987304681159,-24.59947998053984,-15.312380839493077,18.925484990695484,-5.66030274113672,-6.025533950374915,-0.9723706282872853,0.7628605602078514,-3.5275440819668,0.9146635527707246,-0.13802869194742923,-0.5971747456136675,2.6086846512921644,0.11154125726822535,1.8417246898062913,0.5697184111649746,-0.5841780899474586,-0.6419302391897675,1.6541545019465642,1.1585780195409492,-5.783489168055485e-15
Muscle,1M4,Old CD,1,Old,CD,4,-7.810558885604634,-0.12006638664878418,-2.5001508062963214,0.500623180445022,-1.8887977540015264,3.9169180246882807,4.360472123494011,2.7111661901593154,-5.457584575091854,0.2140658293798099,0.5717213958531646,-3.053995486154801,-5.704291529339913,-4.692301765391847,-4.391215279373549,-0.21933786991819096,0.5653751564071924,1.2228704891710502,13.936825370940895,0.5375283864054772,5.587060654902532,-1.0863248157164254e-14
Muscle,1M10,Old CD,1,Old,CD,10,-6.8631697386290424,2.335210945151066,-2.3708849585961103,8.740565584089335,-0.27670477768577484,4.4590010490840575,-0.4808401547057326,-6.413654145774455,0.6995151031034129,-5.083065812136175,-1.6154257080983274,-1.1031194201190253,-3.9218830647061633,1.3851948752645995,-5.8137638776515725,5.109605339614084,10.55165043834495,-4.694296452877285,-0.6420642240400029,-7.902519621442672,-4.911546821689788,-6.570410144723451e-15
Muscle,1M11,Old CD,1,Old,CD,11,-10.853386001978715,-1.017520182958693,-7.238384675365055,18.650728484257122,-1.3093277150542184,-4.382361364118362,-5.967981171505,-1.487961284352847,6.314790869040589,11.80088322941765,-3.521163008013982,-11.718763380632405,2.0844796625436373,1.9094019336083774,-1.8588870842610883,0.8552919989484579,-3.4680647943683036,2.279506804271621,-0.15343080352518712,3.366107634204987,-2.2817168857663925,-7.309915265084895e-15
Muscle,2M16,Old CD,2,Old,CD,16,1.3940161572081646,-1.65932520024511,8.187300621120569,8.394997468507086,8.133939646779107,10.86445731800123,-13.140426305655751,-4.539201552019618,-13.930920578742738,2.5979825751155596,11.668798658109159,-0.404754154883758,1.133423085970116,0.4829010379813391,3.8590455317158705,-0.7601700015708065,-0.7235555917958182,-0.3877338438962836,-1.7704372286551462,-0.025003421078652843,1.4140613258585029,-1.0205941975940738e-14
Muscle,2M17,Old CD,2,Old,CD,17,10.609100291976231,3.999111502668464,14.935019437812395,-5.327834347340891,15.280732249836625,14.04740490589783,-3.14240214656699,10.158473387317645,10.175752703865271,1.7984621417099815,-6.112574630046939,-3.343290937523311,-3.4158611858214067,3.4411678531091345,0.5181691725900971,0.5868339936211987,1.9912669502481568,2.779781345313544,-0.09636945127036514,-0.552633371250637,1.1770422102381468,-8.42057136769263e-15
Muscle,2M20,Old CD,2,Old,CD,20,11.048607768389243,-12.547088762445107,5.756369492004959,-1.4433283270847956,4.474257571127078,-1.759110711667478,7.795888483808385,-5.970463924026141,9.52086237489005,3.0698648360947467,10.938857006448869,1.795016379424455,9.69520823692288,-1.6875114822978476,-6.495571976626294,-5.685501714069978,1.149983006256776,0.8007449710069993,2.6206409581391727,-1.4496938086559783,-1.5473494042744929,-3.0073642956016134e-15
