"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ontology","comparison","direction"
"GO:0035589","G protein-coupled purinergic nucleotide receptor signaling pathway",10,0.503032880155946,1.30058587092479,0.134490238611714,0.35333749071303,0.275153416576198,2019,"tags=40%, list=15%, signal=34%","18442/233571/18441/11539","BP","young CD vs old CD","Up"
"GO:1905456","regulation of lymphoid progenitor cell differentiation",10,0.502153336462921,1.29831182056916,0.134490238611714,0.35333749071303,0.275153416576198,2552,"tags=40%, list=19%, signal=32%","20663/20662/18128/234069","BP","young CD vs old CD","Up"
"GO:2000351","regulation of endothelial cell apoptotic process",48,-0.341885024410977,-1.27899809918394,0.134438305709024,0.35333749071303,0.275153416576198,3421,"tags=40%, list=25%, signal=30%","18787/18569/68545/57875/21939/231130/14066/16401/21803/21825/20296/22433/12822/18024/66214/15894/14161/110135/99571","BP","young CD vs old CD","Down"
"GO:0060021","roof of mouth development",81,0.277808269133706,1.20565971356156,0.134433962264151,0.35333749071303,0.275153416576198,3250,"tags=30%, list=24%, signal=23%","11481/106522/231470/22418/20662/71458/67628/20481/16974/17128/71371/16450/70300/77087/105278/320790/67661/380614/16950/11695/21380/70673/381694/22411","BP","young CD vs old CD","Up"
"GO:0072202","cell differentiation involved in metanephros development",14,0.461983155602158,1.32379466658067,0.134736842105263,0.353823146316754,0.275531609669647,3043,"tags=50%, list=22%, signal=39%","329628/20472/16878/22417/16779/18591/22601","BP","young CD vs old CD","Up"
"GO:0090385","phagosome-lysosome fusion",11,-0.521517125526108,-1.34857966667194,0.135185185185185,0.354533937007101,0.276085121516139,2481,"tags=36%, list=18%, signal=30%","72392/18711/19332/18784","BP","young CD vs old CD","Down"
"GO:0032785","negative regulation of DNA-templated transcription, elongation",22,0.399929384391708,1.29034419550239,0.13519313304721,0.354533937007101,0.276085121516139,5176,"tags=77%, list=38%, signal=48%","52040/330474/11545/50721/12005/170472/77305/24116/192231/14056/58202/22346/57314/58230/107951/19045/20924","BP","young CD vs old CD","Up"
"GO:0046827","positive regulation of protein export from nucleus",20,0.409797464640182,1.28997071156312,0.135076252723312,0.354533937007101,0.276085121516139,2473,"tags=40%, list=18%, signal=33%","67628/19042/18747/52163/50721/215280/66810/56637","BP","young CD vs old CD","Up"
"GO:0006779","porphyrin-containing compound biosynthetic process",30,0.365119839088679,1.28840687620736,0.135555555555556,0.354771302530764,0.276269964439774,3099,"tags=43%, list=23%, signal=33%","11733/19044/12892/74104/64602/20741/237926/56199/18174/68066/70383/14151/66154","BP","young CD vs old CD","Up"
"GO:0033014","tetrapyrrole biosynthetic process",30,0.365119839088679,1.28840687620736,0.135555555555556,0.354771302530764,0.276269964439774,3099,"tags=43%, list=23%, signal=33%","11733/19044/12892/74104/64602/20741/237926/56199/18174/68066/70383/14151/66154","BP","young CD vs old CD","Up"
"GO:0044319","wound healing, spreading of cells",34,-0.364403131213328,-1.26794846382466,0.135593220338983,0.354771302530764,0.276269964439774,2868,"tags=38%, list=21%, signal=30%","231532/16410/76905/30931/56426/12505/76509/11848/12476/26365/192176/17381/11853","BP","young CD vs old CD","Down"
"GO:0090505","epiboly involved in wound healing",34,-0.364403131213328,-1.26794846382466,0.135593220338983,0.354771302530764,0.276269964439774,2868,"tags=38%, list=21%, signal=30%","231532/16410/76905/30931/56426/12505/76509/11848/12476/26365/192176/17381/11853","BP","young CD vs old CD","Down"
"GO:0048565","digestive tract development",108,-0.272739041495417,-1.2032439345501,0.13556338028169,0.354771302530764,0.276269964439774,2940,"tags=34%, list=22%, signal=27%","15251/12387/13076/21414/16535/394436/20377/13649/19378/71175/21416/81897/21803/20666/59036/14183/12043/66601/13618/20897/268697/14184/71660/15398/18416/18024/15902/12550/54612/11898/19645/331063/12224/14080/15360/227231/22061","BP","young CD vs old CD","Down"
"GO:0010744","positive regulation of macrophage derived foam cell differentiation",13,-0.494273105464117,-1.33702353263911,0.136029411764706,0.355653210189185,0.276956729676119,2410,"tags=54%, list=18%, signal=44%","16173/11606/12491/18784/238055/20288/16176","BP","young CD vs old CD","Down"
"GO:0006112","energy reserve metabolic process",91,0.263633472895143,1.18438446856023,0.136054421768707,0.355653210189185,0.276956729676119,2473,"tags=26%, list=18%, signal=22%","16367/69181/12833/19309/19047/16591/14683/329015/18682/13853/53601/66681/16337/14583/217166/606496/76559/14783/108099/18642/16195/74781/58200/56637","BP","young CD vs old CD","Up"
"GO:0048143","astrocyte activation",20,-0.431482833355877,-1.32508657556592,0.136279926335175,0.355917947994782,0.277162888132614,2641,"tags=35%, list=20%, signal=28%","13649/11606/24136/12273/12259/15979/16176","BP","young CD vs old CD","Down"
"GO:0002717","positive regulation of natural killer cell mediated immunity",20,-0.430648508138366,-1.32252435741976,0.136279926335175,0.355917947994782,0.277162888132614,2693,"tags=35%, list=20%, signal=28%","22324/27007/52118/225825/19419/12122/83408","BP","young CD vs old CD","Down"
"GO:0038092","nodal signaling pathway",11,0.494804038595682,1.29664297589765,0.136363636363636,0.355974321805757,0.277206787936916,3282,"tags=36%, list=24%, signal=28%","11479/18121/23863/228839","BP","young CD vs old CD","Up"
"GO:0014888","striated muscle adaptation",50,0.319433164970181,1.26833972696805,0.136460554371002,0.356040234290779,0.2772581157635,3113,"tags=40%, list=23%, signal=31%","17125/12292/11474/21676/17927/216874/57080/17128/14886/12633/18021/100705/114674/22065/230674/66277/11835/76469/16011/19055","BP","young CD vs old CD","Up"
"GO:0046496","nicotinamide nucleotide metabolic process",171,-0.249578851144487,-1.18799318084164,0.136513157894737,0.356040234290779,0.2772581157635,1381,"tags=21%, list=10%, signal=19%","18113/20533/74747/59027/18770/21405/105787/50799/208727/110639/239017/18104/57258/227659/19017/17928/98256/19052/110208/19384/107766/433766/103988/70789/16418/17449/110119/17970/14121/69564/22228/22223/14080/230163/18639/56857","BP","young CD vs old CD","Down"
"GO:0071476","cellular hypotonic response",11,-0.519530537756781,-1.34344259304455,0.137037037037037,0.356919191919192,0.277942583732057,2624,"tags=45%, list=19%, signal=37%","12257/63873/107589/12283/14121","BP","young CD vs old CD","Down"
"GO:0035929","steroid hormone secretion",21,-0.419547366918412,-1.30650540313349,0.137037037037037,0.356919191919192,0.277942583732057,877,"tags=38%, list=6%, signal=36%","16535/12257/11606/13109/12953/18669/20750/12394","BP","young CD vs old CD","Down"
