"raw.file","name","n.cohorts","rt.min","rt.max","diff","cohort.rt"
"Muscle compound_Discover_neg_raw_file.csv","7-Epi-12-hydroxyjasmonic acid",3,2.876,3.912,1.036,"1:3.912 | 2:2.876 | 4:3.912"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_positive.csv","PE(20:3(8Z,11Z,14Z)/18:0)",3,3.056,4.088,1.032,"1:4.088 | 2:3.056 | 4:3.056"
"Muscle compound_Discover_neg_raw_file.csv","LysoPE(0:0/18:1(11Z))",3,3.011,4.015,1.004,"1:4.015 | 2:3.011 | 4:4.015"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","achalensolide  isomer",3,2.847,3.718,0.871,"1:3.718 | 2:2.847 | 4:2.847"
"Muscle compound_Discover_neg_raw_file.csv","PE(P-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",3,2.922,3.783,0.861,"1:2.922 | 2:3.783 | 4:2.922"
"Muscle compound_Discover_pos_raw_file.csv","PC(14:0/16:0)",3,2.992,3.84,0.848,"1:2.992 | 2:3.84 | 4:2.992"
"Muscle compound_Discover_pos_raw_file.csv","Ethanoic anhydride",3,14.356,15.002,0.646000000000001,"1:14.356 | 2:15.002 | 4:14.356"
"Muscle compound_Discover_pos_raw_file.csv","dehydroglutathione isomer",3,13.963,14.584,0.621,"1:13.963 | 2:14.584 | 4:14.584"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","octulose-8-phosphate isomer",3,15.173,15.763,0.59,"1:15.173 | 2:15.763 | 4:15.173"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","6-a-hydroxytestosterone  isomer",3,2.093,2.598,0.505,"1:2.093 | 2:2.093 | 4:2.598"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","PE(20:3(8Z,11Z,14Z)/18:0)",3,4.047,4.526,0.479,"1:4.526 | 2:4.047 | 4:4.047"
"Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","glycyl-proline isomer",3,13.965,14.397,0.432,"1:14.397 | 2:14.397 | 4:13.965"
