"name","formula","ion.mode","rt_drift"
"PE(P-18:1(9Z)/22:4(7Z,10Z,13Z,16Z))","C45H80NO7P","nega",1.076
"PS(16:0/18:1(9Z))","C40H76NO10P","nega",1.129
"PS(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","C44H74NO10P","nega",1.064
"PS(18:0/18:0)","C42H82NO10P","nega",1.024
"PS(18:0/20:3(8Z,11Z,14Z))","C44H80NO10P","nega",1.635
"PS(20:4(5Z,8Z,11Z,14Z)/22:5(4Z,7Z,10Z,13Z,16Z))","C48H76NO10P","posi",1.511
"Pantetheine","C11H22N2O4S","nega",1.264
"Phenethylamine","C8H11N","posi",2.949
"Phenylacetaldehyde","C8H8O","nega",1.015
"Phenyllactic acid","C9H10O3","nega",2.663
"Piperazin-2-carboxamid","C5H11N3O","posi",6.836
"Prostaglandin F1a","C20H36O5","nega",1.097
"Pyridine","C5H5N","posi",3.839
"Pyrimidine","C4H4N2","posi",6.595
"Pyrrole","C4H5N","posi",2.486
"Quinoline","C9H7N","posi",6.939
"Ribothymidine","C10H14N2O6","nega",2.004
"Salsolinol","C10H13NO2","posi",10.279
"Sepiapterin","C9H11N5O3","nega",8.075
"Sphingosine","C18H37NO2","posi",1.188
"Stachydrine","C7H13NO2","posi",5.434
"Sulcatone","C8H14O","nega",9.939
"Taurocholic acid","C26H45NO7S","nega",1.158
"Tetramethylurea","C5H12N2O","posi",8.279
"Threonylleucine","C10H20N2O4","nega",7.507
"Threonylleucine","C10H20N2O4","posi",4.189
"Toxopyrimidine","C6H9N3O","posi",2.925
"Traumatic acid","C12H20O4","nega",1.176
"Tridemorph","C19H39NO","posi",5.774
"Triethylamine","C6H15N","posi",1.015
"Val-Ser","C8H16N2O4","posi",5.596
"Valeramide","C5H11NO","posi",4.508
"Vigabatrin","C6H11NO2","posi",11.633
"Zalcitabine","C9H13N3O3","posi",4.712
"alpha-Ketoisovaleric acid","C5H8O3","nega",9.218
"alpha-ketoadipic acid","C6H8O5","posi",1.341
"ammodendrine","C12H20N2O","posi",1.676
"b-Ala-Lys","C9H19N3O3","posi",3.119
"gamma-Glutamyltyrosine","C14H18N2O6","nega",10.222
"hesperetin 3'-O-sulfate","C16H14O9S","posi",5.628
"hydroxyacetone phosphate","C3H7O5P","posi",5.251
"imidazolinone","C3H4N2O","posi",6.385
"indospicine","C7H15N3O2","posi",1.963
"p-Acetaminobenzaldehyde","C9H9NO2","nega",1.094
"phenicarbazide","C7H9N3O","posi",11.272
"phthalazone","C8H6N2O","posi",12.136
"pyrazole","C3H4N2","posi",2.94
"quinolone","C9H7NO","posi",5.793
"thiomorpholine-3-carboxylic acid","C5H9NO2S","posi",9.111
"tuaminoheptane","C7H17N","posi",8.517
