"source","ion.mode","name","formula","mz","rt","med.ic","n.samples"
"CD","nega","3-(1-cyano-1,2-dihydroisoquinolin-2-yl)-3-oxopropyl propionate","C16H16N2O3",283.11087,1.888,849395.208421197,44
"CD","nega","3-(2-Hydroxyphenyl)propanoic acid","C9H10O3",165.0555,3.561,965001.685825789,22
"CD","nega","3-Amino-4-hydroxybenzoic acid","C7H7NO3",152.03504,8.034,5320010.31629322,22
"CD","nega","3-Furoic acid","C5H4O3",111.00856,14.824,3699157.14711132,44
"CD","nega","3-Hydroxy-1-phenyl-1-eicosanone","C26H44O2",387.32673,2.198,133341.171991254,22
"CD","nega","3-Hydroxybenzyl alcohol","C7H8O2",123.04516,2.666,6610947.53190964,22
"CD","nega","3-Hydroxyhexanoylcarnitine","C13H25NO5",274.16559,9.112,4608.66893134944,22
"CD","nega","3-Hydroxymethylglutaric acid","C6H10O5",221.0666,11.363,2657511.47599346,22
"CD","nega","3-Methoxy-4-hydroxyphenylethyleneglycol sulfate","C9H12O7S",263.02289,2.49,61719.4264564624,44
"CD","nega","3-Methyl-2-oxovaleric acid","C6H10O3",129.05573,2.518,1557342.096012,44
"CD","nega","3-Methylbutyl glucosinolate","C12H23NO9S2",388.07462,14.854,13999.4283485452,22
"CD","nega","3-Methylphenylacetic acid","C9H10O2",149.06074,2.633,646203.850677142,44
"CD","nega","3-Methyluric acid","C6H6N4O3",181.03665,10.983,772587.42288264,22
"CD","nega","3-Nitrotyrosine","C9H10N2O5",225.0516,12.469,155713.07813878,22
"CD","nega","3-O-p-Coumaroylquinic acid","C16H18O8",337.09171,15.167,18726635.4766226,22
"CD","nega","3-Oxododecanoic acid","C12H22O3",213.1496,2.489,518372.801443483,44
"CD","nega","3-Oxooctadecanoic acid","C18H34O3",297.24339,2.198,12677784.9359592,44
"CD","nega","3-hydroxydodec-2-enedioic acid","C12H20O5",243.12364,12.47,124245.91537324,22
"CD","nega","3-keto Fusidic acid","C31H46O7",529.31216,4.151,188689.09834251,22
"CD","nega","4-(1,1,3,3-Tetramethylbutyl)-phenol","C14H22O",205.15963,2.388,2482953.4252835,44
"CD","nega","4-Hydroxycinnamic acid","C9H8O3",163.03984,2.798,36039.8314960185,22
"CD","nega","4-Hydroxyproline","C5H9NO3",130.051,14.034,1113861.01296304,44
"CD","nega","4-Hydroxypropofol","C12H18O2",193.12322,2.488,616186.818734434,44
"CD","nega","4-Oxoproline","C5H7NO3",128.03533,10.034,12685304.9251137,44
"CD","nega","4-Pyridoxic acid","C8H9NO4",182.0458,2.39,163587.94357959,44
"CD","nega","5-(3',4',5'-Trihydroxyphenyl)-gamma-valerolactone-3'-O-glucuronide","C17H20O11",399.09537,13.601,8178.2306316759,22
"CD","nega","5-Hexyltetrahydro-2-oxo-3-furancarboxylic acid","C11H18O4",213.113,3.704,1609170.77431253,22
"CD","nega","5-Hydroxymethyl-4-methyluracil","C6H8N2O3",155.046,13.049,853298.273375837,22
"CD","nega","5-Phenylvaleric acid","C11H14O2",177.09184,2.752,832615.632559602,22
"CD","nega","5-Phosphoribosylamine","C5H12NO7P",228.02767,15.093,271491.850716216,22
"CD","nega","5-Sulfosalicylic acid","C7H6O6S",216.98107,3.87,131074.197098463,44
"CD","nega","5-Thymidylic acid","C10H15N2O8P",321.04936,14.61,89866.6345483081,22
"CD","nega","5b-Cyprinol sulfate","C27H48O8S",531.2988,3.675,221435.09553445,22
"CD","nega","6-Hydroxydopamine","C8H11NO3",168.06643,2.687,232716.781618038,22
"CD","nega","6-Keto-prostaglandin F1a","C20H34O6",369.22832,3.09,99702.8138958005,44
"CD","nega","6-Phosphogluconic acid","C6H13O10P",257.00675,15.011,381613.91819614,44
"CD","nega","7-Methylhypoxanthine","C6H6N4O",149.04539,6.543,3104155.24795417,44
"CD","nega","7-Sulfocholic acid","C24H40O8S",487.23785,3.919,336337.158927866,44
"CD","nega","8-Acetylegelolide","C16H20O6",307.1186,3.875,27165.7591772968,22
"CD","nega","9-Decenoic acid","C10H18O2",169.12333,2.505,792440.09131589,44
"CD","nega","ADP-glucose","C16H25N5O15P2",588.07512,15.023,404322.213138529,22
"CD","nega","AICAR","C9H15N4O8P",337.05777,14.573,185257.966367294,22
"CD","nega","Abscisic acid","C15H20O4",263.12861,2.87,48178.9582353079,22
"CD","nega","Acetylglycine","C4H7NO3",116.03527,10.085,625114.057587645,44
"CD","nega","Acetylphosphate","C2H5O5P",138.98009,14.672,9677517.44939351,44
"CD","nega","Acipimox","C6H6N2O3",153.03052,10.146,369859.294551741,44
