Tissue_cell_type_name	Developmental_stage	Organ_system	Tissue	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID	input_list_raw_p	input_list_permutated_p	input_list_rank_p	input_list_combined_p	input_list_combined_log10p	delabel
Fetal_HCA_Lung_Lymphoid cells	Fetal	Respiratory system	Fetal_HCA_Lung	Lymphoid cells	Innate lymphoid cell	CL:0001065	Lung	UBERON:0002048	1.24085404768051e-32	4.11708882651482e-05	0.307380073800738	0.000155372481178917	3.80862589885852	NA
TS_Lung_respiratory goblet cell	Adult	Respiratory system	TS_Lung	respiratory goblet cell	Goblet cell	CL:0000160	Lung	UBERON:0002048	1.87320525837412e-58	8.23417765302964e-05	0.153874538745387	0.000155543801440006	3.80814729123506	NA
Madissoon_2020_oesophagus_B_CD27neg	Adult	Digestive system	Madissoon_2020_oesophagus	B_CD27neg	B cell	CL:0000236	Esophagus	UBERON:0001043	1.37931771762651e-32	4.11708882651482e-05	0.308487084870849	0.000155886387335658	3.80719180760222	NA
AdultFallopiantube_Dendritic cell	Adult	Reproductive system	AdultFallopiantube	Dendritic cell	Dendritic cell	CL:0000451	Fallopian tube	UBERON:0003889	1.46447559246529e-32	4.11708882651482e-05	0.309225092250922	0.000156228900541233	3.80623862356638	NA
FetalAdrenalGland_Antigen presenting cell (RPS high)	Fetal	Endocrine system	FetalAdrenalGland	Antigen presenting cell (RPS high)	Professional antigen presenting cell	CL:0000145	Adrenal gland	UBERON:0002369	2.23487409714625e-32	4.11708882651482e-05	0.31070110701107	0.000156913709575268	3.80433911037877	NA
AdultSpleen_B cell (Plasmocyte)	Adult	Lymphatic system	AdultSpleen	B cell (Plasmocyte)	B cell	CL:0000236	Spleen	UBERON:0002106	2.30546466167424e-32	4.11708882651482e-05	0.311439114391144	0.00015725600574823	3.80339275946928	NA
AdultEsophagus_Dendritic cell	Adult	Digestive system	AdultEsophagus	Dendritic cell	Dendritic cell	CL:0000451	Esophagus	UBERON:0001043	3.30109616511655e-32	4.11708882651482e-05	0.312177121771218	0.00015759822992012	3.80244866463987	NA
AdultOmentum_Monocyte	Adult	Integumentary system	AdultOmentum	Monocyte	Monocyte	CL:0000576	Omentum	UBERON:0003688	3.83976203827031e-32	4.11708882651482e-05	0.312915129151291	0.000157940382261135	3.80150681520417	NA
AdultTransverseColon_Macrophage	Adult	Digestive system	AdultTransverseColon	Macrophage	Macrophage	CL:0000235	Transverse colon	UBERON:0001157	6.53918285520316e-32	4.11708882651482e-05	0.314391143911439	0.000158624472127555	3.79962981014529	NA
AdultHeart_Monocyte	Adult	Cardiovascular system	AdultHeart	Monocyte	Monocyte	CL:0000576	Heart	UBERON:0000948	6.87712010748378e-32	4.11708882651482e-05	0.315129151291513	0.000158966409989358	3.79869463352481	NA
TS_Uterus_epithelial cell of uterus	Adult	Reproductive system	TS_Uterus	epithelial cell of uterus	Epithelial cell	CL:0000066	Uterus	UBERON:0000995	9.76820006337784e-32	4.11708882651482e-05	0.315867158671587	0.000159308276693304	3.79776166030148	NA
Madissoon_2020_oesophagus_Epi_basal	Adult	Digestive system	Madissoon_2020_oesophagus	Epi_basal	Basal cell	CL:0000646	Esophagus	UBERON:0001043	9.85192425371865e-32	4.11708882651482e-05	0.316605166051661	0.000159650072405482	3.79683088016059	NA
Madissoon_2020_spleen_Plasmablast	Adult	Lymphatic system	Madissoon_2020_spleen	Plasmablast	Plasma cell	CL:0000786	Spleen	UBERON:0002106	9.94384967654311e-32	4.11708882651482e-05	0.317343173431734	0.000159991797291426	3.79590228285901	NA
AdultIleum_Macrophage	Adult	Digestive system	AdultIleum	Macrophage	Macrophage	CL:0000235	Ileum	UBERON:0002116	1.00410571505452e-31	4.11708882651482e-05	0.318081180811808	0.000160333451515782	3.79497585822546	NA
AdultGallbladder_Macrophage	Adult	Digestive system	AdultGallbladder	Macrophage	Macrophage	CL:0000235	Gall bladder	UBERON:0002110	1.3123161768485e-31	4.11708882651482e-05	0.319557195571956	0.000161016548635207	3.79312948662892	NA
FetalFemaleGonad_Macrophage	Fetal	Reproductive system	FetalFemaleGonad	Macrophage	Macrophage	CL:0000235	Immature gonad	UBERON:2005272	1.5090401364271e-31	4.11708882651482e-05	0.32029520295203	0.000161357991855793	3.79220951967491	NA
AdultPleura_Dendritic cell	Adult	Respiratory system	AdultPleura	Dendritic cell	Dendritic cell	CL:0000451	Pleura	UBERON:0000977	3.26705354680863e-31	4.11708882651482e-05	0.321033210332103	0.000161699365066159	3.7912916854047	NA
FetalKidney_Macrophage	Fetal	Urinary system	FetalKidney	Macrophage	Macrophage	CL:0000235	Kidney	UBERON:0002113	4.24118550907315e-31	4.11708882651482e-05	0.322509225092251	0.000162381902099162	3.78946237568875	NA
CordBloodCD34P_Monocyte	Neonatal	Reproductive system	CordBloodCD34P	Monocyte	Monocyte	CL:0000576	Umbilical cord blood	UBERON:0012168	5.11901356970958e-31	4.11708882651482e-05	0.323247232472325	0.000162723066241433	3.788550880798	NA
TS_Prostate_cd8-positive, alpha-beta t cell	Adult	Reproductive system	TS_Prostate	cd8-positive, alpha-beta t cell	T cell	CL:0000084	Prostate gland	UBERON:0002367	5.38432864252313e-31	4.11708882651482e-05	0.324723247232472	0.00016340518657143	3.78673416283663	NA
