"contrast","direction","Developmental_stage","primary_tissue","plotted_gene_n","gene_n","human_symbols","primary_tissue_cell_type_hits","best_combined_p","best_combined_log10p","webcsea_jobs"
"old ID vs old CD","Downregulated","Adult","Fallopian tube",3,3,"GSTA3; SERPINA3; UBE2H","AdultFallopiantube_Stratified epithelial cell",0.00478339896333679,2.32026339492781,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Lung",3,3,"AUTS2; MAP1LC3A; RIC3","Madissoon_2020_lung_Plasma_cells; TS_Lung_type ii pneumocyte",0.00435391224085124,2.36112032901522,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Lymph node",3,3,"ACOT8; OTUB2; RC3H2","TS_Lymph_Node_hematopoietic stem cell; TS_Lymph_Node_macrophage; TS_Lymph_Node_plasma cell",0.00268725542424419,2.5706910518148,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Bladder organ",2,2,"FAT3; SCX","TS_Bladder_smooth muscle cell",0.0412919375680919,1.38413473796841,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Eye",2,2,"RABL3; TRIM67","TS_Eye_corneal epithelial cell; TS_Eye_muller cell",0.0478399638807208,1.32020915691282,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Upregulated","Adult","Heart",45,45,"ABCA6; ABCA9; ABI3BP; ACSM3; ADAMTSL3; BGN; CADM3; CASP12; CBX7; CEP152; CFH; CNTFR; COL14A1; COL6A6; COMP; CRISPLD2; ECM2; EFHD1; FAM171B; FBXL20; GALNT15; HLA-A; IFI16; IL7R; LTBP4; MMP2; NUMBL; OGN; P2RX7; PDGFRL; PI16; PLEKHA4; PTPN13; RAB44; RNF24; SAMHD1; SCARA3; SLC43A3; STON1; SYNE3; TBC1D2B; TGFBR2; TMEFF2; TNFSF10; VIT","TS_Heart_fibroblast of cardiac tissue; TS_Heart_macrophage",3.10947457340394e-05,4.50731299012092,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","Adult","Ileum",20,20,"AOAH; C1QA; C1QC; CCR5; CD163; CLEC10A; CSF1R; CSF3R; FCGR2A; FCN1; LAIR1; LILRA4; MMP9; MNDA; MRC1; PHACTR1; S100A9; SIGLEC1; STAB1; TLR8","AdultIleum_Macrophage",0.0001141982673537,3.94234048527085,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","Adult","Transverse colon",17,17,"APOL1; B3GALNT1; CCL8; CDH11; CLEC11A; CLEC3B; FNDC1; GALNT16; GJA1; GPC3; GPX8; GREM2; GULP1; KRBA1; PHLDB2; TGFBI; TMEM47","AdultTransverseColon_Macrophage; AdultTransverseColon_Stromal cell",3.69843989266316e-05,4.43198143509289,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","Adult","Retina",14,14,"FREM2; HID1; ISLR2; ITGA2; ITGB4; ITGB8; KIF1A; NOTCH1; PC; PCDH20; PPM1K; RBM12B; RBM5; VWA5A","Voigt_2019_retina_2_Fibroblasts; Voigt_2019_retina_2_Schwann cell; Voigt_2019_retina_2_Vein cell 1",0.00021915942222039,3.65923985318543,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","Adult","Tongue",13,13,"ACER2; AFF3; ASAP2; CCDC149; CEP112; CLCA1; CNTLN; F13A1; GLCCI1; HLA-G; ITGA8; PTPRU; SOCS2","TS_Tongue_fibroblast; TS_Tongue_immune cell; TS_Tongue_pericyte cell; TS_Tongue_vein endothelial cell",4.93024059736724e-05,4.30713188649167,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","Adult","Trachea",12,12,"ADAMTS10; AMN1; APOL4; CENPJ; INHBA; LEPR; PENK; PLP1; RGS2; TLN2; ZNF235; ZNF280C","AdultTrachea_Endothelial cell (endothelial to mesenchymal transition); AdultTrachea_Fibroblast; AdultTrachea_Stromal cell",3.7374119779221e-05,4.42742902688233,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","Adult","Visual cortex",12,12,"C2orf68; CHIA; CLEC4M; CX3CR1; MAML3; MCM9; MMRN1; MYOF; RASAL3; RNF213; TBC1D4; ZNF217","Lake_2017_VisualCortex_In4a; Lake_2017_VisualCortex_Mic",0.00013171896241448,3.88035169900051,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","Adult","Stomach",9,9,"ACKR1; CCL23; GPM6A; HBEGF; HLA-F; KMT2E; UVSSA; ZCCHC14; ZNF790","AdultStomach_Endothelial cell (APC); AdultStomach_Smooth muscle cell",0.00017462119528399,3.75790304335545,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","Adult","Lung",8,8,"APPL2; BUB1B; CCL15; CDC14A; IKZF4; PKD1; POLK; SLC6A2","AdultLung_Stromal cell; TS_Lung_vein endothelial cell",5.83651653797146e-05,4.2338462795504,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","Adult","Eye",7,7,"APOL3; B4GALT1; CISH; RNF169; SLC7A2; SPNS2; UHRF2","TS_Eye_macrophage; TS_Eye_retinal blood vessel endothelial cell; van_Zyl_eye_2020_BeamCella; van_Zyl_eye_2020_ScEndo",4.04799044999571e-05,4.39276052075301,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","Adult","Muscle organ",7,7,"DUS3L; KCNAB1; NPNT; PPL; SYNE2; SYTL2; VWF","AdultMuscle_Macrophage; AdultMuscle_Smooth muscle cell",5.68637445893527e-05,4.2451645445586,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","Adult","Esophagus",5,5,"ACE; CR1L; FNBP1; LOXL3; SDK1","AdultEsophagus_Macrophage; Madissoon_2020_oesophagus_Fibroblast; Madissoon_2020_oesophagus_Mono_macro",4.85409588022456e-05,4.31389164954483,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","Adult","Thyroid gland",5,5,"APOL2; CD14; RASSF2; RELN; ZNF445","AdultThyroid_Fibroblast; AdultThyroid_Stromal cell",0.00011137232505897,3.9532227137167,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","Adult","Adrenal gland",3,3,"ACTC1; FCN2; PRKD2","AdultAdrenalGland_Endothelial cell (APC); AdultAdrenalGland_Smooth muscle cell",0.00087100966479358,3.05997702599895,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","Adult","Kidney",3,3,"JAK3; SIM1; TMPO","TS_Kidney_endothelial cell; TS_Kidney_macrophage",0.00086530348183644,3.06283154875311,"JOB3494_IDvCD_upregulated"
"young CD vs old CD","Downregulated","Adult","Blood",918,918,"ABCC3; ABHD2; ABRACL; ACOT9; ACTN1; ACTN4; ACTR2; ACTR3; ADAM15; AFTPH; AHCY; AHNAK; AHR; AIF1; AKIP1; AKR1A1; ALDH1A1; ALDH3A2; ALOX5AP; AMY2A; ANG; ANPEP; ANXA1; ANXA2; ANXA4; ANXA7; AP1S1; AP4B1; APBB1IP; APEX1; API5; ARF1; ARF6; ARHGAP29; ARHGAP30; ARHGDIA; ARHGDIB; ARL6IP5; ARL8A; ARPC1B; ARPC2; ARPC3; ARRDC3; ASAH1; ASGR1; ASGR2; ASL; ATG3; ATP2A2; ATP5IF1; ATP5MF; ATP5MG; ATP5PD; ATP5PF; ATP6AP2; ATP6V0E1; ATP6V1A; ATP6V1C1; ATP6V1D; ATP6V1E1; ATP6V1F; ATP6V1G1; ATR; ATRX; AURKAIP1; BACH1; BCAP29; BCAP31; BCL6; BCLAF1; BID; BIN2; BLOC1S1; BLOC1S6; BLVRA; BRMS1; BRWD1; BST1; BTF3; BTF3L4; BTK; BUD31; BZW1; C19orf38; C1D; C1QA; C1QB; C2; C20orf27; C3AR1; C4orf3; C5AR1; C8G; CAB39; CALU; CANX; CAP1; CAPG; CAPNS1; CAPZA1; CASP1; CASP4; CAST; CCAR1; CCDC47; CCR1; CCR2; CCT4; CCT5; CCT6A; CCT8; CD151; CD163; CD164; CD300LB; CD300LF; CD302; CD36; CD37; CD4; CD44; CD53; CD63; CD74; CD84; CDC40; CDC42; CDK5RAP3; CDKAL1; CDKN1A; CEP170; CERS6; CES1; CES2; CFL1; CHCHD1; CHCHD2; CHCHD5; CHIC1; CHMP2A; CHMP3; CHRND; CHURC1; CIB1; CIITA; CKAP2; CLEC12A; CLEC4A; CLEC7A; CLIC1; CLIC4; CLTA; CLTC; CMTM7; CNBP; CNDP2; CNNM2; CNOT2; COMMD1; COMMD3; COPB1; COPB2; COPS2; COPZ1; CORO1A; COTL1; COX17; COX5B; COX7A2; COX7B; COX7C; CPD; CPNE2; CPNE8; CPT1A; CRBN; CRYL1; CSF3R; CSRP1; CST3; CSTB; CSTF1; CTBP2; CTNNA1; CTNNBL1; CTSD; CTSH; CTSS; CTSZ; CWC15; CX3CR1; CYB5R3; CYBB; CYFIP1; CYP1B1; CYP27A1; CYP51A1; DAD1; DAPP1; DAZAP2; DBNL; DCTN3; DCTN4; DDIT4; DDOST; DDX3X; DDX52; DECR1; DENND4A; DERA; DHX15; DHX9; DLD; DMXL1; DMXL2; DNAJC10; DNAJC3; DNAJC8; DNASE2; DNM1L; DOCK11; DOCK2; DOCK5; DOCK8; DONSON; DYNC1I2; DYNLRB1; DYNLT1; EAPP; ECH1; EEA1; EEF1A1; EEF1B2; EFHD2; EIF1AX; EIF2A; EIF2S3; EIF3C; EIF3E; EIF3G; EIF3K; EIF3L; EIF3M; EIF4A1; EIF6; EMB; EMC7; EMP1; ENOX2; ENTPD1; ENY2; EPHB2; EPS8; EPSTI1; ERLIN1; ESD; ETF1; EVI2B; EVI5; FADS1; FAH; FAM111A; FAM117B; FAR1; FASTKD2; FAU; FBP1; FCER1G; FCGR2A; FER; FGD4; FGR; FKBP3; FLNA; FLT3; FMN1; FOSB; FTL; FUCA2; FXR1; FXYD5; FYB1; GAB2; GABARAP; GALNT6; GCA; GCK; GDI2; GIMAP5; GLA; GLDN; GLIPR1; GLRX; GLRX3; GMFG; GNA13; GNAI3; GPM6B; GPR35; GPX1; GPX4; GRPEL1; GTF2F1; GTF3C6; GUSB; HADHB; HAVCR1; HCK; HES6; HEXA; HEXB; HGF; HGS; HINT1; HLA-DMB; HMGB2; HMGN2; HMOX1; HNMT; HNRNPA3; HNRNPC; HNRNPH2; HNRNPK; HPRT1; HPSE; HSBP1; HSP90AA1; HSP90B1; HSPA5; HTATIP2; ID2; IER3IP1; IFI16; IFI30; IFITM3; IFNGR1; IGBP1; IGHV1-18; IGHV1-24; IGHV1-69; IGHV1-69-2; IGHV4-28; IGHV4-31; IGHV4-34; IGHV4-4; IGHV4-59; IGKV1D-8; IL10RA; IL13RA1; IL15; IL18; IL1R2; IL27RA; IL6R; IMPACT; IPO7; IQGAP1; IQGAP2; IRF8; ITFG1; ITGA4; ITGAE; ITGAM; ITGB1; ITGB2; ITM2B; JMJD1C; JUNB; KBTBD3; KCNMB1; KIAA0513; KLF10; KXD1; KYNU; LAMP2; LAPTM4A; LAPTM5; LAT2; LCAT; LCOR; LCP1; LCP2; LGALS1; LGALS3; LGALS9; LHFPL2; LILRB1; LILRB2; LIMS1; LIPA; LMNA; LONP2; LPCAT2; LPXN; LRRK2; LSM3; LSM5; LTN1; LY86; LYN; LYZ; MACF1; MALSU1; MAN1A1; MAN2A1; MAOA; MATR3; MCFD2; MCTS1; MDFIC; MDH1; MDM4; MERTK; METTL18; MFGE8; MGMT; MGST3; MKLN1; MNDA; MPC1; MPEG1; MPP7; MRPL11; MRPL13; MRPL14; MRPL20; MRPL21; MRPL41; MRPL54; MRPS12; MRPS16; MRPS18C; MRPS31; MS4A4A; MS4A6A; MS4A7; MSN; MSR1; MT-CYB; MT-ND4; MT-ND5; MT-ND6; MT1F; MT2A; MTERF2; MTIF3; MVB12A; MVP; MYCBP2; MYL12B; MYO15B; MYO1F; MYO5A; NAA20; NAA38; NAAA; NAIP; NAMPT; NBR1; NCF2; NCKAP1L; NCL; NCOA4; NDFIP1; NDUFA11; NDUFA13; NDUFA2; NDUFA3; NDUFA4; NDUFA6; NDUFB2; NDUFB3; NDUFB5; NDUFC2; NDUFS1; NDUFS4; NEDD8; NETO2; NFE2L2; NHEJ1; NHP2; NINJ1; NIPBL; NIPSNAP3A; NME1; NMT1; NONO; NOP10; NOSIP; NPL; NPM1; NRIP1; NSA2; NSFL1C; NSUN6; NUDCD2; NUDT1; NUFIP2; OCIAD1; ORMDL2; OSBPL8; OST4; OSTC; OSTF1; OTUD1; P2RX4; P4HB; PAFAH1B2; PAPSS2; PARVG; PCBD1; PDCD5; PDIA3; PDIA4; PDIA6; PDLIM5; PECAM1; PES1; PFDN5; PGD; PHF20L1; PHIP; PICALM; PIGH; PIK3AP1; PIKFYVE; PIN4; PINX1; PJA2; PLD3; PLEK; PLEKHB1; PLEKHO1; PLP2; PLSCR1; PMS2; PNRC2; POLR1D; POLR2B; POLR2G; POMP; POP4; POU2F2; PPIA; PPP1R14B; PPP1R15A; PPP2CA; PPP6C; PPT1; PRDX1; PRDX6; PRELID1; PRKCB; PRKCD; PSMA1; PSMA2; PSMA3; PSMA4; PSMA5; PSMA7; PSMB1; PSMB2; PSMB3; PSMB4; PSMB5; PSMB6; PSMB7; PSMC1; PSMC2; PSMC3; PSMC5; PSMC6; PSMD11; PSMD13; PSMD4; PSMD8; PTBP3; PTCD3; PTGER2; PTK2B; PTPN2; PTPN6; PTPRC; PTPRJ; PYCARD; PZP; QSOX1; RAB11A; RAB11FIP1; RAB13; RAB20; RAB27A; RAB2A; RAB32; RAB8A; RAB8B; RABAC1; RAD23B; RAN; RANBP1; RANBP2; RAP1A; RAP1B; RASSF4; RB1; RBBP4; RBP7; RHEB; RHOA; RIT1; RNASE2; RNASE4; RNASE6; RNASEH2C; RNF13; RNF144B; RNF181; RNPC3; RPL10; RPL10A; RPL11; RPL12; RPL13; RPL13A; RPL15; RPL17; RPL18; RPL18A; RPL19; RPL21; RPL22; RPL22L1; RPL23; RPL23A; RPL24; RPL26; RPL27; RPL27A; RPL29; RPL3; RPL30; RPL31; RPL32; RPL34; RPL35; RPL35A; RPL36; RPL36A; RPL36AL; RPL37; RPL37A; RPL38; RPL39; RPL4; RPL5; RPL6; RPL7; RPL7A; RPL9; RPLP0; RPN1; RPS10; RPS12; RPS13; RPS14; RPS15A; RPS16; RPS17; RPS18; RPS19; RPS20; RPS21; RPS23; RPS24; RPS25; RPS26; RPS27; RPS27A; RPS27L; RPS28; RPS29; RPS3; RPS3A; RPS4X; RPS5; RPS6; RPS6KA3; RPS7; RPS8; RPS9; RPSA; RRAS; RSL1D1; RUNX1; S100A10; S100A11; S100A6; S100A8; S100A9; S1PR1; SAMSN1; SARNP; SASH3; SAT1; SCARB2; SCCPDH; SCP2; SDC4; SDCBP; SDCCAG8; SDHD; SEC13; SEC23B; SEC24D; SEC61G; SERINC1; SERPINA1; SERPINB1; SERPINB6; SERPINB8; SF3A3; SF3B1; SF3B6; SGK3; SH2D4A; SH3BGRL; SIRPA; SIRPB1; SKAP2; SLA; SLC11A1; SLC16A5; SLC20A1; SLC22A18; SLC25A24; SLC25A5; SLC2A3; SLC2A6; SLC30A7; SLC37A2; SLC38A2; SLC43A2; SLC43A3; SLC44A1; SLC49A3; SLFN12; SLIRP; SMC1A; SMIM3; SMIM4; SMIM7; SMPDL3A; SNAP47; SNRPB2; SNRPD1; SNRPD3; SNRPE; SNRPG; SNW1; SNX2; SNX4; SNX5; SNX6; SOX4; SP3; SPAG7; SPCS1; SPCS2; SPG21; SPHK1; SPI1; SPINT1; SPPL2A; SPTLC2; SQSTM1; SRA1; SRGN; SRI; SRP14; SRP9; SSB; SSU72; ST14; STK17B; STX11; STX12; STYK1; SUB1; SUGT1; SULT1B1; SUMO1; SURF1; SUSD1; SYF2; SYK; TAT; TBCA; TBCB; TBRG1; TCAIM; TCF7L2; TEFM; TES; TEX264; THBS1; THOC2; THOC5; TICAM2; TIMM10; TIMM8B; TIMP4; TLR2; TLR4; TLR7; TLR8; TLR9; TM2D1; TMBIM4; TMCO1; TMED9; TMEM141; TMEM144; TMEM161B; TMEM167A; TMEM176A; TMEM176B; TMEM182; TMEM192; TMEM205; TMEM33; TMEM50A; TMOD3; TMSB4X; TNFAIP8L2; TNFRSF1B; TNFSF13B; TNNT1; TNS3; TOMM20; TOMM22; TOMM7; TPD52L2; TPM3; TPM4; TPP2; TPT1; TRAFD1; TRAPPC1; TRAPPC2L; TRAPPC3; TRMT11; TRPM2; TRPM7; TSHR; TSPO; TSTD3; TTC32; TUBA1B; TUBA1C; TUBB; TUBB6; TXN; TXNDC17; TXNIP; TYROBP; UAP1L1; UBA3; UBA52; UBE2G2; UBE2J1; UBE2L6; UBR1; UBXN4; UCHL3; UCP2; UNC50; UPP1; UQCC2; UQCR10; UQCRB; UQCRC2; UQCRH; USP15; UXT; VAMP8; VAT1; VIM; VMA21; VMP1; VPS16; VPS26A; VPS29; VPS35; VSIG4; WDR43; XRN2; YIF1A; YME1L1; YTHDF2; YWHAB; YWHAQ; YWHAZ; ZC3H15; ZEB2; ZFR; ZFYVE16; ZKSCAN1; ZMPSTE24; ZNF148; ZNF207; ZNF277; ZNF286A; ZNF415; ZNF593; ZNF701; ZNF765; ZSWIM6; ZSWIM7","TS_Blood_cd4-positive, alpha-beta memory t cell; TS_Blood_cd4-positive, alpha-beta t cell; TS_Blood_cd8-positive, alpha-beta cytokine secreting effector t cell; TS_Blood_cd8-positive, alpha-beta t cell; TS_Blood_classical monocyte; TS_Blood_macrophage; TS_Blood_memory b cell; TS_Blood_monocyte; TS_Blood_naive b cell; TS_Blood_naive thymus-derived cd4-positive, alpha-beta t cell; TS_Blood_neutrophil; TS_Blood_nk cell; TS_Blood_plasma cell; TS_Blood_type i nk t cell",5.5631854001259e-07,6.25467646641008,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","Adult","Small intestine",271,271,"A1BG; AADAC; ABCB1; ACAP1; ACER2; ACOT8; ACOX2; ADH1C; AIM2; AKAP11; ALDH1B1; ALDOB; ANKRD12; ANKS4B; ANXA2R; APOA4; APOB; AQP8; ARHGDIG; ASPA; AZGP1; BANK1; BICD1; BLK; BLOC1S5; BMP3; BTLA; BUB3; C1orf226; C6; CA9; CACNA1I; CARD11; CBR4; CCDC136; CCDC141; CCDC68; CCNC; CCT3; CD19; CD2; CD226; CD3G; CDC123; CDC5L; CDH17; CDHR2; CDHR5; CDK5RAP1; CEP85L; CES3; CFI; CHRNA1; CLDN15; CLDN3; CLK4; CMBL; COMMD2; COQ3; CPS1; CREB3L3; CTLA4; CTPS2; CWF19L2; CXCR5; CXCR6; CYP2B6; CYP2C18; CYP2C19; CYP2C9; CYP2J2; CYP3A5; CYP4F2; CYP4F3; DACT1; DDC; DDX50; DENND5B; DMBT1; DNASE1L3; DPEP1; DPP3; ECT2L; EIF5A2; EMC2; FABP1; FABP2; FAM136A; FCRLA; FOLH1; FOXO1; FOXP3; GCKR; GCNT2; GIPC2; GJB1; GLS2; GMDS; GOLPH3L; GPALPP1; GRAP2; GRPEL2; GUCY2C; HECW2; HEG1; HEPH; HLA-DOB; HMGCS2; HNF1A; HNF4A; HSD11B2; HSPA13; IGKV1-37; IGLC7; IKZF3; IL2RB; ING3; IPCEF1; IRGM; ITGB7; ITPRIPL1; KCNK5; KLHDC8A; KLHL5; KLRB1; KRR1; KRT20; LANCL2; LAX1; LAYN; LCLAT1; LRAT; LY9; MAOB; MED6; MEST; METTL8; MID2; MISP; MLLT3; MPHOSPH10; MPHOSPH8; MPI; MRPL48; MRPS14; MRRF; MS4A1; MS4A8; MTMR1; MUC13; MUC17; MYO1D; MYO7B; N4BP2L2; NEDD1; NGDN; NGLY1; NPAT; NR1H4; NR6A1; NT5E; ODF3L2; ONECUT2; OTC; P2RY10; PARD6B; PARP3; PDE5A; PDE7A; PDGFD; PDZK1; PEG10; PEX13; PGAP1; PGLYRP2; PGM3; PHAX; PIGR; PKLR; PLAG1; PLS1; PON2; POU2AF1; PPARGC1A; PRKCZ; PROX1; PRR15L; PRRG2; PTPRCAP; PYROXD1; RAB30; RABGAP1L; RALGAPA1; RAPGEF6; RASGRP1; RASSF7; RGN; RHOH; RICTOR; RNF113A; RNF115; RNF128; RNGTT; RWDD2B; SCTR; SCX; SDHAF2; SEC22B; SEMA4F; SEMA4G; SEMA7A; SGPP2; SH3BP4; SHROOM3; SLC10A3; SLC25A13; SLC26A3; SLC2A2; SLC35G1; SLC3A1; SLC41A2; SLC44A4; SLC4A10; SLFN12L; SLFN13; SMU1; SNX7; SPIB; SPOCK2; STAM2; SULT1A2; SULT2A1; SUPT3H; TBC1D15; TBC1D31; TBC1D8B; TCP11L2; TCTA; TFCP2L1; THAP4; THNSL2; TJP3; TMEM62; TMIGD1; TMPRSS2; TMSB15B; TNFRSF13B; TOR3A; TP53INP1; TSPAN8; TTC33; TTC36; TYW5; UGT2A3; UGT2B7; UGT3A1; USP16; UTS2B; VCPKMT; VIL1; WDR47; YTHDC2; YY2; ZAP70; ZC2HC1A; ZC3H14; ZNF14; ZNF274; ZNF441; ZNF518A; ZNF709","TS_Small_Intestine_b cell; TS_Small_Intestine_cd4-positive, alpha-beta t cell; TS_Small_Intestine_cd8-positive, alpha-beta t cell; TS_Small_Intestine_enterocyte of epithelium of small intestine; TS_Small_Intestine_goblet cell; TS_Small_Intestine_immature enterocyte; TS_Small_Intestine_intestinal crypt stem cell; TS_Small_Intestine_intestinal crypt stem cell of small intestine; TS_Small_Intestine_mast cell; TS_Small_Intestine_paneth cell of epithelium of small intestine; TS_Small_Intestine_plasma cell; TS_Small_Intestine_transit amplifying cell of small intestine",5.76979313093862e-06,5.23883975767657,"JOB1565_YoungvOld_downregulated"
