"contrast","direction","Developmental_stage","primary_tissue","plotted_gene_n","human_symbol","primary_tissue_cell_type_name","primary_organ_system","primary_specific_cell_type","primary_general_cell_type","input_list_combined_p","input_list_combined_log10p","input_list_raw_p","input_list_permutated_p","input_list_rank_p","webcsea_job"
"old ID vs old CD","Downregulated","Adult","Small intestine",27,"SLC4A7","TS_Small_Intestine_immature enterocyte","Digestive system","immature enterocyte","Enterocyte",0.00438121660226531,2.35840527527578,5.05216904721864e-14,0.23063931606136,0.0022140221402214,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Small intestine",27,"SOCS6","TS_Small_Intestine_immature enterocyte","Digestive system","immature enterocyte","Enterocyte",0.00438121660226531,2.35840527527578,5.05216904721864e-14,0.23063931606136,0.0022140221402214,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Small intestine",27,"TMEM37","TS_Small_Intestine_immature enterocyte","Digestive system","immature enterocyte","Enterocyte",0.00438121660226531,2.35840527527578,5.05216904721864e-14,0.23063931606136,0.0022140221402214,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Small intestine",27,"ABCB7","TS_Small_Intestine_intestinal crypt stem cell of small intestine","Digestive system","intestinal crypt stem cell of small intestine","Intestinal crypt stem cell",0.00718719742181728,2.14344042554422,1.73147062672931e-12,0.242949411652639,0.003690036900369,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Small intestine",27,"ITGB6","TS_Small_Intestine_intestinal crypt stem cell of small intestine","Digestive system","intestinal crypt stem cell of small intestine","Intestinal crypt stem cell",0.00718719742181728,2.14344042554422,1.73147062672931e-12,0.242949411652639,0.003690036900369,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Small intestine",27,"GDPD1","TS_Small_Intestine_paneth cell of epithelium of small intestine","Digestive system","paneth cell of epithelium of small intestine","Paneth cell",0.00977743161004985,2.00977521311368,9.53816188965385e-12,0.246942987814359,0.00516605166051661,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Small intestine",27,"MT-ND2","TS_Small_Intestine_paneth cell of epithelium of small intestine","Digestive system","paneth cell of epithelium of small intestine","Paneth cell",0.00977743161004985,2.00977521311368,9.53816188965385e-12,0.246942987814359,0.00516605166051661,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Small intestine",27,"NR3C2","TS_Small_Intestine_paneth cell of epithelium of small intestine","Digestive system","paneth cell of epithelium of small intestine","Paneth cell",0.00977743161004985,2.00977521311368,9.53816188965385e-12,0.246942987814359,0.00516605166051661,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Small intestine",27,"TP53INP2","TS_Small_Intestine_paneth cell of epithelium of small intestine","Digestive system","paneth cell of epithelium of small intestine","Paneth cell",0.00977743161004985,2.00977521311368,9.53816188965385e-12,0.246942987814359,0.00516605166051661,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Small intestine",27,"TTC13","TS_Small_Intestine_paneth cell of epithelium of small intestine","Digestive system","paneth cell of epithelium of small intestine","Paneth cell",0.00977743161004985,2.00977521311368,9.53816188965385e-12,0.246942987814359,0.00516605166051661,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Small intestine",27,"BCL6","TS_Small_Intestine_duodenum glandular cell","Digestive system","duodenum glandular cell","Duodenum glandular cell",0.00986524399996991,2.0058921687463,2.55146273964012e-10,0.124747791443399,0.0103321033210332,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Small intestine",27,"KIF26B","TS_Small_Intestine_duodenum glandular cell","Digestive system","duodenum glandular cell","Duodenum glandular cell",0.00986524399996991,2.0058921687463,2.55146273964012e-10,0.124747791443399,0.0103321033210332,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Small intestine",27,"ARL2BP","TS_Small_Intestine_plasma cell","Digestive system","plasma cell","Plasma cell",0.0103275869782841,1.98600113873533,2.55146273964012e-10,0.131499817118883,0.0103321033210332,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Small intestine",27,"FAM169A","TS_Small_Intestine_plasma cell","Digestive system","plasma cell","Plasma cell",0.0103275869782841,1.98600113873533,2.55146273964012e-10,0.131499817118883,0.0103321033210332,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Small intestine",27,"RHOQ","TS_Small_Intestine_plasma cell","Digestive system","plasma cell","Plasma cell",0.0103275869782841,1.98600113873533,2.55146273964012e-10,0.131499817118883,0.0103321033210332,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Blood",9,"ATG7","TS_Blood_classical monocyte","Lymphatic system","classical monocyte","Monocyte",0.0133169679139369,1.87559464664807,9.64764780497045e-12,0.308658149323816,0.00590405904059041,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Blood",9,"CAB39","TS_Blood_classical monocyte","Lymphatic system","classical monocyte","Monocyte",0.0133169679139369,1.87559464664807,9.64764780497045e-12,0.308658149323816,0.00590405904059041,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Blood",9,"CSGALNACT2","TS_Blood_classical monocyte","Lymphatic system","classical monocyte","Monocyte",0.0133169679139369,1.87559464664807,9.64764780497045e-12,0.308658149323816,0.00590405904059041,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Blood",9,"MMGT1","TS_Blood_classical monocyte","Lymphatic system","classical monocyte","Monocyte",0.0133169679139369,1.87559464664807,9.64764780497045e-12,0.308658149323816,0.00590405904059041,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Blood",9,"MOB1B","TS_Blood_classical monocyte","Lymphatic system","classical monocyte","Monocyte",0.0133169679139369,1.87559464664807,9.64764780497045e-12,0.308658149323816,0.00590405904059041,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Blood",9,"OSTM1","TS_Blood_classical monocyte","Lymphatic system","classical monocyte","Monocyte",0.0133169679139369,1.87559464664807,9.64764780497045e-12,0.308658149323816,0.00590405904059041,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","Blood",9,"PDS5A","TS_Blood_classical monocyte","Lymphatic system","classical monocyte","Monocyte",0.0133169679139369,1.87559464664807,9.64764780497045e-12,0.308658149323816,0.00590405904059041,"JOB2770_IDvCD_downregulated"
