"contrast","direction","Developmental_stage","human_symbol","best_muscle_combined_p","best_muscle_combined_log10p","muscle_tissue_cell_type_hits","muscle_specific_cell_type_hits","muscle_general_cell_type_hits"
"old ID vs old CD","Upregulated","Adult","FBXL20",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","FNDC1",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","GALNT15",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","GPX8",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","IFI16",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","IKZF4",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","KCNA2",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","NUMBL",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","PKD1",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","PTPN13",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
"old ID vs old CD","Upregulated","Adult","RGS2",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell; AdultMuscle_Dendritic cell","mesenchymal stem cell; Dendritic cell","Mesenchymal stem cell; Dendritic cell"
"old ID vs old CD","Upregulated","Adult","RNF24",0.00745609324313457,2.12748866949452,"TS_Muscle_mesenchymal stem cell","mesenchymal stem cell","Mesenchymal stem cell"
