"Tissue_cell_type_name","Developmental_stage","Organ_system","Tissue","Specific_cell_type","General_cell_type","Cell_Ontology_ID","General_tissue_name","Uber_anatomy_ontology_ID","input_list_raw_p","input_list_permutated_p","input_list_rank_p","input_list_combined_p","input_list_combined_log10p","delabel","webcsea_job","contrast","direction"
"AdultRectum_Epithelial cell","Adult","Digestive system","AdultRectum","Epithelial cell","Epithelial cell","CL:0000066","Rectum","UBERON:0001052",0.682884659544261,0.727242570315577,0.856088560885609,0.91761208536804,0.0373408752134931,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"CordBlood_Erythroid cell","Neonatal","Reproductive system","CordBlood","Erythroid cell","Erythroid lineage cell","CL:0000764","Umbilical cord blood","UBERON:0012168",0.743800712150664,0.716002917819192,0.870848708487085,0.9180597350169,0.0371290598181477,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"AdultKidney_B cell (Plasmocyte)","Adult","Urinary system","AdultKidney","B cell (Plasmocyte)","B cell","CL:0000236","Kidney","UBERON:0002113",0.713089413972114,0.722260892835494,0.863837638376384,0.918241911666701,0.0370428884484899,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"TS_Salivary_Gland_b cell","Adult","Digestive system","TS_Salivary_Gland","b cell","B cell","CL:0000236","Saliva-secreting gland","UBERON:0001044",0.552466076556121,0.763020072217991,0.820664206642066,0.919307286434353,0.0365392976493193,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"Fetal_HCA_Adrenal_Adrenocortical cells","Fetal","Endocrine system","Fetal_HCA_Adrenal","Adrenocortical cells","Cortical cell of adrenal gland","CL:0002097","Adrenal gland","UBERON:0002369",0.620134366617241,0.751409881727219,0.840221402214022,0.921704947602251,0.0354080812628479,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"AdultArtery_Endothelial cell","Adult","Cardiovascular system","AdultArtery","Endothelial cell","Endothelial cell","CL:0000115","Artery","UBERON:0001637",0.639262671296184,0.748116210666008,0.844280442804428,0.921828703357894,0.0353497731958025,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"FetalSkin_Fetal skeletal muscle cell","Fetal","Integumentary system","FetalSkin","Fetal skeletal muscle cell","Cell of skeletal muscle","CL:0000188","Skin of body","UBERON:0002097",0.713159325830704,0.733047665560963,0.864944649446495,0.922938613898506,0.0348271836238304,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"Placenta_Erythroid cell","Adult","Reproductive system","Placenta","Erythroid cell","Erythroid lineage cell","CL:0000764","Placenta","UBERON:0001987",0.712648993558794,0.73630016573391,0.862730627306273,0.923476548028576,0.0345741291258562,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"AdultHeart_T cell","Adult","Cardiovascular system","AdultHeart","T cell","T cell","CL:0000084","Heart","UBERON:0000948",0.75901941883407,0.727119057650782,0.874538745387454,0.923777995517752,0.0344323869033215,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
"AdultAscendingColon_B cell","Adult","Digestive system","AdultAscendingColon","B cell","B cell","CL:0000236","Ascending colon","UBERON:0001156",0.751309880262035,0.727818962751289,0.87380073800738,0.923811926529366,0.0344164352563297,NA,"JOB3494_IDvCD_upregulated","old ID vs old CD","Upregulated"
