"Tissue_cell_type_name","Developmental_stage","Organ_system","Tissue","Specific_cell_type","General_cell_type","Cell_Ontology_ID","General_tissue_name","Uber_anatomy_ontology_ID","input_list_raw_p","input_list_permutated_p","input_list_rank_p","input_list_combined_p","input_list_combined_log10p","delabel","webcsea_job","contrast","direction"
"TS_Lung_club cell","Adult","Respiratory system","TS_Lung","club cell","Club cell","CL:0000158","Lung","UBERON:0002048",0.00151759051720305,0.39025884986534,0.140221402214022,0.213718062720589,0.670158771198711,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Blood_naive thymus-derived cd4-positive, alpha-beta t cell","Adult","Lymphatic system","TS_Blood","naive thymus-derived cd4-positive, alpha-beta t cell","T cell","CL:0000084","Blood","UBERON:0000178",0.00060144528903773,0.422125117382564,0.131365313653137,0.215834084544846,0.665879970399823,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"AdultCervix_Basal cell","Adult","Reproductive system","AdultCervix","Basal cell","Basal cell","CL:0000646","Uterine cervix","UBERON:0000002",0.064130794862273,0.188850864472235,0.297416974169742,0.217897017037918,0.661748715108675,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"AdultAdrenalGland_B cell (Plasmocyte)","Adult","Endocrine system","AdultAdrenalGland","B cell (Plasmocyte)","B cell","CL:0000236","Adrenal gland","UBERON:0002369",0.108015981301116,0.167936053233539,0.33690036900369,0.219076848461541,0.659403515258347,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Prostate_hillock cell of prostate epithelium","Adult","Reproductive system","TS_Prostate","hillock cell of prostate epithelium","Epithelial cell","CL:0000066","Prostate gland","UBERON:0002367",0.00163411164794538,0.393634862703082,0.143911439114391,0.219280270188671,0.659000442347359,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"Lake_2017_FrontalCortex_In3","Adult","Nervous system","Lake_2017_FrontalCortex","In3","Inhibitory neuron","CL:0008029","Frontal cortex","UBERON:0001870",0.0536864233535465,0.201902036052287,0.284870848708487,0.221763999810686,0.65410895391513,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"Fetal_HCA_Stomach_PDE1C_ACSM3 positive cells","Fetal","Digestive system","Fetal_HCA_Stomach","PDE1C_ACSM3 positive cells","Epithelial cell","CL:0000066","Stomach","UBERON:0000945",0.0712895017096002,0.190991750662022,0.301476014760148,0.221945094186633,0.653754450058399,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"AdultKidney_Intercalated cell","Adult","Urinary system","AdultKidney","Intercalated cell","Renal intercalated cell","CL:0005010","Kidney","UBERON:0002113",0.0641865609944562,0.193873712840583,0.298523985239852,0.222790779389889,0.65210278720996,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Blood_hematopoietic stem cell","Adult","Lymphatic system","TS_Blood","hematopoietic stem cell","Hematopoietic stem cell","CL:0000037","Blood","UBERON:0000178",0.00060144528903773,0.442010656414631,0.131365313653137,0.223328776234532,0.651055313853411,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Small_Intestine_fibroblast","Adult","Digestive system","TS_Small_Intestine","fibroblast","Fibroblast","CL:0000057","Small intestine","UBERON:0002108",0.00059982981917487,0.462266733441084,0.126568265682657,0.224589175963079,0.648611178318472,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"FetalStomach_Fetal neuron","Fetal","Digestive system","FetalStomach","Fetal neuron","Neuron","CL:0000540","Stomach","UBERON:0000945",0.0560868664978587,0.2042487766834,0.287084870848708,0.224953608810159,0.64790703528896,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Eye_retinal blood vessel endothelial cell","Adult","Sensory system","TS_Eye","retinal blood vessel endothelial cell","Endothelial cell","CL:0000115","Eye","UBERON:0000970",0.00020760705114713,0.528469521771442,0.111439114391144,0.225677586828634,0.646511570740546,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Trachea_connective tissue cell","Adult","Respiratory system","TS_Trachea","connective tissue cell","Connective tissue cell","CL:0002320","Trachea","UBERON:0003126",0.00163048347202816,0.415620117036671,0.14169741697417,0.225677931028929,0.64651090836119,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"VentoTormo_2018_decidua_decidual perivascular cell (dP1)","Maternal-Fetal","Reproductive system","VentoTormo_2018_decidua","decidual perivascular cell (dP1)","Pericyte cell","CL:0000669","Decidua","UBERON:0002450",0.00444833142885482,0.343365208131336,0.171955719557196,0.226106266016715,0.645687402012114,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"Fetal_HCA_Stomach_Neuroendocrine cells","Fetal","Digestive system","Fetal_HCA_Stomach","Neuroendocrine cells","Epithelial cell","CL:0000066","Stomach","UBERON:0000945",0.0712895017096002,0.196096940806901,0.301476014760148,0.226318182662883,0.645280552925803,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"Fetal_HCA_Intestine_Chromaffin cells","Fetal","Digestive system","Fetal_HCA_Intestine","Chromaffin cells","Neuron","CL:0000540","Intestine","UBERON:0000160",0.0587173084683408,0.204783998230847,0.28929889298893,0.226672311108814,0.644601527368323,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Fat_myofibroblast cell","Adult","Integumentary system","TS_Fat","myofibroblast cell","Myofibroblast cell","CL:0000186","Perirenal fat","UBERON:0005406",0.00151555750938233,0.434394042085578,0.139483394833948,0.230463782611997,0.637397314298633,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"van_Zyl_eye_2020_BeamCellb","Adult","Sensory system","van_Zyl_eye_2020","BeamCellb","Beam B cell",NA,"Eye","UBERON:0000970",0.0642390763783028,0.202354915823203,0.299630996309963,0.230578855200618,0.637180521372359,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"FetalPancreas_Fetal epithelial progenitor","Fetal","Digestive system","FetalPancreas","Fetal epithelial progenitor","Epithelial fate stem cell","CL:0000036","Pancreas","UBERON:0001264",0.0640242520752786,0.205648586884415,0.295940959409594,0.231217594548166,0.635979121270354,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Bone_Marrow_cd24 neutrophil","Adult","Lymphatic system","TS_Bone_Marrow","cd24 neutrophil","Neutrophil","CL:0000775","Bone marrow","UBERON:0002371",0.00059971611337892,0.489974741243528,0.125092250922509,0.232425878738583,0.633715518417436,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Lymph_Node_b cell","Adult","Lymphatic system","TS_Lymph_Node","b cell","B cell","CL:0000236","Lymph node","UBERON:0000029",0.00060135938042058,0.474659170808893,0.129889298892989,0.233433056440891,0.631837643520598,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"AdultKidney_Loop of Henle","Adult","Urinary system","AdultKidney","Loop of Henle","Kidney loop of Henle epithelial cell","CL:1000909","Kidney","UBERON:0002113",0.0641865609944562,0.206554346426248,0.298523985239852,0.23345612519305,0.63179472699064,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"FetalKidney_Proximal tubule progenitor","Fetal","Urinary system","FetalKidney","Proximal tubule progenitor","Epithelial cell of proximal tubule","CL:0002306","Kidney","UBERON:0002113",0.0560409120226338,0.215488429179786,0.286346863468635,0.23357593783655,0.631571898730249,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Spleen_neutrophil","Adult","Lymphatic system","TS_Spleen","neutrophil","Neutrophil","CL:0000775","Spleen","UBERON:0002106",0.00163721532519964,0.417102269014216,0.148339483394834,0.23404448930219,0.63070158010298,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"FetalSpinalCord_Macrophage","Fetal","Nervous system","FetalSpinalCord","Macrophage","Microglial cell","CL:0000129","Spinal cord","UBERON:0002240",0.0534935345128016,0.218329220470081,0.283394833948339,0.234046264848572,0.630698285400022,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"CordBlood_CB CD34+","Neonatal","Reproductive system","CordBlood","CB CD34+","Hematopoietic stem cell","CL:0000037","Umbilical cord blood","UBERON:0012168",0.0875205837311584,0.19737323834312,0.315129151291513,0.234948912200049,0.629026561394848,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"Madissoon_2020_oesophagus_Epi_upper","Adult","Digestive system","Madissoon_2020_oesophagus","Epi_upper","Basal cell","CL:0000646","Esophagus","UBERON:0001043",0.0757412844465686,0.203631213359423,0.308118081180812,0.236458563794217,0.626244952567469,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Trachea_serous cell of epithelium of trachea","Adult","Respiratory system","TS_Trachea","serous cell of epithelium of trachea","Serous cell of epithelium of trachea","CL:1000330","Trachea","UBERON:0003126",0.0223152196347376,0.285725964560128,0.220664206642066,0.237307905534769,0.624687793712968,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"VentoTormo_2018_decidua_decidual perivascular cell (dP2)","Maternal-Fetal","Reproductive system","VentoTormo_2018_decidua","decidual perivascular cell (dP2)","Pericyte cell","CL:0000669","Decidua","UBERON:0002450",0.010580139035558,0.314545586345732,0.201476014760148,0.238202275455338,0.623054094184152,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Muscle_slow muscle cell","Adult","Muscular system","TS_Muscle","slow muscle cell","Cell of skeletal muscle","CL:0000188","Muscle organ","UBERON:0001630",0.00418631830457283,0.387253375021984,0.166051660516605,0.240762937819172,0.618410365999885,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Tongue_pericyte cell","Adult","Digestive system","TS_Tongue","pericyte cell","Pericyte cell","CL:0000669","Tongue","UBERON:0001723",0.00419532531149882,0.380130811352113,0.169372693726937,0.240981632897622,0.618016057156203,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"Lake_2017_FrontalCortex_In1a","Adult","Nervous system","Lake_2017_FrontalCortex","In1a","Excitatory neuron","CL:0008030","Frontal cortex","UBERON:0001870",0.0536864233535465,0.22639871457005,0.284870848708487,0.241284941671679,0.617469781087325,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"VentoTormo_2018_decidua_innate lymphoid cell (ILC3)","Maternal-Fetal","Reproductive system","VentoTormo_2018_decidua","innate lymphoid cell (ILC3)","Innate lymphoid cell","CL:0001065","Decidua","UBERON:0002450",0.0484266543006389,0.232203809815436,0.277859778597786,0.241355399103646,0.617342981598991,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Eye_ocular surface cell","Adult","Sensory system","TS_Eye","ocular surface cell","Epithelial cell","CL:0000066","Eye","UBERON:0000970",0.00060189685329251,0.49030410834965,0.133210332103321,0.243525276127439,0.613455955545978,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Vasculature_plasma cell","Adult","Cardiovascular system","TS_Vasculature","plasma cell","Plasma cell","CL:0000786","Vasculature","UBERON:0002049",0.0423224311218122,0.25287159572454,0.260885608856089,0.245314608571351,0.610276588634152,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Large_Intestine_mast cell","Adult","Digestive system","TS_Large_Intestine","mast cell","Mast cell","CL:0000097","Large intestine","UBERON:0000059",0.001633633706934,0.461237461234455,0.143173431734317,0.245495059372892,0.609957243698573,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Muscle_endothelial cell of vascular tree","Adult","Muscular system","TS_Muscle","endothelial cell of vascular tree","Endothelial cell","CL:0000115","Muscle organ","UBERON:0001630",0.00060021116191117,0.519082559246988,0.128044280442804,0.246658416607363,0.607904060725782,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"Lake_2017_FrontalCortex_In1c","Adult","Nervous system","Lake_2017_FrontalCortex","In1c","Inhibitory neuron","CL:0008029","Frontal cortex","UBERON:0001870",0.0536864233535465,0.234509379558284,0.284870848708487,0.247577508407173,0.606288812068457,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"Madissoon_2020_spleen_Macrophage","Adult","Lymphatic system","Madissoon_2020_spleen","Macrophage","Macrophage","CL:0000235","Spleen","UBERON:0002106",0.053373292876718,0.240026278585814,0.281918819188192,0.24990732313481,0.602221017381195,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"Fetal_HCA_Kidney_Metanephric cells","Fetal","Urinary system","Fetal_HCA_Kidney","Metanephric cells","Epithelial cell","CL:0000066","Kidney","UBERON:0002113",0.0365288774610082,0.267569602835198,0.253136531365314,0.250078889788792,0.601922967346608,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Mammary_fibroblast of breast","Adult","Endocrine system","TS_Mammary","fibroblast of breast","Fibroblast","CL:0000057","Mammary gland","UBERON:0001911",0.00163317413000641,0.480176069836423,0.142435424354244,0.251859086011776,0.598842377013543,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"FetalBrain_Fetal neuron","Fetal","Nervous system","FetalBrain","Fetal neuron","Neuron","CL:0000540","Brain","UBERON:0000955",0.064043380292516,0.232492006033292,0.296678966789668,0.253416224965226,0.596165582872906,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Salivary_Gland_salivary gland cell","Adult","Digestive system","TS_Salivary_Gland","salivary gland cell","Salivary gland cell","CL:0009005","Saliva-secreting gland","UBERON:0001044",0.00151985094293639,0.498414773337884,0.140959409594096,0.256829175308369,0.590355642769373,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Eye_corneal keratocyte","Adult","Sensory system","TS_Eye","corneal keratocyte","Fibroblast","CL:0000057","Eye","UBERON:0000970",0.00060189685329251,0.530816262402555,0.133210332103321,0.258033246525526,0.588324333368749,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"Fetal_HCA_Kidney_Erythroblasts","Fetal","Urinary system","Fetal_HCA_Kidney","Erythroblasts","Erythroblast","CL:0000765","Kidney","UBERON:0002113",0.0730322249126024,0.231627417379724,0.306273062730627,0.258644900704599,0.587296079472896,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Lymph_Node_regulatory t cell","Adult","Lymphatic system","TS_Lymph_Node","regulatory t cell","T cell","CL:0000084","Lymph node","UBERON:0000029",0.00163990943649279,0.475359075909401,0.150553505535055,0.260297788060041,0.584529522391725,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"ChorionicVillus_Epithelial cell","Adult","Reproductive system","ChorionicVillus","Epithelial cell","Epithelial cell","CL:0000066","Chorionic villus","UBERON:0007106",0.0640023497019493,0.244184538300594,0.29520295202952,0.261659372943076,0.582263703712204,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"AdultTransverseColon_Enterocyte","Adult","Digestive system","AdultTransverseColon","Enterocyte","Enterocyte","CL:0000584","Transverse colon","UBERON:0001157",0.0585016646081112,0.250524855093427,0.288191881918819,0.261962334594114,0.581761147817128,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Bone_Marrow_macrophage","Adult","Lymphatic system","TS_Bone_Marrow","macrophage","Macrophage","CL:0000235","Bone marrow","UBERON:0002371",0.00163564984624839,0.503437621706232,0.144649446494465,0.263596430429092,0.579060475168485,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Lymph_Node_endothelial cell","Adult","Lymphatic system","TS_Lymph_Node","endothelial cell","Endothelial cell","CL:0000115","Lymph node","UBERON:0000029",0.00163990943649279,0.484293158662938,0.150553505535055,0.263832306804234,0.578672025288024,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"AdultBladder_Epithelial cell (intermediated)","Adult","Urinary system","AdultBladder","Epithelial cell (intermediated)","Epithelial cell","CL:0000066","Bladder organ","UBERON:0018707",0.0997534690122237,0.221211182648641,0.330627306273063,0.264424849012793,0.577697734957774,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Liver_plasma cell","Adult","Digestive system","TS_Liver","plasma cell","Plasma cell","CL:0000786","Liver","UBERON:0002107",0.0464505965894882,0.266828526846425,0.274169741697417,0.264471533955277,0.577621065827054,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Lymph_Node_mature nk t cell","Adult","Lymphatic system","TS_Lymph_Node","mature nk t cell","Natural killer cell","CL:0000623","Lymph node","UBERON:0000029",0.00419436776154874,0.437317175152404,0.168265682656827,0.265592610698634,0.575784012050444,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Blood_cd4-positive, alpha-beta memory t cell","Adult","Lymphatic system","TS_Blood","cd4-positive, alpha-beta memory t cell","T cell","CL:0000084","Blood","UBERON:0000178",0.00163986616369521,0.493844804740452,0.149077490774908,0.265685679471805,0.575631853545995,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"NeonatalAdrenalGland_Adrenal gland inflammatory cell","Neonatal","Endocrine system","NeonatalAdrenalGland","Adrenal gland inflammatory cell","Inflammatory cell","CL:0009002","Adrenal gland","UBERON:0002369",0.0963328383978529,0.223516752391489,0.329889298892989,0.265984666811473,0.575143398373077,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"Lake_2017_VisualCortex_In7","Adult","Nervous system","Lake_2017_VisualCortex","In7","Inhibitory neuron","CL:0008029","Visual cortex","UBERON:0000411",0.0615128393552755,0.253077450165866,0.292250922509225,0.266574431780073,0.57418150784538,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"Madissoon_2020_oesophagus_Glands_duct","Adult","Digestive system","Madissoon_2020_oesophagus","Glands_duct","Salivary gland cell","CL:0009005","Esophagus","UBERON:0001043",0.0757412844465686,0.240561500133261,0.308118081180812,0.266988926452997,0.573506750920403,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Uterus_pericyte cell","Adult","Reproductive system","TS_Uterus","pericyte cell","Pericyte cell","CL:0000669","Uterus","UBERON:0000995",0.00940802038467905,0.406068470959156,0.182656826568266,0.267118571107744,0.573295917110626,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"Lake_2017_VisualCortex_In4b","Adult","Nervous system","Lake_2017_VisualCortex","In4b","Inhibitory neuron","CL:0008029","Visual cortex","UBERON:0000411",0.0298822601906513,0.301617927430475,0.246125461254613,0.267286782561078,0.573022516749319,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"AdultTransverseColon_Epithelial cell","Adult","Digestive system","AdultTransverseColon","Epithelial cell","Epithelial cell","CL:0000066","Transverse colon","UBERON:0001157",0.0585016646081112,0.261146944265835,0.288191881918819,0.269944167304957,0.568726051910605,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Trachea_endothelial cell","Adult","Respiratory system","TS_Trachea","endothelial cell","Endothelial cell","CL:0000115","Trachea","UBERON:0003126",0.00417359986288,0.472929993501757,0.159409594095941,0.270278139226091,0.568189079707927,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"FetalKidney_Intermediated cell","Fetal","Urinary system","FetalKidney","Intermediated cell","Kidney cell","CL:1000497","Kidney","UBERON:0002113",0.108124043867015,0.225287100586891,0.338007380073801,0.27223673190851,0.565053277409968,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Bladder_nk cell","Adult","Urinary system","TS_Bladder","nk cell","Natural killer cell","CL:0000623","Bladder organ","UBERON:0018707",0.00163574861629216,0.520729394777594,0.146494464944649,0.27258494487131,0.564498134340931,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Uterus_macrophage","Adult","Reproductive system","TS_Uterus","macrophage","Macrophage","CL:0000235","Uterus","UBERON:0000995",0.00389979072418713,0.48495189287518,0.157564575645756,0.272912329190802,0.563976844034825,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"FetalSkin_Epithelial cell","Fetal","Integumentary system","FetalSkin","Epithelial cell","Epithelial cell","CL:0000066","Skin of body","UBERON:0002097",0.100097642020044,0.231339221161868,0.331365313653137,0.273545977346092,0.562969667394427,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Bladder_capillary endothelial cell","Adult","Urinary system","TS_Bladder","capillary endothelial cell","Capillary endothelial cell","CL:0002144","Bladder organ","UBERON:0018707",0.00163574861629216,0.527193224235222,0.146494464944649,0.275015781781515,0.560642383464406,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"AdultEsophagus_Smooth muscle cell","Adult","Digestive system","AdultEsophagus","Smooth muscle cell","Smooth muscle cell","CL:0000192","Esophagus","UBERON:0001043",0.0925136989399791,0.241220234345503,0.327675276752768,0.279632648551434,0.553412123849257,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"FetalFemaleGonad_Erythroid progenitor cell (RP high)","Fetal","Reproductive system","FetalFemaleGonad","Erythroid progenitor cell (RP high)","Erythroid progenitor cell","CL:0000038","Immature gonad","UBERON:2005272",0.116492773124745,0.234344696005223,0.340959409594096,0.281810783853447,0.550042392069682,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Spleen_erythrocyte","Adult","Lymphatic system","TS_Spleen","erythrocyte","Erythrocyte","CL:0000232","Spleen","UBERON:0002106",0.010020053073363,0.418749104544822,0.191143911439114,0.282162698917473,0.549500399245869,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"Lake_2017_VisualCortex_Ex3c","Adult","Nervous system","Lake_2017_VisualCortex","Ex3c","Excitatory neuron","CL:0008030","Visual cortex","UBERON:0000411",0.0615128393552755,0.275556755158637,0.292250922509225,0.283399498511387,0.547600922592193,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Lung_bronchial smooth muscle cell","Adult","Respiratory system","TS_Lung","bronchial smooth muscle cell","Smooth muscle cell","CL:0000192","Lung","UBERON:0002048",0.0212085925548371,0.372390684358265,0.216605166051661,0.283726953018117,0.547099405864249,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Prostate_macrophage","Adult","Reproductive system","TS_Prostate","macrophage","Macrophage","CL:0000235","Prostate gland","UBERON:0002367",0.00418195417898979,0.494668222505755,0.163468634686347,0.284232700680199,0.546325958400151,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"AdultLiver_Neutrophil","Adult","Digestive system","AdultLiver","Neutrophil","Neutrophil","CL:0000775","Liver","UBERON:0002107",0.0924084399168289,0.247601722026601,0.326937269372694,0.284452695770489,0.545989946049136,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Thymus_capillary endothelial cell","Adult","Lymphatic system","TS_Thymus","capillary endothelial cell","Capillary endothelial cell","CL:0002144","Thymus","UBERON:0002370",0.00418362064655547,0.492197969209846,0.164944649446494,0.285043604967029,0.545088698068675,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"FetalEyes_Fetal mesenchymal progenitor","Fetal","Sensory system","FetalEyes","Fetal mesenchymal progenitor","Mesenchymal stem cell","CL:0000134","Eye","UBERON:0000970",0.0925191660369098,0.249948462657715,0.328413284132841,0.287300987325451,0.541662881528907,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Eye_fibroblast","Adult","Sensory system","TS_Eye","fibroblast","Fibroblast","CL:0000057","Eye","UBERON:0000970",0.00419559635089881,0.482893348461923,0.170479704797048,0.28789344116182,0.540768229181231,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Heart_smooth muscle cell","Adult","Cardiovascular system","TS_Heart","smooth muscle cell","Smooth muscle cell","CL:0000192","Heart","UBERON:0000948",0.085844282042427,0.271192641002531,0.309963099630996,0.29221071307897,0.534303865931523,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Tongue_endothelial cell of lymphatic vessel","Adult","Digestive system","TS_Tongue","endothelial cell of lymphatic vessel","Endothelial cell","CL:0000115","Tongue","UBERON:0001723",0.00419532531149882,0.497714868237376,0.169372693726937,0.292803667075635,0.533423488471774,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"Fetal_HCA_Adrenal_Erythroblasts","Fetal","Endocrine system","Fetal_HCA_Adrenal","Erythroblasts","Erythroblast","CL:0000765","Adrenal gland","UBERON:0002369",0.0757339914568157,0.275556755158637,0.307011070110701,0.293544324289262,0.532326312335148,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Prostate_myeloid cell","Adult","Reproductive system","TS_Prostate","myeloid cell","Myeloid cell","CL:0000763","Prostate gland","UBERON:0002367",0.00418195417898979,0.51813562881689,0.163468634686347,0.293791123974333,0.531961329264614,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Thymus_innate lymphoid cell","Adult","Lymphatic system","TS_Thymus","innate lymphoid cell","Innate lymphoid cell","CL:0001065","Thymus","UBERON:0002370",0.0100125777342918,0.453167967134486,0.187453874538745,0.294405865605345,0.53105354156736,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Spleen_type i nk t cell","Adult","Lymphatic system","TS_Spleen","type i nk t cell","Natural killer cell","CL:0000623","Spleen","UBERON:0002106",0.00418777234787804,0.510889552482224,0.167158671586716,0.295518006204775,0.529416051983643,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Skin_melanocyte","Adult","Integumentary system","TS_Skin","melanocyte","Melanocyte","CL:0000148","Skin of body","UBERON:0002097",0.089330413766649,0.264646469768372,0.322878228782288,0.295638465073998,0.529239061202131,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"VentoTormo_2018_decidua_proliferating decidual natural killer cell (dNK p)","Maternal-Fetal","Reproductive system","VentoTormo_2018_decidua","proliferating decidual natural killer cell (dNK p)","Natural killer cell","CL:0000623","Decidua","UBERON:0002450",0.0234717432395333,0.36666793088941,0.233579335793358,0.29612397769246,0.52852642557957,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"TS_Mammary_vein endothelial cell","Adult","Endocrine system","TS_Mammary","vein endothelial cell","Endothelial cell","CL:0000115","Mammary gland","UBERON:0001911",0.004179712211193,0.538556389396403,0.160516605166052,0.298089195902817,0.525653764473307,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"AdultHeart_Smooth muscle cell","Adult","Cardiovascular system","AdultHeart","Smooth muscle cell","Smooth muscle cell","CL:0000192","Heart","UBERON:0000948",0.117659082219824,0.250977734864343,0.345756457564576,0.298896306733364,0.524479451221107,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
"Fetal_HCA_Eye_Amacrine cells","Fetal","Sensory system","Fetal_HCA_Eye","Amacrine cells","Neuron","CL:0000540","Eye","UBERON:0000970",0.103888670880122,0.260611722718388,0.334317343173432,0.299750770618118,0.523239691716133,NA,"JOB2770_IDvCD_downregulated","old ID vs old CD","Downregulated"
