"direction","human_symbol","best_muscle_combined_p","best_muscle_combined_log10p","muscle_tissue_cell_type_hits","muscle_specific_cell_type_hits","muscle_general_cell_type_hits"
"Upregulated","SLC7A2",0.112093194995404,0.950420751951429,"TS_Muscle_pericyte cell; TS_Muscle_smooth muscle cell; TS_Muscle_fast muscle cell; TS_Muscle_slow muscle cell","pericyte cell; smooth muscle cell; fast muscle cell; slow muscle cell","Pericyte cell; Smooth muscle cell; Cell of skeletal muscle"
"Upregulated","TPPP",0.112093194995404,0.950420751951429,"TS_Muscle_pericyte cell; TS_Muscle_t cell; TS_Muscle_cd4-positive, alpha-beta t cell; TS_Muscle_mast cell; FetalMuscle_Fetal epithelial progenitor","pericyte cell; t cell; cd4-positive, alpha-beta t cell; mast cell; Fetal epithelial progenitor","Pericyte cell; T cell; Mast cell; Epithelial fate stem cell"
"Upregulated","ZCCHC14",0.112093194995404,0.950420751951429,"TS_Muscle_pericyte cell","pericyte cell","Pericyte cell"
"Upregulated","CNTLN",0.118984759286547,0.924508663663307,"TS_Muscle_tendon cell","tendon cell","Cell of skeletal muscle"
"Upregulated","COMP",0.118984759286547,0.924508663663307,"TS_Muscle_tendon cell; FetalMuscle_Fetal mesenchymal progenitor","tendon cell; Fetal mesenchymal progenitor","Cell of skeletal muscle; Mesenchymal stem cell"
"Upregulated","FREM2",0.118984759286547,0.924508663663307,"TS_Muscle_tendon cell","tendon cell","Cell of skeletal muscle"
"Upregulated","KCNA1",0.118984759286547,0.924508663663307,"TS_Muscle_tendon cell","tendon cell","Cell of skeletal muscle"
"Upregulated","CCL15",0.122310783194721,0.912535252894025,"TS_Muscle_endothelial cell of vascular tree","endothelial cell of vascular tree","Endothelial cell"
"Upregulated","FCN2",0.122310783194721,0.912535252894025,"TS_Muscle_endothelial cell of vascular tree","endothelial cell of vascular tree","Endothelial cell"
"Upregulated","CLCA1",0.135347984381343,0.868548207411601,"TS_Muscle_t cell","t cell","T cell"
"Upregulated","RBM33",0.135347984381343,0.868548207411601,"TS_Muscle_t cell; Fetal_HCA_Muscle_Erythroblasts","t cell; Erythroblasts","T cell; Erythroblast"
"Upregulated","RBM5",0.135347984381343,0.868548207411601,"TS_Muscle_t cell","t cell","T cell"
"Upregulated","RNF169",0.135347984381343,0.868548207411601,"TS_Muscle_t cell; TS_Muscle_skeletal muscle satellite stem cell","t cell; skeletal muscle satellite stem cell","T cell; Skeletal muscle satellite cell"
"Upregulated","UHRF2",0.135347984381343,0.868548207411601,"TS_Muscle_t cell","t cell","T cell"
"Upregulated","ZNF790",0.135347984381343,0.868548207411601,"TS_Muscle_t cell","t cell","T cell"
"Upregulated","GALR2",0.262313076855174,0.581180058382272,"TS_Muscle_mature nk t cell","mature nk t cell","Natural killer cell"
"Upregulated","ACTC1",0.389176681454817,0.409853189521079,"TS_Muscle_smooth muscle cell; TS_Muscle_skeletal muscle satellite stem cell; FetalMuscle_Fetal skeletal muscle cell; Fetal_HCA_Muscle_Skeletal muscle cells; TS_Muscle_fast muscle cell; TS_Muscle_slow muscle cell","smooth muscle cell; skeletal muscle satellite stem cell; Fetal skeletal muscle cell; Skeletal muscle cells; fast muscle cell; slow muscle cell","Smooth muscle cell; Skeletal muscle satellite cell; Cell of skeletal muscle"
"Upregulated","KIF1A",0.411551469008548,0.385575843784353,"Fetal_HCA_Muscle_Erythroblasts; FetalMuscle_Erythroid cell; FetalMuscle_Primordial germ cell","Erythroblasts; Erythroid cell; Primordial germ cell","Erythroblast; Erythroid lineage cell; Primordial germ cell"
"Upregulated","VWA5A",0.515853848213681,0.287473325320555,"FetalMuscle_Fetal mesenchymal progenitor; TS_Muscle_mast cell; Fetal_HCA_Muscle_Skeletal muscle cells","Fetal mesenchymal progenitor; mast cell; Skeletal muscle cells","Mesenchymal stem cell; Mast cell; Cell of skeletal muscle"
"Upregulated","APOL2",0.704154550060419,0.1523320100738,"TS_Muscle_skeletal muscle satellite stem cell","skeletal muscle satellite stem cell","Skeletal muscle satellite cell"
"Upregulated","CEP95",0.704154550060419,0.1523320100738,"TS_Muscle_skeletal muscle satellite stem cell","skeletal muscle satellite stem cell","Skeletal muscle satellite cell"
"Upregulated","CISH",0.704154550060419,0.1523320100738,"TS_Muscle_skeletal muscle satellite stem cell","skeletal muscle satellite stem cell","Skeletal muscle satellite cell"
"Upregulated","SIM1",0.704154550060419,0.1523320100738,"TS_Muscle_skeletal muscle satellite stem cell; TS_Muscle_fast muscle cell; TS_Muscle_slow muscle cell","skeletal muscle satellite stem cell; fast muscle cell; slow muscle cell","Skeletal muscle satellite cell; Cell of skeletal muscle"
"Upregulated","TMEM67",0.704154550060419,0.1523320100738,"TS_Muscle_skeletal muscle satellite stem cell","skeletal muscle satellite stem cell","Skeletal muscle satellite cell"
"Upregulated","CHIA",0.805563688316658,0.0939001183222674,"TS_Muscle_mast cell","mast cell","Mast cell"
"Upregulated","CR1L",0.805563688316658,0.0939001183222674,"TS_Muscle_mast cell; FetalMuscle_Erythroid cell","mast cell; Erythroid cell","Mast cell; Erythroid lineage cell"
"Upregulated","RAB44",0.805563688316658,0.0939001183222674,"TS_Muscle_mast cell","mast cell","Mast cell"
"Upregulated","ZNF445",0.805563688316658,0.0939001183222674,"TS_Muscle_mast cell","mast cell","Mast cell"
"Upregulated","ATP13A5",0.848179857816837,0.0715120451784405,"FetalMuscle_Fetal epithelial progenitor; TS_Muscle_fast muscle cell","Fetal epithelial progenitor; fast muscle cell","Epithelial fate stem cell; Cell of skeletal muscle"
"Upregulated","PC",0.848179857816837,0.0715120451784405,"FetalMuscle_Fetal epithelial progenitor","Fetal epithelial progenitor","Epithelial fate stem cell"
"Upregulated","RBM12B",0.848179857816837,0.0715120451784405,"FetalMuscle_Fetal epithelial progenitor","Fetal epithelial progenitor","Epithelial fate stem cell"
"Upregulated","C2orf68",0.86641920202189,0.0622719312214511,"AdultMuscle_T cell; TS_Muscle_fast muscle cell; TS_Muscle_slow muscle cell","T cell; fast muscle cell; slow muscle cell","T cell; Cell of skeletal muscle"
"Upregulated","MCM9",0.86641920202189,0.0622719312214511,"AdultMuscle_T cell","T cell","T cell"
"Upregulated","KRBA1",0.952946801544021,0.020931343265926,"TS_Muscle_fast muscle cell","fast muscle cell","Cell of skeletal muscle"
