"contrast","direction","Tissue_cell_type_name","Developmental_stage","Organ_system","General_tissue_name","Specific_cell_type","General_cell_type","input_list_combined_p","input_list_combined_log10p","input_list_raw_p","input_list_permutated_p","input_list_rank_p","webcsea_job"
"old ID vs old CD","Downregulated","MacParland_2018_liver_Hepatocyte","Adult","Digestive system","Liver","Hepatocyte","Hepatocyte",0.00700323976730266,2.1547010046196,0.00025978094638196,0.00765778521731756,0.113653136531365,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","TS_Small_Intestine_intestinal crypt stem cell of small intestine","Adult","Digestive system","Small intestine","intestinal crypt stem cell of small intestine","Intestinal crypt stem cell",0.00718719742181728,2.14344042554422,1.73147062672931e-12,0.242949411652639,0.003690036900369,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","AdultJeJunum_Enterocyte","Adult","Digestive system","Jejunum","Enterocyte","Enterocyte",0.00743828742170971,2.12852704414715,0.00017847000511702,0.00942813341271893,0.0988929889298893,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","TS_Large_Intestine_immature enterocyte","Adult","Digestive system","Large intestine","immature enterocyte","Enterocyte",0.00898738283654676,2.04636675822496,9.50276046720204e-12,0.261517482260221,0.0044280442804428,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","TS_Small_Intestine_paneth cell of epithelium of small intestine","Adult","Digestive system","Small intestine","paneth cell of epithelium of small intestine","Paneth cell",0.00977743161004985,2.00977521311368,9.53816188965385e-12,0.246942987814359,0.00516605166051661,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","TS_Small_Intestine_duodenum glandular cell","Adult","Digestive system","Small intestine","duodenum glandular cell","Duodenum glandular cell",0.00986524399996991,2.0058921687463,2.55146273964012e-10,0.124747791443399,0.0103321033210332,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Lake_2017_VisualCortex_In2","Adult","Nervous system","Visual cortex","In2","Inhibitory neuron",0.00988343700689387,2.00509200140868,8.54303798678548e-05,0.0134628804627035,0.0959409594095941,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","TS_Small_Intestine_plasma cell","Adult","Digestive system","Small intestine","plasma cell","Plasma cell",0.0103275869782841,1.98600113873533,2.55146273964012e-10,0.131499817118883,0.0103321033210332,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","TS_Thymus_fast muscle cell","Adult","Lymphatic system","Thymus","fast muscle cell","Cell of skeletal muscle",0.0106853427211653,1.97121154373633,1.6446356866455e-06,0.0269669318136721,0.0523985239852399,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","TS_Heart_cardiac muscle cell","Adult","Cardiovascular system","Heart","cardiac muscle cell","Muscle cell",0.0106957097640864,1.97079039048484,4.10738099844094e-11,0.212977004995611,0.00664206642066421,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","TS_Blood_classical monocyte","Adult","Lymphatic system","Blood","classical monocyte","Monocyte",0.0133169679139369,1.87559464664807,9.64764780497045e-12,0.308658149323816,0.00590405904059041,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Upregulated","TS_Heart_fibroblast of cardiac tissue","Adult","Cardiovascular system","Heart","fibroblast of cardiac tissue","Fibroblast",3.10947457340394e-05,4.50731299012092,3.73873111413008e-16,8.23417765302964e-05,0.0269372693726937,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","AdultTransverseColon_Stromal cell","Adult","Digestive system","Transverse colon","Stromal cell","Stromal cell",3.69843989266316e-05,4.43198143509289,9.21136243681922e-16,8.23417765302964e-05,0.0324723247232472,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","AdultTrachea_Fibroblast","Adult","Respiratory system","Trachea","Fibroblast","Fibroblast",3.7374119779221e-05,4.42742902688233,2.28703674642206e-12,4.11708882651482e-05,0.0656826568265683,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","van_Zyl_eye_2020_BeamCella","Adult","Sensory system","Eye","BeamCella","Beam A cell",4.04799044999571e-05,4.39276052075301,8.59459596734434e-12,4.11708882651482e-05,0.0715867158671587,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","Madissoon_2020_oesophagus_Fibroblast","Adult","Digestive system","Esophagus","Fibroblast","Fibroblast",4.85409588022456e-05,4.31389164954483,2.23885051597665e-14,8.23417765302964e-05,0.0435424354243542,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","TS_Tongue_fibroblast","Adult","Digestive system","Tongue","fibroblast","Fibroblast",4.93024059736724e-05,4.30713188649167,5.00920680570305e-31,0.00098810131836355,0.003690036900369,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","AdultMuscle_Smooth muscle cell","Adult","Muscular system","Muscle organ","Smooth muscle cell","Smooth muscle cell",5.68637445893527e-05,4.2451645445586,4.24518964458193e-10,4.11708882651482e-05,0.103321033210332,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","AdultLung_Stromal cell","Adult","Respiratory system","Lung","Stromal cell","Stromal cell",5.83651653797146e-05,4.2338462795504,8.92052450459445e-10,4.11708882651482e-05,0.106273062730627,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","FetalHeart_Fetal mesenchymal progenitor","Fetal","Cardiovascular system","Heart","Fetal mesenchymal progenitor","Mesenchymal stem cell",8.12534279136523e-05,4.09015830797887,2.86282406210885e-08,4.11708882651482e-05,0.152029520295203,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","AdultSigmoidColon_Stromal cell","Adult","Digestive system","Sigmoid colon","Stromal cell","Stromal cell",8.45239866908987e-05,4.07302002703589,7.88030888152393e-08,4.11708882651482e-05,0.158671586715867,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","Fetal_HCA_Adrenal_Stromal cells","Fetal","Endocrine system","Adrenal gland","Stromal cells","Stromal cell",8.77830949692626e-05,4.05658911129718,4.49502315714071e-17,0.00028819621785603,0.0236162361623616,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","AdultThyroid_Stromal cell","Adult","Endocrine system","Thyroid gland","Stromal cell","Stromal cell",0.00011137232505897,3.9532227137167,9.03865927291714e-10,8.23417765302964e-05,0.107011070110701,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","Fetal_HCA_Kidney_Stromal cells","Fetal","Urinary system","Kidney","Stromal cells","Stromal cell",0.00011349240048785,3.94503321808923,2.47775690190223e-13,0.00016468355306059,0.0546125461254613,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","AdultThyroid_Fibroblast","Adult","Endocrine system","Thyroid gland","Fibroblast","Fibroblast",0.00011384538507308,3.94368456959794,1.08327124551401e-11,0.00012351266479544,0.0730627306273063,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","AdultIleum_Macrophage","Adult","Digestive system","Ileum","Macrophage","Macrophage",0.0001141982673537,3.94234048527085,1.18327162660688e-09,8.23417765302964e-05,0.109963099630996,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","AdultTrachea_Stromal cell","Adult","Respiratory system","Trachea","Stromal cell","Stromal cell",0.00012613771767,3.89915503137576,3.64045717450191e-09,8.23417765302964e-05,0.122509225092251,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","Lake_2017_VisualCortex_Mic","Adult","Nervous system","Visual cortex","Mic","Microglial cell",0.00013171896241448,3.88035169900051,2.21282222864375e-14,0.00024702532959088,0.0428044280442804,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","van_Zyl_eye_2020_Fibroblast","Adult","Sensory system","Eye","Fibroblast","Fibroblast",0.0001331107399678,3.87578690229709,1.86530052523048e-12,0.00016468355306059,0.0649446494464945,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","TS_Heart_macrophage","Adult","Cardiovascular system","Heart","macrophage","Macrophage",0.00014488659752864,3.8389717862925,2.46351169318105e-05,4.11708882651482e-05,0.284870848708487,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","Fetal_HCA_Muscle_Stromal cells","Fetal","Muscular system","Muscle organ","Stromal cells","Stromal cell",0.00015657134123014,3.80528772813135,4.05485361402082e-14,0.00028819621785603,0.044280442804428,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","Fetal_HCA_Heart_Stromal cells","Fetal","Cardiovascular system","Heart","Stromal cells","Stromal cell",0.00015896640998935,3.79869463352481,4.47252096030424e-14,0.00028819621785603,0.0450184501845018,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","AdultArtery_Fibroblast","Adult","Cardiovascular system","Artery","Fibroblast","Fibroblast",0.00017360452485137,3.76043895950299,7.35368185032146e-12,0.00020585444132574,0.0693726937269373,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","AdultStomach_Fibroblast","Adult","Digestive system","Stomach","Fibroblast","Fibroblast",0.00017462119528399,3.75790304335545,2.18318823690641e-07,8.23417765302964e-05,0.174538745387454,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","AdultStomach_Endothelial cell (APC)","Adult","Digestive system","Stomach","Endothelial cell (APC)","Endothelial cell",0.00017462119528399,3.75790304335545,2.18318823690641e-07,8.23417765302964e-05,0.174538745387454,"JOB3494_IDvCD_upregulated"
"old ID vs old CD","Upregulated","Lake_2017_CerebellarHemisphere_Mic","Adult","Nervous system","Cerebellar hemisphere","Mic","Microglial cell",0.00018104683067465,3.74220907334658,1.06798646625679e-12,0.00024702532959088,0.0605166051660517,"JOB3494_IDvCD_upregulated"
"young CD vs old CD","Downregulated","TS_Blood_monocyte","Adult","Lymphatic system","Blood","monocyte","Monocyte",5.5631854001259e-07,6.25467646641008,0,4.11708882651482e-05,0.0007380073800738,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","TS_Blood_classical monocyte","Adult","Lymphatic system","Blood","classical monocyte","Monocyte",1.07051533082547e-06,5.97040710880371,1.07621877611341e-293,4.11708882651482e-05,0.0014760147601476,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","TS_Tongue_epithelial cell","Adult","Digestive system","Tongue","epithelial cell","Epithelial cell",1.56881353052807e-06,5.80442867366948,8.50284556931066e-293,4.11708882651482e-05,0.0022140221402214,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","TS_Liver_macrophage","Adult","Digestive system","Liver","macrophage","Macrophage",2.05678716302948e-06,5.68681064690723,4.26896331288875e-239,4.11708882651482e-05,0.0029520295202952,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","TS_Pancreas_myeloid cell","Adult","Digestive system","Pancreas","myeloid cell","Myeloid cell",2.5370835176064e-06,5.59566523611347,1.82608252926311e-231,4.11708882651482e-05,0.003690036900369,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","TS_Liver_monocyte","Adult","Digestive system","Liver","monocyte","Monocyte",3.01126181323497e-06,5.52125148324509,8.10940402263875e-227,4.11708882651482e-05,0.0044280442804428,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","TS_Bone_Marrow_granulocyte","Adult","Lymphatic system","Bone marrow","granulocyte","Granulocyte",3.48035232977661e-06,5.45837678848664,6.13268186356858e-222,4.11708882651482e-05,0.00516605166051661,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","TS_Spleen_classical monocyte","Adult","Lymphatic system","Spleen","classical monocyte","Monocyte",3.94508732914911e-06,5.40394337872889,4.01201124144712e-217,4.11708882651482e-05,0.00590405904059041,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","TS_Lung_macrophage","Adult","Respiratory system","Lung","macrophage","Macrophage",4.40601432283305e-06,5.35595409540194,1.07702600841947e-211,4.11708882651482e-05,0.00664206642066421,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","TS_Eye_corneal epithelial cell","Adult","Sensory system","Eye","corneal epithelial cell","Epithelial cell",4.86355828888119e-06,5.31304587481517,2.48120233887656e-204,4.11708882651482e-05,0.00738007380073801,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","TS_Bone_Marrow_macrophage","Adult","Lymphatic system","Bone marrow","macrophage","Macrophage",5.31805872860946e-06,5.27424687095891,5.44291690820957e-203,4.11708882651482e-05,0.00811808118081181,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","TS_Small_Intestine_immature enterocyte","Adult","Digestive system","Small intestine","immature enterocyte","Enterocyte",5.76979313093862e-06,5.23883975767657,1.21928257303058e-201,4.11708882651482e-05,0.00885608856088561,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","TS_Prostate_epithelial cell","Adult","Reproductive system","Prostate gland","epithelial cell","Epithelial cell",6.21899255959235e-06,5.20627996277643,9.32382798277227e-182,4.11708882651482e-05,0.00959409594095941,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","TS_Eye_conjunctival epithelial cell","Adult","Sensory system","Eye","conjunctival epithelial cell","Epithelial cell",6.6658524148222e-06,5.17614430605771,2.15463437337023e-178,4.11708882651482e-05,0.0103321033210332,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","TS_Kidney_kidney epithelial cell","Adult","Urinary system","Kidney","kidney epithelial cell","Epithelial cell",7.11054010504863e-06,5.1480974097156,4.43712040902305e-178,4.11708882651482e-05,0.011070110701107,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","TS_Blood_macrophage","Adult","Lymphatic system","Blood","macrophage","Macrophage",7.55320066414544e-06,5.12186897734792,1.34614638023283e-177,4.11708882651482e-05,0.0118081180811808,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","TS_Mammary_luminal epithelial cell of mammary gland","Adult","Endocrine system","Mammary gland","luminal epithelial cell of mammary gland","Epithelial cell",7.99396095874094e-06,5.09723797709728,3.6947385620457e-176,4.11708882651482e-05,0.0125461254612546,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","TS_Large_Intestine_immature enterocyte","Adult","Digestive system","Large intestine","immature enterocyte","Enterocyte",8.43293290242464e-06,5.07402135517185,2.34911689259899e-174,4.11708882651482e-05,0.0132841328413284,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","TS_Small_Intestine_b cell","Adult","Digestive system","Small intestine","b cell","B cell",8.87021595341597e-06,5.05206580674829,3.40598415122905e-170,4.11708882651482e-05,0.0140221402214022,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","TS_Lymph_Node_intermediate monocyte","Adult","Lymphatic system","Lymph node","intermediate monocyte","Monocyte",9.30589908521018e-06,5.03124166134219,5.59825607592881e-168,4.11708882651482e-05,0.014760147601476,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","TS_Small_Intestine_cd4-positive, alpha-beta t cell","Adult","Digestive system","Small intestine","cd4-positive, alpha-beta t cell","T cell",9.74006236253988e-06,5.01143826246222,3.64762147745561e-167,4.11708882651482e-05,0.0154981549815498,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","TS_Large_Intestine_cd8-positive, alpha-beta t cell","Adult","Digestive system","Large intestine","cd8-positive, alpha-beta t cell","T cell",1.0172778215356e-05,4.99256042379057,9.58092757140003e-167,4.11708882651482e-05,0.0162361623616236,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","TS_Bone_Marrow_monocyte","Adult","Lymphatic system","Bone marrow","monocyte","Monocyte",1.06041124822154e-05,4.97452567417297,7.67877831253699e-165,4.11708882651482e-05,0.0169741697416974,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","TS_Muscle_mesenchymal stem cell","Adult","Muscular system","Muscle organ","mesenchymal stem cell","Mesenchymal stem cell",1.10341252708146e-05,4.95726208978967,8.68677773279844e-165,4.11708882651482e-05,0.0177121771217712,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Downregulated","TS_Liver_endothelial cell","Adult","Digestive system","Liver","endothelial cell","Endothelial cell",1.14628716754162e-05,4.94070656940564,6.48255337375961e-161,4.11708882651482e-05,0.018450184501845,"JOB1565_YoungvOld_downregulated"
"young CD vs old CD","Upregulated","TS_Eye_radial glial cell","Adult","Sensory system","Eye","radial glial cell","Glial cell",5.5631854001259e-07,6.25467646641008,4.13895522544124e-126,4.11708882651482e-05,0.0007380073800738,"JOB8022_YoungvOld_upregulated"
"young CD vs old CD","Upregulated","TS_Eye_limbal stem cell","Adult","Sensory system","Eye","limbal stem cell","Stem cell",1.07051533082547e-06,5.97040710880371,5.73721133456976e-118,4.11708882651482e-05,0.0014760147601476,"JOB8022_YoungvOld_upregulated"
"young CD vs old CD","Upregulated","TS_Eye_retinal blood vessel endothelial cell","Adult","Sensory system","Eye","retinal blood vessel endothelial cell","Endothelial cell",1.81388922615433e-06,5.74138923874167,5.62473856028794e-114,4.11708882651482e-05,0.0025830258302583,"JOB8022_YoungvOld_upregulated"
"young CD vs old CD","Upregulated","TS_Muscle_pericyte cell","Adult","Muscular system","Muscle organ","pericyte cell","Pericyte cell",2.5370835176064e-06,5.59566523611347,6.29762987863288e-111,4.11708882651482e-05,0.003690036900369,"JOB8022_YoungvOld_upregulated"
"young CD vs old CD","Upregulated","TS_Tongue_basal cell","Adult","Digestive system","Tongue","basal cell","Basal cell",3.01126181323497e-06,5.52125148324509,3.2642471925036e-110,4.11708882651482e-05,0.0044280442804428,"JOB8022_YoungvOld_upregulated"
"young CD vs old CD","Upregulated","TS_Eye_corneal keratocyte","Adult","Sensory system","Eye","corneal keratocyte","Fibroblast",3.48035232977661e-06,5.45837678848664,5.62473856028794e-114,8.23417765302964e-05,0.0025830258302583,"JOB8022_YoungvOld_upregulated"
"young CD vs old CD","Upregulated","TS_Muscle_mesenchymal stem cell","Adult","Muscular system","Muscle organ","mesenchymal stem cell","Mesenchymal stem cell",3.48035232977661e-06,5.45837678848664,2.190535213704e-99,4.11708882651482e-05,0.00516605166051661,"JOB8022_YoungvOld_upregulated"
"young CD vs old CD","Upregulated","TS_Bladder_smooth muscle cell","Adult","Urinary system","Bladder organ","smooth muscle cell","Smooth muscle cell",3.94508732914911e-06,5.40394337872889,5.05704606835101e-94,4.11708882651482e-05,0.00590405904059041,"JOB8022_YoungvOld_upregulated"
"young CD vs old CD","Upregulated","TS_Skin_endothelial cell","Adult","Integumentary system","Skin of body","endothelial cell","Endothelial cell",4.86355828888119e-06,5.31304587481517,1.55286122998613e-88,4.11708882651482e-05,0.00738007380073801,"JOB8022_YoungvOld_upregulated"
"young CD vs old CD","Upregulated","TS_Eye_ocular surface cell","Adult","Sensory system","Eye","ocular surface cell","Epithelial cell",5.76979313093862e-06,5.23883975767657,1.94318572677244e-83,4.11708882651482e-05,0.00885608856088561,"JOB8022_YoungvOld_upregulated"
"young CD vs old CD","Upregulated","TS_Bladder_capillary endothelial cell","Adult","Urinary system","Bladder organ","capillary endothelial cell","Capillary endothelial cell",6.6658524148222e-06,5.17614430605771,1.37841394879814e-82,4.11708882651482e-05,0.0103321033210332,"JOB8022_YoungvOld_upregulated"
"young CD vs old CD","Upregulated","TS_Prostate_basal cell of prostate epithelium","Adult","Reproductive system","Prostate gland","basal cell of prostate epithelium","Basal cell",7.11054010504863e-06,5.1480974097156,6.68342903493669e-82,4.11708882651482e-05,0.011070110701107,"JOB8022_YoungvOld_upregulated"
"young CD vs old CD","Upregulated","TS_Lung_type ii pneumocyte","Adult","Respiratory system","Lung","type ii pneumocyte","Pneumocyte",8.43293290242464e-06,5.07402135517185,1.01286880904156e-76,4.11708882651482e-05,0.0132841328413284,"JOB8022_YoungvOld_upregulated"
"young CD vs old CD","Upregulated","TS_Eye_endothelial cell","Adult","Sensory system","Eye","endothelial cell","Endothelial cell",8.87021595341597e-06,5.05206580674829,5.62210374811564e-76,4.11708882651482e-05,0.0140221402214022,"JOB8022_YoungvOld_upregulated"
"young CD vs old CD","Upregulated","TS_Muscle_skeletal muscle satellite stem cell","Adult","Muscular system","Muscle organ","skeletal muscle satellite stem cell","Skeletal muscle satellite cell",9.30589908521018e-06,5.03124166134219,1.4444684109763e-75,4.11708882651482e-05,0.014760147601476,"JOB8022_YoungvOld_upregulated"
"young CD vs old CD","Upregulated","TS_Fat_mesenchymal stem cell","Adult","Integumentary system","Perirenal fat","mesenchymal stem cell","Mesenchymal stem cell",1.06041124822154e-05,4.97452567417297,2.84127339839127e-70,4.11708882651482e-05,0.0169741697416974,"JOB8022_YoungvOld_upregulated"
"young CD vs old CD","Upregulated","TS_Blood_nk cell","Adult","Lymphatic system","Blood","nk cell","Natural killer cell",1.18904023789224e-05,4.9248034483259,3.39975821613075e-69,4.11708882651482e-05,0.0191881918819188,"JOB8022_YoungvOld_upregulated"
"young CD vs old CD","Upregulated","TS_Uterus_endothelial cell","Adult","Reproductive system","Uterus","endothelial cell","Endothelial cell",1.31661511287851e-05,4.8805411641292,4.1048529608995e-67,4.11708882651482e-05,0.0214022140221402,"JOB8022_YoungvOld_upregulated"
"young CD vs old CD","Upregulated","TS_Blood_cd8-positive, alpha-beta cytokine secreting effector t cell","Adult","Lymphatic system","Blood","cd8-positive, alpha-beta cytokine secreting effector t cell","T cell",1.35892539712135e-05,4.86680438470081,4.94704111661978e-67,4.11708882651482e-05,0.022140221402214,"JOB8022_YoungvOld_upregulated"
"young CD vs old CD","Upregulated","TS_Spleen_endothelial cell","Adult","Lymphatic system","Spleen","endothelial cell","Endothelial cell",1.48526132005555e-05,4.82819712892338,3.15174403558563e-85,0.00012351266479544,0.00811808118081181,"JOB8022_YoungvOld_upregulated"
"young CD vs old CD","Upregulated","TS_Salivary_Gland_fibroblast","Adult","Digestive system","Saliva-secreting gland","fibroblast","Fibroblast",1.73551305145958e-05,4.76057211598533,2.28530879442008e-83,0.00012351266479544,0.00959409594095941,"JOB8022_YoungvOld_upregulated"
"young CD vs old CD","Upregulated","TS_Blood_type i nk t cell","Adult","Lymphatic system","Blood","type i nk t cell","T cell",1.7769363185316e-05,4.75032813606971,2.2847490120871e-64,4.11708882651482e-05,0.029520295202952,"JOB8022_YoungvOld_upregulated"
"young CD vs old CD","Upregulated","TS_Prostate_club cell of prostate epithelium","Adult","Reproductive system","Prostate gland","club cell of prostate epithelium","Club cell",1.81828361663916e-05,4.74033837439537,6.43166002276633e-64,4.11708882651482e-05,0.0302583025830258,"JOB8022_YoungvOld_upregulated"
"young CD vs old CD","Upregulated","TS_Bladder_pericyte cell","Adult","Urinary system","Bladder organ","pericyte cell","Pericyte cell",1.85955679905536e-05,4.73059055183602,9.45463287984843e-72,8.23417765302964e-05,0.0154981549815498,"JOB8022_YoungvOld_upregulated"
"young CD vs old CD","Upregulated","TS_Vasculature_pericyte cell","Adult","Cardiovascular system","Vasculature","pericyte cell","Pericyte cell",1.90075763077946e-05,4.72107325731957,4.55691945771307e-63,4.11708882651482e-05,0.0317343173431734,"JOB8022_YoungvOld_upregulated"
