"contrast","direction","General_cell_type","best_combined_p","best_combined_log10p","significant_tissue_cell_type_n"
"old ID vs old CD","Downregulated","Cell of skeletal muscle",0.0106853427211653,1.97121154373633,2
"old ID vs old CD","Downregulated","Muscle cell",0.0106957097640864,1.97079039048484,1
"young CD vs old CD","Downregulated","Connective tissue cell",0.0131052636254203,1.88255423836379,1
"old ID vs old CD","Downregulated","Monocyte",0.0133169679139369,1.87559464664807,2
"old ID vs old CD","Downregulated","Goblet cell",0.0139520369629467,1.85536238183937,2
"old ID vs old CD","Downregulated","Pneumocyte",0.0170693899059429,1.76778200115928,1
"old ID vs old CD","Downregulated","Endothelial cell",0.0174599064069298,1.75795808864092,2
"old ID vs old CD","Downregulated","Transit amplifying cell",0.0181589588633441,1.74090905520186,1
"old ID vs old CD","Downregulated","Myeloid cell",0.0222055855085516,1.65353777102529,2
"old ID vs old CD","Downregulated","Alveolar capillary type 2 endothelial cell",0.0233456198832953,1.6317945899996,1
"old ID vs old CD","Downregulated","Plasmacytoid dendritic cell",0.0250773240057813,1.60071880881134,1
"old ID vs old CD","Downregulated","Retinal pigment epithelial cell",0.0282924459036971,1.54832950582821,1
"old ID vs old CD","Downregulated","Hematopoietic stem cell",0.0283124734279457,1.54802218824051,1
"old ID vs old CD","Downregulated","Pancreatic ductal cell",0.028529693096861,1.54470290016405,1
"old ID vs old CD","Downregulated","Fibroblast",0.029375700811457,1.53201176370172,1
"young CD vs old CD","Downregulated","Schwann cell",0.0302586099978741,1.5191510262176,1
"old ID vs old CD","Downregulated","Melanocyte",0.0308527795170471,1.51070570441715,1
"old ID vs old CD","Downregulated","Macrophage",0.0313811029351058,1.5033317965613,2
"old ID vs old CD","Downregulated","Granulocyte",0.0332168318628852,1.47864179181478,1
"old ID vs old CD","Downregulated","Urothelial cell",0.037167572682846,1.42983580061715,1
"young CD vs old CD","Downregulated","Erythrocyte",0.0408712208183468,1.38858238977182,1
"old ID vs old CD","Downregulated","Smooth muscle cell",0.0412919375680919,1.38413473796841,1
"old ID vs old CD","Downregulated","Schwalbe line",0.0413022154947191,1.38402665170136,1
"old ID vs old CD","Downregulated","Basal cell",0.0423665807095085,1.37297658530076,1
"old ID vs old CD","Downregulated","Keratinocyte",0.0424173451225972,1.37245651721239,1
"old ID vs old CD","Downregulated","Endocrine cell",0.0430498374558058,1.36602848398222,1
"old ID vs old CD","Downregulated","Ionocyte",0.045029371019218,1.34650411932156,1
"old ID vs old CD","Downregulated","Neutrophil",0.0461130900695713,1.33617577443645,1
"old ID vs old CD","Downregulated","Dendritic cell",0.0468005919565549,1.32974865372418,1
"young CD vs old CD","Downregulated","Stem cell",0.0474738921216783,1.32354516142098,1
"old ID vs old CD","Downregulated","Type B pancreatic cell",0.0482930376316759,1.3161154766211,1
"young CD vs old CD","Downregulated","Cortical cell of adrenal gland",0.0500585742946851,1.30052152358054,0
"young CD vs old CD","Downregulated","Oligodendrocyte",0.0517162034763466,1.28637336449141,0
"old ID vs old CD","Downregulated","Mesenchymal stem cell",0.0523738114219242,1.28088581984917,0
"young CD vs old CD","Downregulated","Cholangiocyte",0.0523988065831273,1.2806786042427,0
"old ID vs old CD","Downregulated","Chondrocyte",0.0538968902192455,1.26843629231945,0
"young CD vs old CD","Downregulated","Intestinal tuft cell",0.0565869351435764,1.24728382764584,0
"old ID vs old CD","Downregulated","Bipolar neuron",0.0570403484004098,1.24381783049291,0
"old ID vs old CD","Downregulated","Hepatoblast",0.0646357763709705,1.18952703030759,0
"old ID vs old CD","Downregulated","Pericyte cell",0.0647878672400241,1.18850631641421,0
"old ID vs old CD","Downregulated","Mueller cell",0.0654749485283158,1.18392483431361,0
"old ID vs old CD","Downregulated","Myofibroblast cell",0.0672493603546326,1.17231184211774,0
"old ID vs old CD","Downregulated","T cell",0.0728185880814587,1.13775774608837,0
"old ID vs old CD","Downregulated","Stromal cell",0.075196082366475,1.12380478508578,0
"old ID vs old CD","Downregulated","Acinar cell",0.0833999624068152,1.07883414512385,0
"young CD vs old CD","Downregulated","Pancreatic A cell",0.0839156257211774,1.07615716273952,0
"old ID vs old CD","Downregulated","Erythroblast",0.0859158552751711,1.06592668223274,0
"old ID vs old CD","Downregulated","Mucus secreting cell",0.0881609620549999,1.05472367923528,0
"young CD vs old CD","Downregulated","Inhibitory neuron",0.0896336807106975,1.04752876937498,0
"old ID vs old CD","Downregulated","Pancreatic A cell",0.0903019313164446,1.04430296119142,0
"young CD vs old CD","Downregulated","Ciliated cell",0.0912390213579845,1.03981938167144,0
"old ID vs old CD","Downregulated","Erythroid progenitor cell",0.0917937149024105,1.03718705383848,0
"old ID vs old CD","Downregulated","Luminal cell of prostate epithelium",0.0919096752110951,1.03663876859628,0
"young CD vs old CD","Downregulated","Pancreas exocrine glandular cell",0.0930938590414694,1.03107896641249,0
"old ID vs old CD","Downregulated","Club cell",0.0987952815065305,1.00526379695702,0
"old ID vs old CD","Downregulated","Natural killer cell",0.0996952269476794,1.00132563366333,0
"old ID vs old CD","Downregulated","Neuron",0.103516300880177,0.98499125576377,0
"old ID vs old CD","Downregulated","Primordial germ cell",0.103522377820498,0.98496576118792,0
"old ID vs old CD","Downregulated","Epithelial fate stem cell",0.110322590012327,0.957335550903473,0
"old ID vs old CD","Downregulated","Photoreceptor cell",0.114537418455604,0.941052609620809,0
"old ID vs old CD","Downregulated","Mast cell",0.119508000594071,0.922603019422551,0
"old ID vs old CD","Downregulated","Skeletal muscle satellite cell",0.123510865602042,0.908294834603206,0
"old ID vs old CD","Downregulated","Myometrial cell",0.12367399487003,0.907721610571005,0
"old ID vs old CD","Downregulated","Erythrocyte",0.134757389368909,0.870447411119675,0
"old ID vs old CD","Downregulated","Intrahepatic cholangiocyte",0.142094066042928,0.84742405816417,0
"old ID vs old CD","Downregulated","Intestinal tuft cell",0.143285653794529,0.843797290340753,0
"young CD vs old CD","Downregulated","Mueller cell",0.144209201786256,0.841007027012614,0
"old ID vs old CD","Downregulated","Astrocyte",0.156277898926007,0.80610243626844,0
"old ID vs old CD","Downregulated","Trophoblast cell",0.157162746712988,0.803650389685441,0
"old ID vs old CD","Downregulated","Type II cell of adrenal cortex",0.16471178102842,0.78327533675828,0
"old ID vs old CD","Downregulated","Platelet",0.17334671425028,0.761084385888152,0
"old ID vs old CD","Downregulated","Innate lymphoid cell",0.173424383813552,0.760889839898055,0
"old ID vs old CD","Downregulated","Glial cell",0.173489661566045,0.760726400173368,0
"old ID vs old CD","Downregulated","Excitatory neuron",0.176209068568344,0.753971744460614,0
"old ID vs old CD","Downregulated","Pancreatic stellate cell",0.176325403921095,0.753685112613083,0
"old ID vs old CD","Downregulated","Hofbauer cell",0.178135819153542,0.749248744789222,0
"old ID vs old CD","Downregulated","Enteric neuron",0.178739332470675,0.74777986833733,0
"old ID vs old CD","Downregulated","Mesothelial cell",0.182369330621288,0.739048195952016,0
"young CD vs old CD","Downregulated","Photoreceptor cell",0.202425796725495,0.693734142713485,0
"old ID vs old CD","Downregulated","Stem cell",0.205863410376386,0.686420836887214,0
"old ID vs old CD","Downregulated","Renal intercalated cell",0.222790779389889,0.65210278720996,0
"old ID vs old CD","Downregulated","Connective tissue cell",0.225677931028929,0.64651090836119,0
"old ID vs old CD","Downregulated","Beam B cell",0.230578855200618,0.637180521372359,0
"old ID vs old CD","Downregulated","Kidney loop of Henle epithelial cell",0.23345612519305,0.63179472699064,0
"old ID vs old CD","Downregulated","Epithelial cell of proximal tubule",0.23357593783655,0.631571898730249,0
"old ID vs old CD","Downregulated","Microglial cell",0.234046264848572,0.630698285400022,0
"old ID vs old CD","Downregulated","Serous cell of epithelium of trachea",0.237307905534769,0.624687793712968,0
"old ID vs old CD","Downregulated","Salivary gland cell",0.256829175308369,0.590355642769373,0
"old ID vs old CD","Downregulated","Inflammatory cell",0.265984666811473,0.575143398373077,0
"old ID vs old CD","Downregulated","Kidney cell",0.27223673190851,0.565053277409968,0
"old ID vs old CD","Downregulated","Capillary endothelial cell",0.275015781781515,0.560642383464406,0
"old ID vs old CD","Downregulated","Ciliated cell",0.302571538990232,0.519171925753708,0
"old ID vs old CD","Downregulated","Pancreas exocrine glandular cell",0.326557847599803,0.48603987512987,0
"old ID vs old CD","Downregulated","Basophil",0.340338888384754,0.468088423969217,0
"old ID vs old CD","Downregulated","Thymocyte",0.341366768513571,0.466778759008153,0
"old ID vs old CD","Downregulated","Epicardial adipocyte",0.351441858819507,0.454146512699372,0
"old ID vs old CD","Downregulated","Langerhans cell",0.362694032611419,0.440459589788333,0
"old ID vs old CD","Downregulated","Erythroid lineage cell",0.391816740494556,0.406917012575344,0
"old ID vs old CD","Downregulated","Purkinje cell",0.428053481576644,0.3685019662612,0
"old ID vs old CD","Downregulated","Cortical cell of adrenal gland",0.434651648032109,0.36185866935781,0
"old ID vs old CD","Downregulated","Fetal cardiomyocyte",0.438445810211081,0.358084075685872,0
"old ID vs old CD","Downregulated","Adventitial cell",0.4394208172492,0.357119372535441,0
"young CD vs old CD","Downregulated","Pancreatic PP cell",0.475267695385594,0.32306170430944,0
"old ID vs old CD","Downregulated","Enteric neural system glia",0.487806142291306,0.31175273549743,0
"old ID vs old CD","Downregulated","ENS glia",0.501837783189009,0.29943664391267,0
"old ID vs old CD","Downregulated","Hepatic stellate cell",0.502914240690688,0.298506066574698,0
"old ID vs old CD","Downregulated","Oligodendrocyte precursor cell",0.521869833686206,0.282437806502006,0
"old ID vs old CD","Downregulated","Schwann cell",0.552370684491601,0.25776937843043,0
"old ID vs old CD","Downregulated","Lens fibre cell",0.55792900227104,0.253421062502699,0
"old ID vs old CD","Downregulated","Megakaryocyte",0.562396584455256,0.249957325535778,0
"old ID vs old CD","Downregulated","Retina horizontal cell",0.576890074904097,0.238906932789928,0
"old ID vs old CD","Downregulated","Oligodendrocyte",0.590726421700217,0.228613603812977,0
"old ID vs old CD","Downregulated","Trabecular meshwork cell",0.629166564440417,0.201234364982092,0
"old ID vs old CD","Downregulated","Cerebellar granule cell",0.662047770250776,0.179110672784147,0
"old ID vs old CD","Downregulated","Alveolar capillary type 1 endothelial cell",0.662716119048428,0.178672466064025,0
"old ID vs old CD","Downregulated","Mesangial cell",0.686386103543569,0.163431517722636,0
"young CD vs old CD","Downregulated","Mesangial cell",0.687592460728834,0.162668893884077,0
"old ID vs old CD","Downregulated","Professional antigen presenting cell",0.696706766507064,0.156949971520247,0
"young CD vs old CD","Downregulated","Bipolar neuron",0.740812847492929,0.130291494540346,0
"old ID vs old CD","Downregulated","ENS neuron",0.769642045774564,0.113711214685043,0
"old ID vs old CD","Downregulated","Unknown",0.821318376992762,0.0854884597280711,0
"old ID vs old CD","Downregulated","Retinal ganglion cell",0.827492582980242,0.082235890223167,0
"old ID vs old CD","Downregulated","Cholangiocyte",0.840610714807432,0.0754050785798261,0
"old ID vs old CD","Downregulated","Immune cell",0.841230542504987,0.0750849677967236,0
"old ID vs old CD","Downregulated","Endocardial cell",0.841901972593557,0.0747384729185108,0
"young CD vs old CD","Downregulated","Hepatic stellate cell",0.846093083562441,0.0725818551007969,0
"old ID vs old CD","Downregulated","Peptic cell",0.85402383776815,0.0685300069846665,0
"old ID vs old CD","Downregulated","Beam A cell",0.859762586044431,0.0656214578326294,0
"old ID vs old CD","Downregulated","Sertoli cell",0.870808429405128,0.0600773756502194,0
"old ID vs old CD","Downregulated","Pancreatic D cell",0.884215944991994,0.0534416577635544,0
"young CD vs old CD","Downregulated","Lens fibre cell",0.886480152191591,0.0523309835714282,0
"young CD vs old CD","Downregulated","ENS glia",0.906698339409697,0.0425371796664134,0
"young CD vs old CD","Downregulated","Peptic cell",0.911724890438368,0.0401361886330167,0
"young CD vs old CD","Downregulated","Enteric neural system glia",0.924293014511474,0.034190329199234,0
"old ID vs old CD","Downregulated","Leukocyte",0.924691833863351,0.0340029776948291,0
"old ID vs old CD","Downregulated","Pancreatic PP cell",0.938124842881848,0.0277393631487526,0
"young CD vs old CD","Downregulated","Pancreatic D cell",0.94290837980848,0.0255305045868528,0
"old ID vs old CD","Downregulated","B/T doublet",0.943778081780155,0.0251301128931169,0
"young CD vs old CD","Downregulated","Schwalbe line",0.947203531128522,0.0235566915895111,0
"young CD vs old CD","Downregulated","Oligodendrocyte precursor cell",0.949075371823693,0.022699296247838,0
"young CD vs old CD","Downregulated","Purkinje cell",0.952728812765998,0.021030700494527,0
"old ID vs old CD","Downregulated","Kupffer cell",0.968342503066048,0.0139710054162428,0
"young CD vs old CD","Downregulated","Retinal ganglion cell",0.970331284148937,0.0130799664403317,0
"young CD vs old CD","Downregulated","ENS neuron",0.972438595140319,0.0121378127618183,0
"young CD vs old CD","Downregulated","Retina horizontal cell",0.973048543467535,0.0118654930983485,0
"young CD vs old CD","Downregulated","Sertoli cell",0.973489267901494,0.011668831937326,0
"young CD vs old CD","Downregulated","Enteric neuron",0.976487498751045,0.0103333122923491,0
"young CD vs old CD","Downregulated","Unknown",0.977590536735375,0.00984301113537881,0
"young CD vs old CD","Upregulated","Glial cell",5.5631854001259e-07,6.25467646641008,1
"young CD vs old CD","Upregulated","Stem cell",1.07051533082547e-06,5.97040710880371,1
"young CD vs old CD","Upregulated","Endothelial cell",1.81388922615433e-06,5.74138923874167,46
"young CD vs old CD","Upregulated","Pericyte cell",2.5370835176064e-06,5.59566523611347,11
"young CD vs old CD","Upregulated","Basal cell",3.01126181323497e-06,5.52125148324509,6
"young CD vs old CD","Upregulated","Fibroblast",3.48035232977661e-06,5.45837678848664,20
"young CD vs old CD","Upregulated","Mesenchymal stem cell",3.48035232977661e-06,5.45837678848664,4
"young CD vs old CD","Upregulated","Smooth muscle cell",3.94508732914911e-06,5.40394337872889,16
"young CD vs old CD","Upregulated","Epithelial cell",5.76979313093862e-06,5.23883975767657,6
"young CD vs old CD","Upregulated","Capillary endothelial cell",6.6658524148222e-06,5.17614430605771,6
"young CD vs old CD","Upregulated","Pneumocyte",8.43293290242464e-06,5.07402135517185,2
"young CD vs old CD","Upregulated","Skeletal muscle satellite cell",9.30589908521018e-06,5.03124166134219,1
"young CD vs old CD","Upregulated","Natural killer cell",1.18904023789224e-05,4.9248034483259,15
"young CD vs old CD","Upregulated","T cell",1.35892539712135e-05,4.86680438470081,27
"young CD vs old CD","Upregulated","Club cell",1.81828361663916e-05,4.74033837439537,3
"young CD vs old CD","Upregulated","Monocyte",1.98294889717232e-05,4.70268847790869,12
"young CD vs old CD","Upregulated","Melanocyte",2.02394247315052e-05,4.69380183568023,1
"young CD vs old CD","Upregulated","Epicardial adipocyte",2.67169133969514e-05,4.57321371730811,1
"young CD vs old CD","Upregulated","Cell of skeletal muscle",2.71172032068057e-05,4.56675510442467,6
"young CD vs old CD","Upregulated","Myofibroblast cell",2.83152086757443e-05,4.54798023338796,2
"old ID vs old CD","Upregulated","Fibroblast",3.10947457340394e-05,4.50731299012092,36
"young CD vs old CD","Upregulated","Intestinal tuft cell",3.30675128081825e-05,4.48059846956479,1
"young CD vs old CD","Upregulated","Macrophage",3.5422022512388e-05,4.45072664526641,13
"old ID vs old CD","Upregulated","Stromal cell",3.69843989266316e-05,4.43198143509289,39
"old ID vs old CD","Upregulated","Beam A cell",4.04799044999571e-05,4.39276052075301,1
"young CD vs old CD","Upregulated","Myeloid cell",4.31809475928135e-05,4.36470783143638,3
"young CD vs old CD","Upregulated","Neutrophil",4.47179077305293e-05,4.34951852449423,7
"young CD vs old CD","Upregulated","Pancreatic ductal cell",5.23382294556063e-05,4.28118097314945,1
"young CD vs old CD","Upregulated","Acinar cell",5.61117380747378e-05,4.25094627871096,2
"old ID vs old CD","Upregulated","Smooth muscle cell",5.68637445893527e-05,4.2451645445586,14
"young CD vs old CD","Upregulated","Innate lymphoid cell",7.00776463350428e-05,4.15442049303959,1
"young CD vs old CD","Upregulated","Photoreceptor cell",7.17360410202872e-05,4.14426259490966,1
"young CD vs old CD","Upregulated","Luminal cell of prostate epithelium",7.39419306382549e-05,4.1311092141011,1
"old ID vs old CD","Upregulated","Mesenchymal stem cell",8.12534279136523e-05,4.09015830797887,15
"young CD vs old CD","Upregulated","Hematopoietic stem cell",8.30718474207348e-05,4.08054613122599,4
"young CD vs old CD","Upregulated","Sertoli cell",9.6062986640999e-05,4.01744391507847,1
"young CD vs old CD","Upregulated","Stromal cell",0.00010427770962007,3.98180851634422,13
"old ID vs old CD","Upregulated","Macrophage",0.0001141982673537,3.94234048527085,51
"young CD vs old CD","Upregulated","Goblet cell",0.00012333837751932,3.90890176889042,4
"old ID vs old CD","Upregulated","Microglial cell",0.00013171896241448,3.88035169900051,10
"old ID vs old CD","Upregulated","Endothelial cell",0.00017462119528399,3.75790304335545,96
"old ID vs old CD","Upregulated","Adventitial cell",0.00019634544971958,3.70697915899542,2
"young CD vs old CD","Upregulated","Enterocyte",0.0002356616436363,3.62771109763117,4
"old ID vs old CD","Upregulated","Myeloid cell",0.0002722182500916,3.56508276212906,12
"young CD vs old CD","Upregulated","Connective tissue cell",0.00028192266692417,3.5498700049218,1
"young CD vs old CD","Upregulated","Adventitial cell",0.0002954515477721,3.52951373055443,1
"young CD vs old CD","Upregulated","Myometrial cell",0.00030187124240188,3.52017825783164,1
"young CD vs old CD","Upregulated","Salivary gland cell",0.0003261398644514,3.48659611363459,1
"old ID vs old CD","Upregulated","Dendritic cell",0.00035463742022723,3.45021544092695,22
"young CD vs old CD","Upregulated","Muscle cell",0.00043845554347776,3.35807443468351,3
"young CD vs old CD","Upregulated","Erythroid progenitor cell",0.00045997245836326,3.33726817166396,1
"young CD vs old CD","Upregulated","Intestinal crypt stem cell",0.00048442991890651,3.314769042212,1
"old ID vs old CD","Upregulated","Connective tissue cell",0.00054680497744596,3.26216754079866,1
"young CD vs old CD","Upregulated","Mast cell",0.00056631936789541,3.24693858542226,1
"young CD vs old CD","Upregulated","Hepatocyte",0.00060572120339508,3.21772722350311,1
"old ID vs old CD","Upregulated","Monocyte",0.00062442430731735,3.2045201992542,22
"young CD vs old CD","Upregulated","Granulocyte",0.00063892742387672,3.194548470793,1
"young CD vs old CD","Upregulated","Retinal pigment epithelial cell",0.00086244872898977,3.06426671350532,1
"old ID vs old CD","Upregulated","Innate lymphoid cell",0.00089236888855381,3.04945557931708,5
