"contrast","direction","Developmental_stage","human_symbol","primary_tissue","primary_organ_system","primary_specific_cell_type","primary_general_cell_type","primary_tissue_cell_type_name","input_list_combined_p","input_list_combined_log10p","input_list_raw_p","input_list_permutated_p","input_list_rank_p","webcsea_job"
"old ID vs old CD","Downregulated","Adult","HSPA5","Spleen","Lymphatic system","Plasma_IgG","Plasma cell","Madissoon_2020_spleen_Plasma_IgG",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","INO80C","Spleen","Lymphatic system","plasma cell","Plasma cell","TS_Spleen_plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","ITGB6","Small intestine","Digestive system","intestinal crypt stem cell of small intestine","Intestinal crypt stem cell","TS_Small_Intestine_intestinal crypt stem cell of small intestine",0.00718719742181728,2.14344042554422,1.73147062672931e-12,0.242949411652639,0.003690036900369,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","KCNC1","Large intestine","Digestive system","intestinal enteroendocrine cell","Endocrine cell","TS_Large_Intestine_intestinal enteroendocrine cell",0.0430498374558058,1.36602848398222,1.06774131326649e-07,0.211741878347657,0.0343173431734317,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","KIF26B","Small intestine","Digestive system","duodenum glandular cell","Duodenum glandular cell","TS_Small_Intestine_duodenum glandular cell",0.00986524399996991,2.0058921687463,2.55146273964012e-10,0.124747791443399,0.0103321033210332,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","LARP7","Heart","Cardiovascular system","cardiac muscle cell","Muscle cell","TS_Heart_cardiac muscle cell",0.0106957097640864,1.97079039048484,4.10738099844094e-11,0.212977004995611,0.00664206642066421,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","LBP","Liver","Digestive system","Hepatocyte","Hepatocyte","MacParland_2018_liver_Hepatocyte",0.00700323976730266,2.1547010046196,0.00025978094638196,0.00765778521731756,0.113653136531365,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","LEP","Placenta","Reproductive system","Epithelial cell","Epithelial cell","Placenta_Epithelial cell",0.0374376325701239,1.42669162238691,0.00481043428029408,0.035283451243232,0.174169741697417,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Fetal","LPGAT1","Intestine","Digestive system","Hepatocyte/Endodermal cell","Hepatocyte","FetalIntestine_Hepatocyte/Endodermal cell",0.00291447789019061,2.53543923497642,9.16848343300666e-05,0.003334841949477,0.0966789667896679,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","LYRM7","Large intestine","Digestive system","immature enterocyte","Enterocyte","TS_Large_Intestine_immature enterocyte",0.00898738283654676,2.04636675822496,9.50276046720204e-12,0.261517482260221,0.0044280442804428,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","MAP1LC3A","Lung","Respiratory system","type ii pneumocyte","Pneumocyte","TS_Lung_type ii pneumocyte",0.0170693899059429,1.76778200115928,2.14508591045674e-10,0.299559383017218,0.00811808118081181,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","MAP3K7","Spleen","Lymphatic system","endothelial cell","Endothelial cell","TS_Spleen_endothelial cell",0.036410372719262,1.43877487533438,5.75153300324007e-09,0.27773881223669,0.0214022140221402,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","MCFD2","Spleen","Lymphatic system","Plasma_IgG","Plasma cell","Madissoon_2020_spleen_Plasma_IgG",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","MEF2C","Spleen","Lymphatic system","plasma cell","Plasma cell","TS_Spleen_plasma cell",0.0010895601536518,2.96274878774184,3.78370741991721e-18,0.145621431793829,0.0007380073800738,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","METTL18","Blood","Lymphatic system","type i nk t cell","T cell","TS_Blood_type i nk t cell",0.104035574670261,0.982818129536154,1.65589683625578e-06,0.368685304414402,0.0583025830258303,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","MIB1","Caecum","Digestive system","B cell (Plasmocyte)","B cell","AdultEpityphlon_B cell (Plasmocyte)",0.00092330389336936,3.03465533311124,0.0007168810884069,0.00065873421224237,0.135793357933579,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","MMGT1","Blood","Lymphatic system","classical monocyte","Monocyte","TS_Blood_classical monocyte",0.0133169679139369,1.87559464664807,9.64764780497045e-12,0.308658149323816,0.00590405904059041,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","MOB1B","Blood","Lymphatic system","classical monocyte","Monocyte","TS_Blood_classical monocyte",0.0133169679139369,1.87559464664807,9.64764780497045e-12,0.308658149323816,0.00590405904059041,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","MPZL3","Gall bladder","Digestive system","Goblet cell","Goblet cell","AdultGallbladder_Goblet cell",0.0139520369629467,1.85536238183937,0.0005949951369384,0.0158919628703472,0.121033210332103,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","MSI2","Spleen","Lymphatic system","Plasma_IgG","Plasma cell","Madissoon_2020_spleen_Plasma_IgG",3.5030534605851e-05,4.45555323480336,4.83836995131892e-06,4.11708882651482e-05,0.0612546125461255,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","MSRA","Small intestine","Digestive system","immature enterocyte","Enterocyte","TS_Small_Intestine_immature enterocyte",0.00438121660226531,2.35840527527578,5.05216904721864e-14,0.23063931606136,0.0022140221402214,"JOB2770_IDvCD_downregulated"
"old ID vs old CD","Downregulated","Adult","MT-ND2","Small intestine","Digestive system","paneth cell of epithelium of small intestine","Paneth cell","TS_Small_Intestine_paneth cell of epithelium of small intestine",0.00977743161004985,2.00977521311368,9.53816188965385e-12,0.246942987814359,0.00516605166051661,"JOB2770_IDvCD_downregulated"
