plate,assay_group,well_id,raw_sample_id,sample,sample_suffix,sampling_tissue,sampling_time,sampling_month,diet,cohort,animal,age,group,cytokine,concentration_pg_ml,mfi
Plate 1,Unknown Group 1,24,1M5_sys_sac,1M5,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,5,Old,Old ID,IFN-gamma,N/A,1381.84753
Plate 1,Unknown Group 1,24,1M5_sys_sac,1M5,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,5,Old,Old ID,IL-10,N/A,3744.81079
Plate 1,Unknown Group 1,24,1M5_sys_sac,1M5,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,5,Old,Old ID,IL-17A,N/A,2698.22168
Plate 1,Unknown Group 1,24,1M5_sys_sac,1M5,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,5,Old,Old ID,IL-17F,N/A,1892.64062
Plate 1,Unknown Group 1,24,1M5_sys_sac,1M5,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,5,Old,Old ID,IL-1a,43.32097095799724,5890.99658
Plate 1,Unknown Group 1,24,1M5_sys_sac,1M5,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,5,Old,Old ID,IL-6,32.78965434321406,3650.68188
Plate 1,Unknown Group 1,24,1M5_sys_sac,1M5,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,5,Old,Old ID,IL-7,0.4383487669085714,2670.9314
Plate 1,Unknown Group 1,24,1M5_sys_sac,1M5,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,5,Old,Old ID,TNF-alpha,39.26422696065878,3738.94946
Plate 1,Unknown Group 1,25,1M6_sys_sac,1M6,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,6,Old,Old ID,GDF-15,181.775187841193,36262.40234
Plate 1,Unknown Group 1,25,1M6_sys_sac,1M6,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,6,Old,Old ID,IFN-gamma,N/A,1257.36926
Plate 1,Unknown Group 1,25,1M6_sys_sac,1M6,sys_sac,systemic blood,sacrificed sample,N/A,ID,1,6,Old,Old ID,IL-10,N/A,2818.36133
