V1
AdultBoneMarrow_Antigen presenting cell (RPS high)	AFF3;AOAH;C1QA;CD14;CD163;CLEC10A;CSF1R;CX3CR1;F13A1;FCN1;HLA-A;IFI16;MNDA;MYOF;P2RX7;PSMB8;RASSF2;RGS2;SAMHD1;STAB1;SUSD1;TGFBI;TLR8;TNFSF10
AdultBoneMarrow_B cell	CENPJ;HID1;IL7R;LILRA4;LRFN4;PHACTR1;POLK;PPM1K;PSMB8;RGS2;SOCS2;SYNE2
AdultBoneMarrow_Dendritic cell	ABCA6;AFF3;APOL3;ASAP2;C1QA;C1QC;CLEC10A;CSF1R;CX3CR1;LILRA4;MRC1;P2RX7;PHACTR1;PPM1K;RGS2;RNF213;SAMHD1;SIGLEC1;TGFBI
AdultCerebellum_Oligodendrocyte	EFHD1;FNBP1;GALNT15;ITGB8;KIF1A;P2RX7;PLP1;RASSF2;SPNS2;TMEFF2;TPPP
AdultCerebellum_Astrocyte	APPL2;B3GALNT1;CADM3;CNTFR;ECM2;GJA1;GPM6A;ITGB4;NEBL;PPM1K;SCARA3;STON1;TMEM47;VIT
AdultCerebellum_Macrophage	AOAH;B4GALT1;C1QA;C1QC;CCL8;CD14;CSF1R;CSF3R;CX3CR1;F13A1;FCGR2A;HLA-A;IFI16;LAIR1;LOXL3;MMP2;MMRN1;MNDA;MRC1;RASAL3;RGS2;SAMHD1;STAB1;SUSD1;TGFBR2
AdultCerebellum_Monocyte	AOAH;APOL3;B4GALT1;CD14;CD163;CSF3R;F13A1;FCGR2A;FCN1;HBEGF;HLA-A;HLA-F;MNDA;MYOF;PHACTR1;PSMB8;RAB44;S100A9;SAMHD1;TGFBI
AdultCerebellum_Neutrophil	AOAH;CRISPLD2;CSF3R;FCGR2A;FCN1;HLA-A;JAK3;MMP9;MNDA;MRC1;PHACTR1;RGS2;RNF24;S100A9;TBC1D2B;TLR8;ZNF217
AdultCerebellum_Endothelial cell (APC)	ACE;APOL1;APOL3;CASP12;CDH11;CEP112;CFH;CLEC3B;GBP6;GULP1;HLA-A;HLA-F;LEPR;NOTCH1;NPNT;PRKD2;PSMB8;SOCS2;STAB1;TBC1D4;TGFBR2;TNFSF10;VWF
AdultCerebellum_Smooth muscle cell	ADAMTS10;BGN;CASP12;COL14A1;CRISPLD2;GPX8;ITGA8;KCNAB1;NPNT;PHLDB2;PLEKHA4;SYTL2;TMEM47
AdultCerebellum_T cell	C2orf68;CCR5;CFH;HLA-A;HLA-F;IL7R;KMT2E;OGN;PSMB8;SAMHD1;SYNE2;TNFSF10
AdultCervix_Smooth muscle cell	ABCA9;ABI3BP;BGN;CDH11;CLEC11A;COL14A1;CRISPLD2;ECM2;EFHD1;GJA1;ITGA8;KCNAB1;LTBP4;MMP2;NUMBL;OGN;PDGFRL;PHLDB2;PI16;PPM1K;RNF24;SCARA3;TLN2;TMEM47;ZCCHC14
AdultCervix_Endothelial cell	ACKR1;APOL1;APOL3;CCL23;CD14;GALNT15;GPM6A;HLA-A;HLA-F;IFI16;ITGA2;JAK3;KMT2E;LEPR;MMRN1;ODF2L;PSMB8;SAMHD1;SPNS2;SYNE2;TBC1D4;TGFBR2;TNFSF10;VWF;ZNF217
AdultCervix_Stratified epithelial cell	ASAP2;C2orf68;CFH;HID1;ITGA2;ITGB8;S100A9;SPNS2;TNFSF10;ZNF217
AdultCervix_Basal cell	GBP6;HBEGF;ITGA2;ITGB4;PPL;S100A9;ZNF217
AdultCervix_T cell	AOAH;CCR5;FNBP1;GLCCI1;HLA-A;HLA-F;HLA-G;IL7R;LAIR1;RASAL3;RNF213;SYTL2;TGFBR2
