Tissue_cell_type_name	Developmental_stage	Organ_system	Tissue	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID	input_list_raw_p	input_list_permutated_p	input_list_rank_p	input_list_combined_p	input_list_combined_log10p	delabel
TS_Salivary_Gland_b cell	Adult	Digestive system	TS_Salivary_Gland	b cell	B cell	CL:0000236	Saliva-secreting gland	UBERON:0001044	0.552466076556121	0.763020072217991	0.820664206642066	0.919307286434353	0.0365392976493193	NA
Fetal_HCA_Adrenal_Adrenocortical cells	Fetal	Endocrine system	Fetal_HCA_Adrenal	Adrenocortical cells	Cortical cell of adrenal gland	CL:0002097	Adrenal gland	UBERON:0002369	0.620134366617241	0.751409881727219	0.840221402214022	0.921704947602251	0.0354080812628479	NA
AdultArtery_Endothelial cell	Adult	Cardiovascular system	AdultArtery	Endothelial cell	Endothelial cell	CL:0000115	Artery	UBERON:0001637	0.639262671296184	0.748116210666008	0.844280442804428	0.921828703357894	0.0353497731958025	NA
FetalSkin_Fetal skeletal muscle cell	Fetal	Integumentary system	FetalSkin	Fetal skeletal muscle cell	Cell of skeletal muscle	CL:0000188	Skin of body	UBERON:0002097	0.713159325830704	0.733047665560963	0.864944649446495	0.922938613898506	0.0348271836238304	NA
Placenta_Erythroid cell	Adult	Reproductive system	Placenta	Erythroid cell	Erythroid lineage cell	CL:0000764	Placenta	UBERON:0001987	0.712648993558794	0.73630016573391	0.862730627306273	0.923476548028576	0.0345741291258562	NA
AdultHeart_T cell	Adult	Cardiovascular system	AdultHeart	T cell	T cell	CL:0000084	Heart	UBERON:0000948	0.75901941883407	0.727119057650782	0.874538745387454	0.923777995517752	0.0344323869033215	NA
AdultAscendingColon_B cell	Adult	Digestive system	AdultAscendingColon	B cell	B cell	CL:0000236	Ascending colon	UBERON:0001156	0.751309880262035	0.727818962751289	0.87380073800738	0.923811926529366	0.0344164352563297	NA
AdultFallopiantube_Stratified epithelial cell	Adult	Reproductive system	AdultFallopiantube	Stratified epithelial cell	Epithelial cell	CL:0000066	Fallopian tube	UBERON:0003889	0.695839478738233	0.74317570407419	0.85719557195572	0.924299001854974	0.0341875159551864	NA
Fetal_HCA_Spleen_Erythroblasts	Fetal	Lymphatic system	Fetal_HCA_Spleen	Erythroblasts	Erythroblast	CL:0000765	Spleen	UBERON:0002106	0.742487604257484	0.733953425102796	0.869741697416974	0.92488519729343	0.0339121713433481	NA
FetalBrain_Fetal epithelial progenitor	Fetal	Nervous system	FetalBrain	Fetal epithelial progenitor	Epithelial fate stem cell	CL:0000036	Brain	UBERON:0000955	0.734638685001676	0.736464849286971	0.86789667896679	0.925255204486238	0.0337384633543882	NA
AdultSigmoidColon_T cell	Adult	Digestive system	AdultSigmoidColon	T cell	T cell	CL:0000084	Sigmoid colon	UBERON:0001159	0.747662098731811	0.732841811119638	0.872324723247232	0.925300237606291	0.0337173263107732	NA
Lake_2017_FrontalCortex_Ex3e	Adult	Nervous system	Lake_2017_FrontalCortex	Ex3e	Excitatory neuron	CL:0008030	Frontal cortex	UBERON:0001870	0.614402169910585	0.762978901329726	0.838376383763838	0.925473478102072	0.03363602259337	NA
TS_Large_Intestine_plasma cell	Adult	Digestive system	TS_Large_Intestine	plasma cell	Plasma cell	CL:0000786	Large intestine	UBERON:0000059	0.551980488780928	0.781917509931694	0.818081180811808	0.92547727936879	0.0336342387866931	NA
FetalIntestine_Enterocyte progenitor	Fetal	Digestive system	FetalIntestine	Enterocyte progenitor	Enterocyte	CL:0000584	Intestine	UBERON:0000160	0.701303262381965	0.746181178917546	0.859040590405904	0.926069216579957	0.0333565519192406	NA
AdultEsophagus_B cell	Adult	Digestive system	AdultEsophagus	B cell	B cell	CL:0000236	Esophagus	UBERON:0001043	0.707628463666868	0.744122634504288	0.861623616236162	0.926137559100595	0.0333245028197603	NA
FetalKidney_Primordial germ cell	Fetal	Urinary system	FetalKidney	Primordial germ cell	Primordial germ cell	CL:0000670	Kidney	UBERON:0002113	0.729367978304528	0.740787792554811	0.865682656826568	0.926196888166854	0.0332966824807934	NA
