"","gene.id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","design"
"1103","Lair1",26.6493207190978,1.16733999403691,0.357454614561296,3.26570128481791,0.00109193369900501,0.176311864927134,"~diet"
"1104","Rpl23a-ps3",9.95235411758049,1.16528260823585,0.552491147423861,2.10914258747728,0.0349322757986991,0.361767510657423,"~diet"
"1105","Rasgrp1",22.8806708522276,1.16473958272947,0.568895143469397,2.04737128818912,0.040621643244958,0.380945104204327,"~diet"
"1106","Melk",7.47240885347676,1.1643251259819,0.509517265946968,2.28515342619044,0.0223038330155994,0.318413260919959,"~diet"
"1107","Pcdh20",18.2633097294564,1.16349794871359,0.392039482309231,2.96780809386911,0.00299931526938951,0.185529747416267,"~diet"
"1108","Eif3s6-ps2",1.16613348655782,1.16299161231018,0.985102059138649,1.18057982066048,0.237769683905174,NA,"~diet"
"1109","Gm4473",1.34900533100805,1.1629382676321,1.33184440783713,0.873178774328954,0.382565642243108,0.780051590071574,"~diet"
"1110","F630028O10Rik",27.7550060719198,1.16276901045667,0.383121202471215,3.03498997955885,0.00240543678659613,0.183892489030882,"~diet"
"1111","1700008O03Rik",0.13978493425254,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1112","1700029J03Rik",0.143943544796376,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1113","1700060C20Rik",0.143943544796376,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1114","1700110C19Rik",0.130135430277215,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1115","2010013B24Rik",0.143943544796376,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1116","4933424M12Rik",0.158505275699009,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1117","4933427G23Rik",0.158505275699009,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1118","BC055111",0.130135430277215,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1119","Banf2os",0.15019289371442,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1120","Ces2d-ps",0.130135430277215,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1121","Cyp4x1os",0.130135430277215,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1122","D930028M14Rik",0.130135430277215,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1123","Dmrt1",0.148476543980407,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1124","Gcm2",0.134738135116936,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1125","Gm10840",0.143943544796376,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1126","Gm11634",0.157647100832003,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1127","Gm13397",0.130135430277215,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1128","Gm13641",0.130135430277215,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1129","Gm15467",0.134738135116936,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1130","Gm15574",0.143943544796376,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1131","Gm15848",0.143943544796376,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1132","Gm27014",0.130135430277215,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1133","Gm6455",0.130135430277215,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1134","Gm6605",0.15019289371442,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1135","Gm7457",0.157647100832003,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1136","Grm6",0.143943544796376,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1137","Ighv1-63",0.139340839956656,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1138","Ighv9-2",0.130135430277215,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1139","Igkv14-100",0.139340839956656,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1140","Igkv4-78",0.130135430277215,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1141","Olfr1336",0.130135430277215,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1142","Olfr1368",0.130135430277215,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1143","Olfr755-ps1",0.139340839956656,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1144","RP23-327M13.4",0.157647100832003,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1145","RP23-380F8.1",0.139340839956656,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1146","RP24-120B18.6",0.157647100832003,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1147","RP24-260D21.2",0.153937423687134,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1148","Trav15n-1",0.130135430277215,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1149","2010110E17Rik",0.144609686240202,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1150","2310043O21Rik",0.143876087603907,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1151","4930461C15Rik",0.144609686240202,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1152","4932443I19Rik",0.139295868495009,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1153","A130023I24Rik",0.144609686240202,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1154","Abcb5",0.143876087603907,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1155","Cyp26c1",0.1519169487766,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1156","E130304I02Rik",0.139295868495009,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1157","Gm10535",0.144609686240202,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1158","Gm11189",0.1495916188232,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
"1159","Gm12320",0.143876087603907,1.16248736711076,3.1723074784537,0.366448515790595,0.714030423157014,NA,"~diet"
