tissue,name,sample.clean,diet,med.adj.ic,n_obs
Liver,"(1aR,2R,3S,11cS)-6,11-Dimethyl-1a,2,3,11c-tetrahydrotetrapheno[1,2-b]oxirene-2,3-diol",1M6,ID,433396.807625251,1
Liver,"(1aR,2R,3S,11cS)-6,11-Dimethyl-1a,2,3,11c-tetrahydrotetrapheno[1,2-b]oxirene-2,3-diol",1M7,ID,435566.293797063,1
Liver,"(1aR,2R,3S,11cS)-6,11-Dimethyl-1a,2,3,11c-tetrahydrotetrapheno[1,2-b]oxirene-2,3-diol",1M9,ID,111883.137610253,1
Liver,"(1aR,2R,3S,11cS)-6,11-Dimethyl-1a,2,3,11c-tetrahydrotetrapheno[1,2-b]oxirene-2,3-diol",2M16,CD,41598.7968998128,1
Liver,"(1aR,2R,3S,11cS)-6,11-Dimethyl-1a,2,3,11c-tetrahydrotetrapheno[1,2-b]oxirene-2,3-diol",2M17,CD,594150.372545647,1
Liver,"(1aR,2R,3S,11cS)-6,11-Dimethyl-1a,2,3,11c-tetrahydrotetrapheno[1,2-b]oxirene-2,3-diol",2M20,CD,614797.845252585,1
Liver,"(1aR,2R,3S,11cS)-6,11-Dimethyl-1a,2,3,11c-tetrahydrotetrapheno[1,2-b]oxirene-2,3-diol",2M22,ID,686859.19411059,1
Liver,"(1aR,2R,3S,11cS)-6,11-Dimethyl-1a,2,3,11c-tetrahydrotetrapheno[1,2-b]oxirene-2,3-diol",2M23,ID,637095.34791519,1
Liver,"(1aR,2R,3S,11cS)-6,11-Dimethyl-1a,2,3,11c-tetrahydrotetrapheno[1,2-b]oxirene-2,3-diol",2M26,ID,700553.849959938,1
Liver,"(1aR,2R,3S,11cS)-6,11-Dimethyl-1a,2,3,11c-tetrahydrotetrapheno[1,2-b]oxirene-2,3-diol",2M31,ID,654050.445223597,1
Liver,"(1aR,2R,3S,11cS)-6,11-Dimethyl-1a,2,3,11c-tetrahydrotetrapheno[1,2-b]oxirene-2,3-diol",2M33,ID,536518.136797861,1
Liver,"(2E,4E)-2,4-Hexadienoic acid",1M1,CD,78389.0984337973,1
Liver,"(2E,4E)-2,4-Hexadienoic acid",1M10,CD,59269.7279142631,1
Liver,"(2E,4E)-2,4-Hexadienoic acid",1M11,CD,187339.157922205,1
Liver,"(2E,4E)-2,4-Hexadienoic acid",1M2,CD,168796.37209512,1
Liver,"(2E,4E)-2,4-Hexadienoic acid",1M4,CD,194715.294962707,1
Liver,"(2E,4E)-2,4-Hexadienoic acid",1M5,ID,97045.9465821174,1
Liver,"(2E,4E)-2,4-Hexadienoic acid",1M6,ID,65801.7676323658,1
Liver,"(2E,4E)-2,4-Hexadienoic acid",1M7,ID,210398.660230982,1
Liver,"(2E,4E)-2,4-Hexadienoic acid",1M9,ID,111370.46908789,1
Liver,"(2E,4E)-2,4-Hexadienoic acid",2M16,CD,118796.859056993,1
Liver,"(2E,4E)-2,4-Hexadienoic acid",2M17,CD,87445.7259804749,1
Liver,"(2E,4E)-2,4-Hexadienoic acid",2M20,CD,122503.502491171,1
Liver,"(2E,4E)-2,4-Hexadienoic acid",2M22,ID,257531.145833042,1
Liver,"(2E,4E)-2,4-Hexadienoic acid",2M23,ID,360828.433879037,1
Liver,"(2E,4E)-2,4-Hexadienoic acid",2M26,ID,129740.363283308,1
Liver,"(2E,4E)-2,4-Hexadienoic acid",2M31,ID,187627.691764413,1
Liver,"(2E,4E)-2,4-Hexadienoic acid",2M33,ID,265554.017296134,1
Liver,"(2E,4Z)-N-Isobutyl-2,4-octadecadienamide",1M1,CD,3952370.29961171,1
Liver,"(2E,4Z)-N-Isobutyl-2,4-octadecadienamide",1M10,CD,1218245.45418117,1
Liver,"(2E,4Z)-N-Isobutyl-2,4-octadecadienamide",1M11,CD,8349811.1087961,1
Liver,"(2E,4Z)-N-Isobutyl-2,4-octadecadienamide",1M2,CD,2290414.19932516,1
Liver,"(2E,4Z)-N-Isobutyl-2,4-octadecadienamide",1M4,CD,2982194.51836333,1
Liver,"(2E,4Z)-N-Isobutyl-2,4-octadecadienamide",1M5,ID,1943557.47592996,1
Liver,"(2E,4Z)-N-Isobutyl-2,4-octadecadienamide",1M6,ID,2510357.03366877,1
Liver,"(2E,4Z)-N-Isobutyl-2,4-octadecadienamide",1M7,ID,1185804.25915586,1
Liver,"(2E,4Z)-N-Isobutyl-2,4-octadecadienamide",1M9,ID,2496534.50619421,1
Liver,"(2E,4Z)-N-Isobutyl-2,4-octadecadienamide",2M16,CD,1559573.97482504,1
Liver,"(2E,4Z)-N-Isobutyl-2,4-octadecadienamide",2M17,CD,1702897.69891331,1
Liver,"(2E,4Z)-N-Isobutyl-2,4-octadecadienamide",2M20,CD,1644372.43768222,1
Liver,"(2E,4Z)-N-Isobutyl-2,4-octadecadienamide",2M22,ID,3272101.79420145,1
Liver,"(2E,4Z)-N-Isobutyl-2,4-octadecadienamide",2M23,ID,3122852.26503084,1
Liver,"(2E,4Z)-N-Isobutyl-2,4-octadecadienamide",2M26,ID,2508383.56291867,1
Liver,"(2E,4Z)-N-Isobutyl-2,4-octadecadienamide",2M31,ID,3209709.39450853,1
Liver,"(2E,4Z)-N-Isobutyl-2,4-octadecadienamide",2M33,ID,1816124.58871136,1
Liver,"(2E,5Z,7E)-Decatrienoylcarnitine",1M1,CD,31160972.2470206,1
Liver,"(2E,5Z,7E)-Decatrienoylcarnitine",1M10,CD,17398443.5763784,1
Liver,"(2E,5Z,7E)-Decatrienoylcarnitine",1M11,CD,19398712.7088679,1
Liver,"(2E,5Z,7E)-Decatrienoylcarnitine",1M2,CD,18935662.6353071,1
Liver,"(2E,5Z,7E)-Decatrienoylcarnitine",1M4,CD,21844408.7762641,1
Liver,"(2E,5Z,7E)-Decatrienoylcarnitine",1M5,ID,36052669.9856074,1
Liver,"(2E,5Z,7E)-Decatrienoylcarnitine",1M6,ID,29349536.2818234,1
Liver,"(2E,5Z,7E)-Decatrienoylcarnitine",1M7,ID,28003247.8691408,1
Liver,"(2E,5Z,7E)-Decatrienoylcarnitine",1M9,ID,32087163.4768106,1
Liver,"(2E,5Z,7E)-Decatrienoylcarnitine",2M16,CD,25934025.5466036,1
Liver,"(2E,5Z,7E)-Decatrienoylcarnitine",2M17,CD,39146140.1540952,1
Liver,"(2E,5Z,7E)-Decatrienoylcarnitine",2M20,CD,20458925.3125634,1
Liver,"(2E,5Z,7E)-Decatrienoylcarnitine",2M22,ID,32550780.7021481,1
Liver,"(2E,5Z,7E)-Decatrienoylcarnitine",2M23,ID,22452132.6886048,1
Liver,"(2E,5Z,7E)-Decatrienoylcarnitine",2M26,ID,32508909.7084536,1
Liver,"(2E,5Z,7E)-Decatrienoylcarnitine",2M31,ID,13080425.9101229,1
Liver,"(2E,5Z,7E)-Decatrienoylcarnitine",2M33,ID,33493101.0520317,1
