CJ,HMDB Name,Formula,RT,Detected.in,confirmation,HMDB ID,other ID,Classification
CJ1325,"6-({8,8-dimethyl-2-oxo-4-phenyl-2h,8h-pyrano[2,3-f]chromen-5-yl}oxy)-3,4,5-trihydroxyoxane-2-carboxylic acid isomer",C26H24O10,,,,,,
CJ1326,"6-(1-carboxy-1-methylethoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid isomer",C10H16O9,,,,,,
CJ1327,"6-(2-{8,8-dimethyl-2-oxo-2h,8h-pyrano[2,3-f]chromen-3-yl}-5-methoxyphenoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid isomer",C27H26O11,,,,,,
CJ1328,"6-acetyl-1,2,3,4-tetrahydropyridine",C7H11NO,,,,HMDB0030345,,
CJ1329,6-a-hydroxytestosterone  isomer,C19H28O3,,,,,,
CJ1330,6-aminonicotinamide,C6H7N3O,,,,HMDB0247034,,"Nucleosides, nucleotides, and analogues  "
CJ1331,6-beta-hydroxycortisol isomer,C21H30O6,,,,,,
CJ1332,6-deoxohomodolichosterone,C29H50O4,,,,HMDB0034430,,
CJ1333,6-keto-decanoylcarnitine,C17H31NO5,,,,HMDB0013202,,carnitine
CJ1334,6-methylnicotinamide,C8H10N2O,,,,HMDB0013704,,"Nucleosides, nucleotides, and analogues  "
CJ1335,6-methyloctanoyl-coa isomer,C30H48N7O17P3S,,,,,,Glycolysis
CJ1336,6-phosphonoglucono-d-lactone,C6H11O9P,,,,HMDB0001127,,
CJ1337,"7-(4-methylpiperazino)pyrimido[4,5-d]pyrimidine-2,4(1h,3h)-dithione isomer",C11H14N6S2,,,,,,
CJ1338,7-beta-d-glucopyranosyloxybutylidenephthalide,C18H22O8,,,,HMDB0034752,,
CJ1339,"7-chloro-2-(3,4-dimethoxyphenyl)-5,8-dihydroxy-3,6-dimethoxy-4h-chromen-4-one isomer",C19H17ClO8,,,,,,
CJ1340,7-ethoxycoumarin  isomer,C11H10O3,,,,,,
CJ1341,7-hydroxy-2-methyl-4-oxo-4h-1-benzopyran-5-carboxylic acid 7-glucoside,C17H18O10,,,,HMDB0036377,,
CJ1342,7-ketocholesterol,C27H44O2,,,,HMDB0000501,,Cholesterols and derivatives  
CJ1343,"7-methoxy-1-methyl-3h,4h,9h-pyrido[3,4-b]indole isomer",C13H14N2O,,,,,,
CJ1344,7-methyl-3-oxooctanoyl-coa isomer,C30H50N7O18P3S,,,,,,Glycolysis
CJ1345,7-sulfocholic acid,C24H40O8S,,,,HMDB0002421,,Bile acids 
CJ1346,8-acetylegelolide,C16H20O6,,,,HMDB0037772,,
CJ1347,"8-chloro-6-(trifluoromethyl)imidazo[1,2-a]pyridine-2-carbohydrazide isomer",C9H6ClF3N4O,,,,,,
CJ1348,abscisic acid,C15H20O4,,,,HMDB0036093,,
CJ1349,acetoacetyl-coa,C25H40N7O18P3S,,,,HMDB0001484,,CoAs  
CJ1350,acetyl methylcarbamoyl cysteine isomer,C7H12N2O4S,,,,,,
CJ1351,acetyl-2-sulfoethyl-asparagine isomer,C8H14N2O7S,,,,,,
CJ1352,acetyl-coa,C23H38N7O17P3S,,,,HMDB0001206,,CoAs  
CJ1353,achalensolide  isomer,C15H18O3,,,,,,
CJ1354,a-cmbhc isomer,C19H28O4,,,,,,
CJ1355,adynerin  isomer,C30H44O7,,,,,,
CJ1356,aflatoxin b1,C17H12O6,,,,HMDB0006552,,
CJ1357,aica-riboside,C9H14N4O5,,,,HMDB0062179,,
CJ1358,salbutamol,C13H21NO3,,,,HMDB0001937,,
CJ1359,allantoic acid,C4H8N4O4,,,,HMDB0001209,,Amino acids related and peptides
CJ1360,"alpha-(1,2-dihydroxyethyl)-1,2,3,4-tetrahydro-7-hydroxy-9-methoxy-3,4-dioxocyclopenta[c][1]benzopyran-6-acetaldehyde",C17H16O8,,,,HMDB0062442,,
CJ1361,alpha-dihydroartemisinin isomer,C15H24O5,,,,,,
CJ1362,alpha-ketoisovaleric acid,C5H8O3,,,,HMDB0000019,,
CJ1363,a-l-threo-4-hex-4-enopyranuronosyl-d-galacturonic acid isomer,C12H16O12,,,,,,
CJ1364,aminohydroxyphenylalanine  isomer,C9H12N2O3,,,,,,
CJ1365,aminoisophthalic acid isomer,C8H7NO4,,,,,,
CJ1366,aminomalonic acid,C3H5NO4,,,,HMDB0001147,,Amino acids related and peptides
CJ1367,aminopentyl acetamide isomer,C7H16N2O,,,,,,
CJ1368,aminophosphonopropionic acid isomer,C3H8NO5P,,,,,,
CJ1369,alpha-amyrone,C30H48O,,,,HMDB0036659,,
CJ1370,annoglabasin f,C22H34O5,,,,HMDB0035508,,
CJ1371,2-aminobenzoic acid,C7H7NO2,,,,HMDB0001123,,Microbiota related
CJ1372,cysteinylglycine,C5H10N2O3S,14.06,Both,,HMDB0000078,,Amino acids related and peptides
CJ1373,apigenin 7-sulfate,C15H10O8S,,,,HMDB0037851,,
CJ1374,aprobarbital,C10H14N2O3,,,,HMDB0015441,,
CJ1375,arborinine,C16H15NO4,,,,HMDB0030177,,
CJ1376,arg ala isomer,C9H19N5O3,,,,,,Amino acids related and peptides
CJ1377,arg thr arg asn  isomer,C31H39N5O4,,,,,,Amino acids related and peptides
CJ1378,arginylglutamic acid,C11H21N5O5,,,,HMDB0028708,,Amino acids related and peptides
CJ1379,arginylhydroxyproline,C11H21N5O4,,,,HMDB0028710,,Amino acids related and peptides
CJ1380,artabsinolide a,C15H20O5,,,,HMDB0035620,,
CJ1381,arteether  isomer,C17H28O5,,,,,,
CJ1382,asparaginylglutamic acid,C9H15N3O6,,,,HMDB0028730,,Amino acids related and peptides
CJ1383,asp lys isomer,C10H19N3O5,,,,,,Amino acids related and peptides
CJ1384,asparaginylhydroxyproline,C9H15N3O5,,,,HMDB0028732,,Amino acids related and peptides
CJ1385,asparagoside a,C33H54O8,,,,HMDB0030046,,
CJ1386,aspartylglycosamine,C12H21N3O8,,,,HMDB0000489,,Carbohydrates and carbohydrate conjugates  
CJ1387,athyriol  isomer,C14H10O6,,,,,,
CJ1388,austalide l,C25H32O6,,,,HMDB0030158,,
CJ1389,avenanthramide e  isomer,C17H15NO5,,,,,,
CJ1390,azadirone isomer,C21H41O7P,,,,,,
CJ1391,barbital,C8H12N2O3,,,,HMDB0248870,,
CJ1392,bb-22 3-carboxyindole metabolite isomer,C16H19NO2,,,,,,
CJ1393,behenoylglycine,C24H47NO3,,,,HMDB0013219,,Amino acids related and peptides
CJ1394,oxybuprocaine,C17H28N2O3,,,,HMDB0015029,,
CJ1395,quinone,C6H4O2,,,,HMDB0003364,,
CJ1396,benzyl b-l-arabinopyranoside isomer,C13H18O4,,,,,,
CJ1397,(r)-2-benzylsuccinate,C11H12O4,,,,HMDB0012127,,
CJ1398,bergaptol,C11H6O4,,,,HMDB0013679,,
CJ1399,betamethasone,C22H29FO5,,,,HMDB0014586,,Steroids and steroid derivatives  
CJ1400,bethanechol,C7H16N2O2,,,,HMDB0015154,,
CJ1401,b-hydroxyisobutyryl-coa isomer,C25H42N7O18P3S,,,,,,Glycolysis
CJ1402,bicine,C6H13NO4,,,,HMDB0011727,,Amino acids related and peptides
CJ1403,biotin amide,C10H17N3O2S,,,,HMDB0001458,,
CJ1404,bisnorcholic acid,C22H36O5,,,,HMDB0002082,,Bile acids 
CJ1405,bisoprolol,C18H31NO4,,,,HMDB0014750,,
CJ1406,bis-tert-butoxycarbonyl-amino-oxy-acetic acid  isomer,C12H21NO7,,,,,,
CJ1407,blumenol c glucoside,C19H32O7,,,,HMDB0040668,,FA
CJ1408,b-octylglucoside  isomer,C14H28O6,,,,,,
CJ1409,bosentan,C27H29N5O6S,,,,HMDB0014699,,
CJ1410,bt2(sigma) isomer,C9H5ClO2S,,,,,,
CJ1411,budesonide,C25H34O6,,,,HMDB0015353,,Steroids and steroid derivatives  
CJ1412,butyl isodecyl phthalate  isomer,C22H34O4,,,,,,
CJ1413,butyryl-coa,C25H42N7O17P3S,,,,HMDB0001088,,CoAs  
CJ1414,cabergoline,C26H37N5O2,,,,HMDB0014393,,
CJ1415,calcitriol,C27H44O3,,,,HMDB0001903,,
CJ1416,calonectrin,C19H26O6,,,,HMDB0034915,,
CJ1417,canrenone,C22H28O3,,,,HMDB0003033,,
CJ1418,caproylcholine,C11H23NO2,,,,HMDB0013224,,
CJ1419,carbamazepine-o-quinone,C15H10N2O3,,,,HMDB0060566,,
CJ1420,carboxymethyl-glutamate  isomer,C7H11NO6,,,,,,
CJ1421,carnosol,C20H26O4,,,,HMDB0002121,,
CJ1422,chaparrinone  isomer,C20H26O7,,,,,,
CJ1423,cholesterol sulfate,C27H46O4S,,,,HMDB0000653,,Cholesterols and derivatives  
CJ1424,chondroitin,C14H21NO11,,,,HMDB0000629,,
CJ1425,cibaric acid,C18H28O5,,,,HMDB0038580,,
CJ1426,cincassiol b,C20H32O8,,,,HMDB0036855,,
CJ1427,citronellyl propionate,C13H24O2,,,,HMDB0037226,,FA
CJ1428,citrusin e,C17H24O9,,,,HMDB0039234,,
CJ1429,ubiquinone-4,C29H42O4,,,,HMDB0006710,,
CJ1430,corey pg-lactone diol  isomer,C15H24O4,,,,,,
CJ1431,corosolic acid  isomer,C30H48O4,,,,,,
CJ1432,cortisol 21-sulfate,C21H30O8S,,,,HMDB0062779,,Steroids and steroid derivatives  
CJ1433,coscinalactone  isomer,C25H36O3,,,,,,
CJ1434,cpa(18:0/0:0),C21H41O6P,,,,HMDB0007004,,
CJ1435,creatine riboside,C9H17N3O6,,,,HMDB0240254,,
CJ1436,cresol sulfate isomer,C7H8O4S,,,,,,
CJ1437,cucurbic acid,C12H20O3,,,,HMDB0029388,,
CJ1438,cuminaldehyde,C10H12O,,,,HMDB0002214,,
CJ1439,cyclocalopin f,C15H18O6,,,,HMDB0039825,,
CJ1440,cyclodopa glucoside,C15H19NO9,,,,HMDB0029833,,Amino acids related and peptides
CJ1441,cyclovariegatin,C18H10O8,,,,HMDB0029682,,
CJ1442,cystathionine ketimine,C7H9NO4S,,,,HMDB0002015,,Amino acids related and peptides
CJ1443,cysteine-glutathione disulphide isomer,C13H22N4O8S2,,,,,,
