CJ,HMDB Name,Formula,RT,Detected.in,confirmation,HMDB ID,other ID,Classification
CJ0001,ciliatine,C2H8NO3P,15.16,Both,Sigma,HMDB0011747,,
CJ0002,"1,3-diaminopropane",C3H10N2,,not detected in both,Sigma,HMDB0000002,,
CJ0003,10-hydroxydecanoic acid,C10H20O3,2.88,Nega,Sigma,HMDB0244272,,FA
CJ0004,17alpha-estradiol,C18H24O2,2.43,Both,Sigma,HMDB0000429,,Steroids and steroid derivatives  
CJ0005,1-aminocyclopropanecarboxylic acid,C4H7NO2,12.6,Both,Sigma,HMDB0036458,,Amino acids related and peptides
CJ0006,1-hydroxy-2-naphthoate,C11H8O3,1.99,Both,Sigma,,METPA0374,
CJ0007,1-methyladenosine,C11H15N5O4,5.08,Both,Sigma,HMDB0003331,,"Nucleosides, nucleotides, and analogues  "
CJ0008,1-methylhistidine,C7H11N3O2,18.23,Both,Sigma,HMDB0000001,,Amino acids related and peptides
CJ0009,1-methylnicotinamide,C7H9N2O,15.64,Posi,Sigma,HMDB0000699,,"Nucleosides, nucleotides, and analogues  "
CJ0010,1-phenylethanol,C8H10O,2.51,Posi,Sigma,HMDB0032619,,
CJ0011,"2,3-butanediol",C4H10O2,7.65,Posi,Sigma,HMDB0003156,,
CJ0012,"2,3-diaminopropionic acid",C3H8N2O2,18.19,Both,Sigma,HMDB0002006,,Amino acids related and peptides
CJ0013,2-pyrocatechuic acid,C7H6O4,2.4,Nega,Sigma,HMDB0000397,,
CJ0014,"2',4'-dihydroxyacetophenone",C8H8O3,2.51,Both,Sigma,HMDB0029659,,
CJ0015,lumazine,C6H4N4O2,4.64,Both,Sigma,HMDB0254198,,
CJ0016,gentisic acid,C7H6O4,9.62,Nega,Sigma,HMDB0000152,,Microbiota related
CJ0017,gentisic acid,C7H6O4,2.38,Nega,Sigma,HMDB0000152,,Microbiota related
CJ0018,"2,5-dimethylpyrazine",C6H8N2,9.04,Posi,Sigma,HMDB0035289,,
CJ0019,"2,6-dihydroxypyridine",C5H5NO2,6.68,Both,Sigma,,METPA0354,
CJ0020,25-hydroxycholesterol,C27H46O2,4.22,Posi,Sigma,HMDB0006247,,Cholesterols and derivatives  
CJ0021,n-acetyl-b-glucosaminylamine,C8H16N2O5,12.61,Both,Sigma,HMDB0001104,,
CJ0022,2-aminoisobutyric acid,C4H9NO2,13.11,Both,Sigma,HMDB0001906,,Amino acids related and peptides
CJ0023,2-aminophenol,C6H7NO,2.6,Both,Sigma,,METPA0236,
CJ0024,2-deoxy-d-glucose,C6H12O5,8.95,Both,Sigma,,YMDB00294,Carbohydrates and carbohydrate conjugates  
CJ0025,(â±)-2-hydroxy-4-(methylthio)butanoic acid,C5H10O3S,2.87,Both,Sigma,HMDB0037115,,FA
CJ0026,2-hydroxybutyric acid,C4H8O3,4.62,Nega,Sigma,HMDB0000008,,
CJ0027,ortho-hydroxyphenylacetic acid,C8H8O3,2.68,Nega,Sigma,HMDB0000669,,
CJ0028,2-hydroxypyridine,C5H5NO,3.64,Both,Sigma,HMDB0013751,,
CJ0029,2-keto-3-deoxy-d-gluconic acid,C6H10O6,9.82,Both,Sigma,HMDB0001353,,
CJ0030,2-methoxyethanol,C3H8O2,,not detected in both,Sigma,HMDB0245203,,
CJ0031,(â±)-2-methylbutanal,C5H10O,2.52,Posi,Sigma,HMDB0031526,,
CJ0032,2-methylcitric acid,C7H710O7,,not detected in both,Sigma,HMDB0000379,,
CJ0033,2-methylglutaric acid,C6H10O4,12.05,Nega,Sigma,HMDB0000422,,FA
CJ0034,citraconic acid,C5H6O4,6.63,Nega,Sigma,HMDB0000634,,FA
CJ0035,2-methylpropanal,C4H8O,2.55,Both,Sigma,HMDB0031243,,
CJ0036,2-ketobutyric acid,C4H6O3,2.62,Posi,Sigma,HMDB0000005,,
CJ0037,2-phosphoglyceric acid,C3H7O7P,14.88,Both,Sigma,HMDB0000362,,Glycolysis
CJ0038,acrylic acid,C3H4O2,5.69,Nega,Sigma,HMDB0031647,,
CJ0039,quinaldic acid,C10H7NO2,2.89,Both,Sigma,HMDB0000842,,Quinoline carboxylic acids  
CJ0040,2-undecanone,C11H22O,2.39,Posi,Sigma,HMDB0033713,,
CJ0041,3-(2-hydroxyphenyl)propanoic acid,C9H10O3,2.46,Nega,Sigma,HMDB0033752,,
CJ0042,4-hydroxyphenylpyruvic acid,C9H8O4,2.59,Nega,Sigma,HMDB0000707,,
CJ0043,protocatechuic acid,C7H6O4,2.37,Nega,Sigma,HMDB0001856,,Microbiota related
CJ0044,"3,4-dihydroxymandelic acid",C8H8O5,7.725,not detected in both,Sigma,HMDB0001866,,
CJ0045,"3,4-dihydroxybenzeneacetic acid",C8H8O4,2.71,Both,Sigma,HMDB0001336,,
CJ0046,"3,4-dihydroxyphenylglycol",C8H10O4,4.05,Nega,Sigma,HMDB0000318,,
CJ0047,"3,5-diiodothyronine",C15H13I2NO4,2.97,Nega,Sigma,HMDB0000582,,Amino acids related and peptides
CJ0048,"3,5-diiodo-l-tyrosine",C9H9I2NO3,9.75,Both,Sigma,HMDB0003474,,Amino acids related and peptides
CJ0049,tetrahydrocortisol,C21H34O5,2.89,Nega,Sigma,HMDB0000949,,Steroids and steroid derivatives  
CJ0050,3-amino-4-hydroxybenzoic acid,C7H7NO3,8.4,Nega,Sigma,HMDB0304941,,Microbiota related
CJ0051,mesalazine,C7H7NO3,7.39,Posi,Sigma,HMDB0014389,,
CJ0052,3-dehydroshikimate,C7H8O5,9.62,Nega,Sigma,,YMDB00390,
CJ0053,3-hydroxy-3-methylglutaryl-coa,C27H44N7O20P3S,14.53,Both,Sigma,HMDB0001375,,CoAs  
CJ0054,3-hydroxyanthranilic acid,C7H7NO3,7.69,Both,Sigma,HMDB0001476,,Microbiota related
CJ0055,2-hydroxybenzaldehyde,C7H6O2,2.51,Nega,Sigma,HMDB0034170,,Microbiota related
CJ0056,3-hydroxybenzoic acid,C7H6O3,3.8,Nega,Sigma,HMDB0002466,,Microbiota related
CJ0057,3-hydroxybenzyl alcohol,C7H8O2,2.73,Nega,Sigma,HMDB0059712,,
CJ0058,3-hydroxybutyric acid,C4H8O3,8,Posi,Sigma,HMDB0000357,,
CJ0059,3-hydroxymethylglutaric acid,C6H10O5,12.84,Nega,Sigma,HMDB0000355,,FA
CJ0060,3-hydroxyphenylacetic acid,C8H8O3,2.51,Both,Sigma,HMDB0000440,,
CJ0061,vanillylmandelic acid,C9H10O5,3.78,Nega,Sigma,HMDB0000291,,
CJ0062,3-methoxytyramine,C9H13NO2,9.93,Both,Sigma,HMDB0000022,,
CJ0063,3-methoxytyrosine,C10H13NO4,10.27,Both,Sigma,HMDB0001434,,Amino acids related and peptides
CJ0064,3-methyloxindole,C9H9NO,2.57,Both,Sigma,HMDB0304943,,
CJ0065,3-methyl-2-oxovaleric acid,C6H10O3,2.35,Nega,Sigma,HMDB0000491,,
CJ0066,3-methyladenine,C6H7N5,8.17,Both,Sigma,HMDB0011600,,"Nucleosides, nucleotides, and analogues  "
CJ0067,3-methylcrotonyl-coa,C26H42N7O17P3S,14.1,Both,Sigma,HMDB0001493,,CoAs  
CJ0068,3-methylglutaconic acid,C6H8O4,15.15,Both,Sigma,HMDB0000522,,FA
CJ0069,3-methylhistamine,C6H11N3,16.26,Posi,Sigma,HMDB0001861,,
CJ0070,3-methylhistidine,C7H11N3O2,14.26,Both,Sigma,HMDB0000479,,Amino acids related and peptides
CJ0071,3-nitrotyrosine,C9H10N2O5,12.07,Both,Sigma,HMDB0001904,,Amino acids related and peptides
CJ0072,3-phosphoglyceric acid,C3H7O7P,14.77,Both,Sigma,HMDB0000807,,Glycolysis
CJ0073,3-sulfinoalanine,C3H7NO4S,13.65,Both,Sigma,HMDB0000996,,Amino acids related and peptides
CJ0074,4-acetamidobutanoic acid,C6H11NO3,9.34,Both,Sigma,HMDB0003681,,Amino acids related and peptides
CJ0075,4-aminobenzoate,C7H7NO2,4.4,Nega,Sigma,HMDB0304171,,Microbiota related
CJ0076,4-hydroxycinnamic acid,C9H8O3,3.79,Nega,Sigma,HMDB0002035,,
CJ0077,4-guanidinobutanoic acid,C5H11N3O2,14.16,Both,Sigma,HMDB0003464,,Amino acids related and peptides
CJ0078,vanylglycol,C9H12O4,3.48,Nega,Sigma,HMDB0001490,,
CJ0079,4-hydroxybenzaldehyde,C7H6O2,2.6,Both,Sigma,HMDB0011718,,Microbiota related
CJ0080,4-hydroxybenzoic acid,C7H6O3,3.89,Both,Sigma,HMDB0000500,,Microbiota related
CJ0081,4-hydroxyphenylglycine,C8H9NO3,11.36,Nega,Sigma,HMDB0244973,,Amino acids related and peptides
CJ0082,imidazoleacetic acid,C5H6N2O2,11.85,Both,Sigma,HMDB0002024,,
CJ0083,4-methylcatechol,C7H8O2,3.78,Nega,Sigma,HMDB0000873,,
CJ0084,4-pyridoxic acid,C8H9NO4,2.26,Both,Sigma,HMDB0000017,,
CJ0085,quinoline-4-carboxylic acid,C10H7NO2,3.8,Both,Sigma,HMDB0257047,,Quinoline carboxylic acids  
CJ0086,dimethylbenzimidazole,C9H10N2,2.63,Both,Sigma,HMDB0003701,,
CJ0087,5-aminolevulinic acid,C5H9NO3,13.1,Both,Sigma,HMDB0001149,,Amino acids related and peptides
CJ0088,5-aminopentanoic acid,C5H11NO2,14.64,Both,Sigma,HMDB0003355,,Amino acids related and peptides
CJ0089,5'-deoxyadenosine,C10H13N5O3,4.54,Both,Sigma,HMDB0001983,,"Nucleosides, nucleotides, and analogues  "
CJ0090,5-hydroxyindoleacetic acid,C10H9NO3,5.39,Nega,Sigma,HMDB0000763,,Microbiota related
CJ0091,5-hydroxylysine,C6H14N2O3,17.47,Both,Sigma,HMDB0000450,,Amino acids related and peptides
CJ0092,5-hydroxy-l-tryptophan,C11H12N2O3,10.26,Both,Sigma,HMDB0000472,,Serotonins  
CJ0093,5-methylcytosine,C5H7N3O,7.87,Both,Sigma,HMDB0002894,,"Nucleosides, nucleotides, and analogues  "
CJ0094,delta-valerolactone,C5H8O2,2.78,Both,Sigma,HMDB0250981,,
CJ0095,pimelic acid,C7H12O4,13.01,Both,Sigma,HMDB0000857,,FA
CJ0096,6-hydroxydopamine,C8H11NO3,3.19,Posi,Sigma,HMDB0001537,,
CJ0097,6-hydroxynicotinic acid,C6H5NO3,9.46,Both,Sigma,HMDB0002658,,
CJ0098,6-phosphogluconic acid,C6H13O10P,14.88,Both,Sigma,HMDB0001316,,
CJ0099,7-dehydrocholesterol,C27H44O,2.24,Posi,Sigma,HMDB0000032,,Cholesterols and derivatives  
CJ0100,acetoacetic acid,C4H6O3,3.79,Nega,Sigma,HMDB0000060,,
CJ0101,acetoin,C4H8O2,13.75,Nega,Sigma,HMDB0003243,,
CJ0102,acetylcholine,C7H16NO2,,Posi,Sigma,HMDB0000895,,
CJ0103,acetylphosphate,C2H5O5P,14.03,Posi,Sigma,HMDB0001494,,
CJ0104,adenine,C5H5N5,6.71,Both,Sigma,HMDB0000034,,"Nucleosides, nucleotides, and analogues  "
CJ0105,adenosine,C10H13N5O4,7.68,Both,Sigma,HMDB0000050,,"Nucleosides, nucleotides, and analogues  "
CJ0106,"adenosine 2',3'-cyclic phosphate",C10H12N5O6P,8.54,Both,Sigma,HMDB0011616,,"Nucleosides, nucleotides, and analogues  "
CJ0107,"adenosine 3',5'-diphosphate",C10H15N5O10P2,14.79,Both,Sigma,HMDB0000061,,"Nucleosides, nucleotides, and analogues  "
CJ0108,adp,C10H15N5O10P2,14.69,,Sigma,HMDB0001341,,"Nucleosides, nucleotides, and analogues  "
CJ0109,adenosine diphosphate ribose,C15H23N5O14P2,14.3,Both,Sigma,HMDB0001178,,"Nucleosides, nucleotides, and analogues  "
CJ0110,adenosine triphosphate,C10H16N5O13P3,14.91,Both,Sigma,HMDB0000538,,"Nucleosides, nucleotides, and analogues  "
CJ0111,adenosine monophosphate,C10H14N5O7P,14.52,Both,Sigma,HMDB0000045,,"Nucleosides, nucleotides, and analogues  "
CJ0112,adipic acid,C6H10O4,12.39,Nega,Sigma,HMDB0000448,,FA
CJ0113,adp-glucose,C16H25N5O15P2,14.39,Both,Sigma,HMDB0006557,,Glycolysis
CJ0114,agmatine,C5H14N4,2.17,Posi,Sigma,HMDB0001432,,
CJ0115,aicar,C9H15N4O8P,14.47,Both,Sigma,HMDB0001517,,
CJ0116,allantoin,C4H6N4O3,8.16,Both,Sigma,HMDB0000462,,
CJ0117,allose,C6H12O6,11.96,Nega,Sigma,HMDB0001151,,Carbohydrates and carbohydrate conjugates  
CJ0118,l-allothreonine,C4H9NO3,13.81,Both,Sigma,HMDB0004041,,Amino acids related and peptides
CJ0119,alpha-hydroxyisobutyric acid,C4H8O3,4.37,Nega,Sigma,HMDB0000729,,
CJ0120,alpha-tocopherol,C29H50O2,2.25,Both,Sigma,HMDB0001893,,
CJ0121,aminoadipic acid,C6H11NO4,14.29,Both,Sigma,HMDB0000510,,Amino acids related and peptides
CJ0122,3-aminoisobutanoic acid,C4H9NO2,13.47,Both,Sigma,HMDB0003911,,Amino acids related and peptides
CJ0123,aniline,C6H7N,2.39,Nega,Sigma,HMDB0003012,,
CJ0124,2-aminobenzenesulfonic acid,C6H7NO3S,2.32,Both,Sigma,HMDB0304940,,
CJ0125,anserine,C10H16N4O3,14.9,Both,Sigma,HMDB0000194,,Amino acids related and peptides
CJ0126,arabinose,C5H10O5,9.38,Nega,Sigma,,YMDB00654,
CJ0127,l-arabitol,C5H12O5,10.48,Both,Sigma,HMDB0001851,,Carbohydrates and carbohydrate conjugates  
CJ0128,arachidic acid,C20H40O2,2.04,Nega,Sigma,HMDB0002212,,FA
CJ0129,l-arginine,C6H14N4O2,18.68,Both,Sigma,HMDB0000517,,Amino acids
CJ0130,ascorbic acid,C6H8O6,14.53,Both,Sigma,HMDB0000044,,
CJ0131,l-asparagine,C4H8N2O3,14.36,Both,Sigma,HMDB0000168,,Amino acids
CJ0132,l-aspartic acid,C4H7NO4,14.53,Both,Sigma,HMDB0000191,,Amino acids
CJ0133,azelaic acid,C9H16O4,12.01,Both,Sigma,HMDB0000784,,FA
CJ0134,benzaldehyde,C7H6O,2.46,Nega,Sigma,HMDB0006115,,
CJ0135,benzoic acid,C7H6O2,2.59,Nega,Sigma,HMDB0001870,,Microbiota related
CJ0136,benzyl alcohol,C7H8O,3.81,Both,Sigma,HMDB0003119,,
CJ0137,benzylamine,C7H9N,7.49,Posi,Sigma,HMDB0033871,,
CJ0138,beta-alanine,C3H7NO2,14.32,Both,Sigma,HMDB0000056,,Amino acids related and peptides
CJ0139,beta-carotene,C40H56,2.28,Posi,Sigma,HMDB0000561,,
CJ0140,beta-glycerophosphoric acid,C3H9O6P,12.61,Posi,Sigma,HMDB0002520,,
CJ0141,betaine,C5H11NO2,10.94,Both,Sigma,HMDB0000043,,Amino acids related and peptides
CJ0142,nad,C21H27N7O14P2,14.71,Both,Sigma,HMDB0000902,,"Nucleosides, nucleotides, and analogues  "
CJ0143,bilirubin,C33H36N4O6,,not detected in both,Sigma,HMDB0000054,,
CJ0144,biliverdin,C33H34N4O6,2.9,Both,Sigma,HMDB0001008,,
CJ0145,biotin,C10H16N2O3S,9.09,Both,Sigma,HMDB0000030,,
CJ0146,bis(2-ethylhexyl) phthalate,C24H38O4,2.04,Nega,Sigma,HMDB0249243,,
CJ0147,butyric acid,C4H8O2,11.65,Nega,Sigma,HMDB0000039,,FA
CJ0148,palmitic acid,C16H32O2,2.1,Nega,Sigma,HMDB0000220,,FA
CJ0149,stearic acid,C18H36O2,2.07,Nega,Sigma,HMDB0000827,,FA
CJ0150,oleic acid,C18H34O2,2.08,Both,Sigma,HMDB0000207,,FA
CJ0151,linoleic acid,C18H32O2,2.1,Nega,Sigma,HMDB0000673,,
CJ0152,nervonic acid,C24H46O2,2.01,Nega,Sigma,HMDB0002368,,FA
CJ0153,cadaverine,C5H14N2,2.87,Posi,Sigma,HMDB0002322,,
CJ0154,caffeic acid,C9H8O4,8.21,Nega,Sigma,HMDB0001964,,
CJ0155,caffeine,C8H10N4O2,2.87,Posi,Sigma,HMDB0001847,,"Nucleosides, nucleotides, and analogues  "
CJ0156,caprylic acid,C8H16O2,2.46,Nega,Sigma,HMDB0000482,,FA
CJ0157,carbamoyl phosphate,CH4NO5P,17.08,Posi,Sigma,HMDB0001096,,
CJ0158,dodecanoylcarnitine,C19H37NO4,2.9,Posi,Sigma,HMDB0002250,,carnitine
CJ0159,palmitoylcarnitine,C23H45NO4,2.78,Posi,Sigma,HMDB0000846,,carnitine
CJ0160,carnosine,C9H14N4O3,15.01,Both,Sigma,HMDB0000033,,Amino acids related and peptides
CJ0161,cdp-ethanolamine,C11H20N4O11P2,14.75,Both,Sigma,HMDB0001564,,
CJ0162,cellobiose,C12H22O11,14.8,Both,Sigma,HMDB0000055,,Carbohydrates and carbohydrate conjugates  
CJ0163,chenodeoxycholic acid,C24H40O4,3.82,Both,Sigma,HMDB0000518,,Bile acids 
CJ0164,cholic acid,C24H40O5,3.91,Both,Sigma,HMDB0000619,,Bile acids 
CJ0165,ce(18:1(9z)),C45H78O2,,not detected in both,Sigma,HMDB0000918,,Lipids
CJ0166,ce(16:0),C43H76O2,8.15,Posi,Sigma,HMDB0000885,,Lipids
CJ0167,choline,C5H14NO,,Posi,Sigma,HMDB0000097,,Amino acids related and peptides
CJ0168,cis-4-hydroxy-d-proline,C5H9NO3,14.36,Both,Sigma,HMDB0060460,,Amino acids related and peptides
CJ0169,citicoline,C14H26N4O11P2,14.72,Both,Sigma,HMDB0001413,,
CJ0170,citramalic acid,C5H8O5,13.42,Both,Sigma,HMDB0000426,,FA
CJ0171,citric acid,C6H8O7,14.24,Both,Sigma,HMDB0000094,,Glycolysis
CJ0172,citrulline,C6H13N3O3,14.58,Both,Sigma,HMDB0000904,,Amino acids related and peptides
CJ0173,coenzyme a,C21H36N7O16P3S,14.57,Posi,Sigma,HMDB0001423,,Glycolysis
CJ0174,coenzyme q10,C59H90O4,2.39,Both,Sigma,HMDB0001072,,
CJ0175,cortexolone,C21H30O4,2.59,Both,Sigma,HMDB0000015,,Steroids and steroid derivatives  
CJ0176,corticosterone,C21H30O4,2.59,Both,Sigma,HMDB0001547,,Steroids and steroid derivatives  
CJ0177,cortisol,C21H30O5,2.77,Both,Sigma,HMDB0000063,,Steroids and steroid derivatives  
CJ0178,cortisol 21-acetate,C23H32O6,2.44,Both,Sigma,,cas 50-03-3,
CJ0179,cortisone,C21H28O5,2.62,Both,Sigma,HMDB0002802,,Steroids and steroid derivatives  
CJ0180,creatine,C4H9N3O2,13.94,Both,Sigma,HMDB0000064,,Amino acids related and peptides
CJ0181,creatinine,C4H7N3O,7.6,Both,Sigma,HMDB0000562,,Amino acids related and peptides
CJ0182,cyanocobalamin,C63H89CoN14O14P,14.24,Posi,Sigma,HMDB0000607,,
CJ0183,cyclic amp,C10H12N5O6P,9.15,Both,Sigma,HMDB0000058,,"Nucleosides, nucleotides, and analogues  "
CJ0184,cyclic gmp,C10H12N5O7P,10.14,Both,Sigma,HMDB0001314,,"Nucleosides, nucleotides, and analogues  "
CJ0185,cyclopentanone,C5H8O,4.17,Posi,Sigma,HMDB0031407,,
CJ0186,cysteinylglycine,C5H10N2O3S,14.0425,Both,Sigma,HMDB0000078,,Amino acids related and peptides
CJ0187,l-cystathionine,C7H14N2O4S,15.42,Both,Sigma,HMDB0000099,,Amino acids related and peptides
CJ0188,cysteamine,C2H7NS,,not detected in both,Sigma,HMDB0002991,,
CJ0189,cysteic acid,C3H7NO5S,13.41,Both,Sigma,HMDB0002757,,Amino acids related and peptides
CJ0190,l-cysteine,C3H7NO2S,14.88,Nega,Sigma,HMDB0000574,,Amino acids
CJ0191,l-cystine,C6H12N2O4S2,14.91,Both,Sigma,HMDB0000192,,Amino acids related and peptides
CJ0192,cytidine,C9H13N3O5,9.7,Both,Sigma,HMDB0000089,,"Nucleosides, nucleotides, and analogues  "
CJ0193,"cytidine 2',3'-cyclic phosphate",C9H12N3O7P,12.06,Both,Sigma,HMDB0011691,,"Nucleosides, nucleotides, and analogues  "
CJ0194,cdp,C9H15N3O11P2,14.89,Both,Sigma,HMDB0001546,,"Nucleosides, nucleotides, and analogues  "
CJ0195,cytidine monophosphate,C9H14N3O8P,14.84,Both,Sigma,HMDB0000095,,"Nucleosides, nucleotides, and analogues  "
CJ0196,cytidine triphosphate,C9H16N3O14P3,15.03,Both,Sigma,HMDB0000082,,"Nucleosides, nucleotides, and analogues  "
CJ0197,cytochrome c isomer,C42H52FeN8O6S2,,not detected in both,Sigma,,METPA0054,"Nucleosides, nucleotides, and analogues  "
CJ0198,cytosine,C4H5N3O,8.47,Both,Sigma,HMDB0000630,,"Nucleosides, nucleotides, and analogues  "
CJ0199,d-alanine,C3H7NO2,13.6,Both,Sigma,HMDB0001310,,Amino acids related and peptides
CJ0200,capric acid,C10H20O2,2.31,Nega,Sigma,HMDB0000511,,FA
CJ0201,dehydroascorbic acid,C6H6O6,3.7,Nega,Sigma,HMDB0001264,,
CJ0202,deoxyadenosine,C10H13N5O3,5.68,Posi,Sigma,HMDB0000101,,"Nucleosides, nucleotides, and analogues  "
CJ0203,deoxyadenosine monophosphate,C10H14N5O6P,14.41,Both,Sigma,HMDB0000905,,"Nucleosides, nucleotides, and analogues  "
CJ0204,deoxyadenosine triphosphate,C10H16N5O12P3,14.89,Both,Sigma,HMDB0001532,,"Nucleosides, nucleotides, and analogues  "
CJ0205,4-trimethylammoniobutanoic acid,C7H15NO2,14.53,Both,Sigma,HMDB0001161,,FA
CJ0206,deoxycholic acid,C24H40O4,3.75,Both,Sigma,HMDB0000626,,Bile acids 
CJ0207,deoxycorticosterone acetate,C23H32O4,2.35,Posi,Sigma,,cas 56-47-3,
CJ0208,deoxycytidine,C9H13N3O4,8.72,Both,Sigma,HMDB0000014,,"Nucleosides, nucleotides, and analogues  "
CJ0209,dcmp,C9H14N3O7P,14.61,Both,Sigma,HMDB0001202,,"Nucleosides, nucleotides, and analogues  "
CJ0210,dcdp,C9H15N3O10P2,14.8,Both,Sigma,HMDB0001245,,"Nucleosides, nucleotides, and analogues  "
CJ0211,deoxyguanosine,C10H13N5O4,9.14,Both,Sigma,HMDB0000085,,"Nucleosides, nucleotides, and analogues  "
CJ0212,2'-deoxyguanosine 5'-monophosphate,C10H14N5O7P,14.52,Both,Sigma,HMDB0001044,,"Nucleosides, nucleotides, and analogues  "
CJ0213,deoxyribose,C5H10O4,6.09,Nega,Sigma,HMDB0003224,,Carbohydrates and carbohydrate conjugates  
CJ0214,deoxyuridine,C9H12N2O5,4.7,Both,Sigma,HMDB0000012,,"Nucleosides, nucleotides, and analogues  "
CJ0215,deoxyuridine triphosphate,C9H15N2O14P3,14.91,Both,Sigma,HMDB0001191,,"Nucleosides, nucleotides, and analogues  "
CJ0216,deoxyuridine-monophosphate,C9H13N2O8P,14.38,Both,Sigma,,YMDB00221,"Nucleosides, nucleotides, and analogues  "
CJ0217,desmosterol,C27H44O,2.33,Posi,Sigma,HMDB0002719,,
CJ0218,dethiobiotin,C10H18N2O3,8.66,Both,Sigma,HMDB0003581,,FA
CJ0219,dgdp,C10H15N5O10P2,14.89,Both,Sigma,HMDB0000960,,
CJ0220,"d-glucurono-6,3-lactone",C6H8O6,4.16,Nega,Sigma,HMDB0006355,,
CJ0221,dgtp,C10H16N5O13P3,14.96,Both,Sigma,HMDB0001440,,"Nucleosides, nucleotides, and analogues  "
CJ0222,diacetyl,C4H6O2,13.45,Nega,Sigma,HMDB0003407,,
CJ0223,diaminopimelic acid,C7H14N2O4,15.46,Both,Sigma,HMDB0001370,,Amino acids related and peptides
CJ0224,"1,2-didecanoyl-sn-glycero-3-phosphocholine",C28H56NO8P,,not detected in both,Sigma,HMDB0244070,,
CJ0225,diethanolamine,C4H11NO2,13.83,Posi,Sigma,HMDB0004437,,
CJ0226,diethyl oxalpropionate,C9H14O5,2.36,Posi,Sigma,HMDB0032306,,
CJ0227,dihydrobiopterin,C9H13N5O3,10.66,Both,Sigma,HMDB0000038,,
CJ0228,dihydrofolic acid,C19H21N7O6,4.04,Posi,Sigma,HMDB0001056,,Amino acids related and peptides
CJ0229,l-dihydroorotic acid,C5H6N2O4,10.01,Both,Sigma,HMDB0003349,,Amino acids related and peptides
CJ0230,dihydrouracil,C4H6N2O2,3.71,Both,Sigma,HMDB0000076,,"Nucleosides, nucleotides, and analogues  "
CJ0231,dihydroxyacetone phosphate,C3H7O6P,14.46,Both,Sigma,HMDB0001473,,Glycolysis
CJ0232,dihydroxyfumaric acid,C4H4O6,,not detected in both,Sigma,HMDB0002050,,
CJ0233,dg(16:0/16:0/0:0),C35H68O5,2.2,Posi,Sigma,HMDB0007098,,
CJ0234,pc(16:0/16:0),C40H80NO8P,2.13,Posi,Sigma,HMDB0000564,,Lipids
CJ0235,pe(16:0/16:0),C37H74NO8P,3.8,Both,Sigma,HMDB0008923,,Lipids
CJ0236,d-mannosamine,C6H13NO5,12.72,Both,Sigma,,CHEBI 62325,
CJ0237,docosahexaenoic acid,C22H32O2,2.04,Nega,Sigma,HMDB0002183,,FA
CJ0238,dopamine,C8H11NO2,11.84,Posi,Sigma,HMDB0000073,,
CJ0239,d-ornithine,C5H12N2O2,17.44,Both,Sigma,HMDB0003374,,Amino acids related and peptides
CJ0240,d-pinitol,C7H14O6,11.67,Both,Sigma,HMDB0034219,,
CJ0241,d-ribose 5-phosphate,C5H11O8P,14.63,Both,Sigma,HMDB0001548,,Carbohydrates and carbohydrate conjugates  
CJ0242,sedoheptulose,C7H14O7,12.02,Posi,Sigma,HMDB0003219,,Carbohydrates and carbohydrate conjugates  
CJ0243,dtdp-d-glucose,C16H26N2O16P2,14.25,Both,Sigma,HMDB0001328,,"Nucleosides, nucleotides, and analogues  "
CJ0244,eicosapentaenoic acid,C20H30O2,2.27,Both,Sigma,HMDB0001999,,FA
CJ0245,elaidic acid,C18H34O2,2.07,Nega,Sigma,HMDB0000573,,FA
CJ0246,epinephrine,C9H13NO3,,not detected in both,Sigma,HMDB0000068,,
CJ0247,erucic acid,C22H42O2,2.01,Nega,Sigma,HMDB0002068,,FA
CJ0248,erythritol,C4H10O4,8.78,Both,Sigma,HMDB0002994,,Carbohydrates and carbohydrate conjugates  
CJ0249,ethanolamine,C2H7NO,,not detected in both,Sigma,HMDB0000149,,
CJ0250,ethyl 3-indoleacetate,C12H13NO2,2.33,Both,Sigma,,cas 778-82-5,
CJ0251,ethyl 3-ureidopropionate,C6H12N2O3,3.79,Posi,Sigma,,,
CJ0252,ethylmalonic acid,C5H8O4,12,Nega,Sigma,HMDB0000622,,FA
CJ0253,fad,C27H33N9O15P2,13.95,Both,Sigma,HMDB0001248,,"Nucleosides, nucleotides, and analogues  "
CJ0254,ferulic acid,C10H10O4,2.89,Both,Sigma,HMDB0000954,,
CJ0255,folic acid,C19H19N7O6,,not detected in both,Sigma,HMDB0000121,,
CJ0256,formamide,CH3NO,,not detected in both,Sigma,HMDB0001536,,
CJ0257,fructose 6-phosphate,C6H13O9P,14.72,Both,Sigma,HMDB0000124,,Glycolysis
CJ0258,"fructose 1,6-bisphosphate",C6H14O12P2,14.67,Nega,Sigma,HMDB0001058,,Glycolysis
CJ0259,l-fucose,C6H12O5,9.22,Nega,"Sigma, STD",HMDB0000174,,Carbohydrates and carbohydrate conjugates  
CJ0260,fumaric acid,C4H4O4,12.72,Nega,Sigma,HMDB0000134,,
CJ0261,galactaric acid,C6H10O8,14.66,Both,Sigma,HMDB0000639,,Carbohydrates and carbohydrate conjugates  
CJ0262,galactitol,C6H14O6,12.61,Both,Sigma,HMDB0000107,,Carbohydrates and carbohydrate conjugates  
