Tissue_cell_type_name	Developmental_stage	Organ_system	Tissue	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID	input_list_raw_p	input_list_permutated_p	input_list_rank_p	input_list_combined_p	input_list_combined_log10p	delabel
TS_Uterus_epithelial cell	Adult	Reproductive system	TS_Uterus	epithelial cell	Epithelial cell	CL:0000066	Uterus	UBERON:0000995	0.00940802038467905	0.496479741589422	0.182656826568266	0.30836294118301	0.510937820656082	NA
TS_Small_Intestine_mast cell	Adult	Digestive system	TS_Small_Intestine	mast cell	Mast cell	CL:0000097	Small intestine	UBERON:0002108	0.0100166790079789	0.481699392702234	0.188929889298893	0.309135283033554	0.509851424078433	NA
VentoTormo_2018_decidua_plasmacytoid dendritic cell (DC2)	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	plasmacytoid dendritic cell (DC2)	Plasmacytoid dendritic cell	CL:0000784	Decidua	UBERON:0002450	0.0234717432395333	0.390670558747991	0.233579335793358	0.30972254818559	0.509027176315428	NA
AdultLung_Smooth muscle cell	Adult	Respiratory system	AdultLung	Smooth muscle cell	Smooth muscle cell	CL:0000192	Lung	UBERON:0002048	0.116498231814814	0.268269507935706	0.342066420664207	0.31095029948782	0.507309020565058	NA
TS_Thymus_monocyte	Adult	Lymphatic system	TS_Thymus	monocyte	Monocyte	CL:0000576	Thymus	UBERON:0002370	0.0100125777342918	0.491498064109339	0.187453874538745	0.311826690178658	0.506086714993146	NA
TS_Pancreas_nk cell	Adult	Digestive system	TS_Pancreas	nk cell	Natural killer cell	CL:0000623	Pancreas	UBERON:0001264	0.00944184315668017	0.51134243225314	0.183763837638376	0.316179474646216	0.50006632648862	NA
AdultSigmoidColon_Enterocyte	Adult	Digestive system	AdultSigmoidColon	Enterocyte	Enterocyte	CL:0000584	Sigmoid colon	UBERON:0001159	0.126863851374824	0.26806365349438	0.350553505535055	0.316189893325279	0.500052015944639	NA
Fetal_HCA_Spleen_Mesothelial cells	Fetal	Lymphatic system	Fetal_HCA_Spleen	Mesothelial cells	Mesothelial cell	CL:0000077	Spleen	UBERON:0002106	0.12213132529222	0.270533906790289	0.349077490774908	0.317292243403075	0.498540544629553	NA
AdultLung_Mesothelial cell	Adult	Respiratory system	AdultLung	Mesothelial cell	Mesothelial cell	CL:0000077	Lung	UBERON:0002048	0.116498231814814	0.276668369141796	0.342066420664207	0.317767912662697	0.497889958787176	NA
TS_Lymph_Node_type i nk t cell	Adult	Lymphatic system	TS_Lymph_Node	type i nk t cell	Natural killer cell	CL:0000623	Lymph node	UBERON:0000029	0.0100349448065264	0.485692968863953	0.195940959409594	0.319011741903593	0.496193331519344	NA
TS_Tongue_fibroblast	Adult	Digestive system	TS_Tongue	fibroblast	Fibroblast	CL:0000057	Tongue	UBERON:0001723	0.0100366024206159	0.477952841870105	0.2	0.320006741088238	0.494840872972007	NA
Madissoon_2020_spleen_NK_dividing	Adult	Lymphatic system	Madissoon_2020_spleen	NK_dividing	Natural killer cell	CL:0000623	Spleen	UBERON:0002106	0.103802374899712	0.289266660950931	0.333579335793358	0.322122006390692	0.491979604495504	NA
AdultAdrenalGland_Fasciculata cell	Adult	Endocrine system	AdultAdrenalGland	Fasciculata cell	Type II cell of adrenal cortex	CL:0002136	Adrenal gland	UBERON:0002369	0.108015981301116	0.286549382325431	0.33690036900369	0.322227714192387	0.491837109468609	NA
TS_Liver_nk cell	Adult	Digestive system	TS_Liver	nk cell	Natural killer cell	CL:0000623	Liver	UBERON:0002107	0.0100208392064652	0.50006160886849	0.193726937269373	0.323014528944502	0.490777942998566	NA
TS_Eye_microglial cell	Adult	Sensory system	TS_Eye	microglial cell	Microglial cell	CL:0000129	Eye	UBERON:0000970	0.0100355994807096	0.492774361645559	0.198154981549816	0.324809586786227	0.488371160998245	NA
AdultPancreas_Pancreas exocrine cell	Adult	Digestive system	AdultPancreas	Pancreas exocrine cell	Pancreas exocrine glandular cell	CL:1001599	Pancreas	UBERON:0001264	0.136861345691399	0.278932767996379	0.352767527675277	0.326557847599803	0.48603987512987	NA
Lake_2017_VisualCortex_Ex3a	Adult	Nervous system	Lake_2017_VisualCortex	Ex3a	Excitatory neuron	CL:0008030	Visual cortex	UBERON:0000411	0.0615128393552755	0.337189574891564	0.292250922509225	0.326895211228764	0.485591441463547	NA
TS_Lung_vascular associated smooth muscle cell	Adult	Respiratory system	TS_Lung	vascular associated smooth muscle cell	Smooth muscle cell	CL:0000192	Lung	UBERON:0002048	0.0212085925548371	0.460167018139561	0.216605166051661	0.329508610600575	0.482133232094387	NA
Fetal_HCA_Pancreas_Ductal cells	Fetal	Digestive system	Fetal_HCA_Pancreas	Ductal cells	Pancreatic ductal cell	CL:0002079	Pancreas	UBERON:0001264	0.12065137192078	0.290090078716234	0.34760147601476	0.332179388089049	0.478627319256415	NA
CordBloodCD34P_CB CD34+	Neonatal	Reproductive system	CordBloodCD34P	CB CD34+	Hematopoietic stem cell	CL:0000037	Umbilical cord blood	UBERON:0012168	0.122248003597977	0.288278559632568	0.349815498154982	0.332199045897573	0.478601619211579	NA
