V1
AdultLung_Endothelial cell (APC)	ARL5B;MEF2C;NFIB;NPR3;NUDT4;PIK3R3;SNCG;TSC22D1
AdultLung_Dendritic cell	ARL5B;ATF5;PPP1R15A
AdultLung_Mast cell	CSGALNACT2;MSRA;NUDT1;PPP1R15A;RNF103
AdultLung_Endothelial cell	CELA1;GTF2A1;LYRM7;NPR3;PAQR7;PIK3R3;SNCG
AdultLung_Stromal cell	F10;MAP1LC3A;METTL18;PPHLN1;SERPINA3
AdultLung_B cell	NUDT1;RNF103
AdultLung_Fetal mesenchymal progenitor	DFFA;FAT3;KIF26B;TMUB2
AdultLung_Epithelial cell	ACOT8;C19orf33;EPHA7;RHOQ;TMEM37;TTC9C
AdultLung_Mesothelial cell	ALDH3A2;ANP32E;C19orf33;CUTA;HEBP1;PAQR7;PDE12;PSPH;SETD6;SUCO
AdultMuscle_Smooth muscle cell	ARL2BP;COA3;CYB5R1;LARP7;MAP1LC3A;NFIB;NUCKS1;PPIC;SNCG;TSC22D1
AdultMuscle_Dendritic cell	ARL5B;CSTB;PPP1R15A;SERPINA1
AdultMuscle_Macrophage	CSTB;FAT3;TMEM37
AdultMuscle_T cell	CUTA;MSI2;PRDX6;PTGES2;SLC4A7;TTC13
AdultOmentum_Epithelial cell	C19orf33;CANX;COA3;CUTA;HSPA5;PKP2;PPP1R15A;PRDX6;RIC3;SNCG;TMEM37;TSC22D1
AdultOmentum_Macrophage	ARL5B;ATF5;CAB39;CSTB;GLRX;MEF2C;PPP1R15A;RHOQ;SERPINA1
AdultOmentum_Stromal cell	CSTB;F10;FOLH1;LBP;NFIB;PPIC;SCARB2;SERPINA3
AdultOmentum_Endothelial cell (APC)	CYB5R1;DDAH1;PIK3R3;RNGTT;SETD6;TTC13
AdultOmentum_Fibroblast	F10;GTF2A1;SERPINA3;SETD6;TP53INP2;TSPAN17
AdultOmentum_Monocyte	CSGALNACT2;CSTB;GLRX;MSRA;PPP1R15A;SERPINA1
AdultOmentum_Dendritic cell	ATF5;CSTB;GINS2;GLRX;MEF2C;MOB1B;PKP2
AdultOmentum_Neutrophil	BCL6;CSGALNACT2;GLRX;MPZL3;MSRA;SERPINA1;TP53INP2
