"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0008540","proteasome regulatory particle, base subcomplex",12,-0.638702597438664,-1.74228074595394,0.00792683739903289,0.0579596713047566,0.046206239507662,3272,"tags=75%, list=28%, signal=54%","66998/21762/19182/19181/70247/23996/19179/19184/67151"
"GO:0005614","interstitial matrix",13,0.636700432934496,1.69698852113233,0.00783152472489622,0.0579596713047566,0.046206239507662,1359,"tags=46%, list=12%, signal=41%","12818/74199/407800/12816/246228/21923"
"GO:1904115","axon cytoplasm",49,-0.40774177840213,-1.61894331153928,0.00790026726836454,0.0579596713047566,0.046206239507662,3658,"tags=57%, list=31%, signal=40%","103583/117197/15185/68196/17754/11777/11778/14533/19387/16573/56444/20615/73689/83431/75553/232946/94245/18472/16561/216344/16574/67166/16564/67269/18457/55946/17828/319613"
"GO:0098890","extrinsic component of postsynaptic membrane",18,0.586708169308115,1.72421862011781,0.0081347568021003,0.0588471768662575,0.0469137710311496,300,"tags=22%, list=3%, signal=22%","12259/12262/23964/12260"
"GO:0000153","cytoplasmic ubiquitin ligase complex",13,-0.619927137168516,-1.73746905400838,0.0089530979095968,0.064085332405535,0.0510896999827407,4500,"tags=100%, list=38%, signal=62%","56228/415115/71745/15185/56438/216440/269523/18786/20338/67841/74126/64209"
"GO:0005583","fibrillar collagen trimer",10,0.694321438836738,1.72732061315072,0.00964915699752376,0.0669533342685322,0.0533761101366782,3014,"tags=80%, list=26%, signal=60%","12843/12814/373864/12815/12832/12825/17022/12842"
"GO:0098643","fibrillar collagen",10,0.694321438836738,1.72732061315072,0.00964915699752376,0.0669533342685322,0.0533761101366782,3014,"tags=80%, list=26%, signal=60%","12843/12814/373864/12815/12832/12825/17022/12842"
"GO:0098553","lumenal side of endoplasmic reticulum membrane",16,0.595627436981202,1.69542719152187,0.00952262226372903,0.0669533342685322,0.0533761101366782,1762,"tags=62%, list=15%, signal=53%","15018/14991/15015/110557/15040/18764/14964/15042/14972/15039"
"GO:0005758","mitochondrial intermembrane space",74,-0.353502232915994,-1.52640606916689,0.0102944177200557,0.070709131814524,0.05637028310291,3225,"tags=45%, list=27%, signal=33%","30055/269514/68015/14533/53600/103172/72170/13063/78506/67892/216001/66593/11647/75805/68375/75778/17966/74450/12460/68514/69076/66629/67013/74143/211389/14004/67267/66916/68943/30059/23897/66170/107566"
"GO:0005884","actin filament",107,0.329538171923944,1.48524749519654,0.010509421300148,0.0714640648410067,0.0569721259955394,2877,"tags=40%, list=24%, signal=31%","14457/11464/17916/11567/23921/11629/18479/74392/22376/65970/11459/17886/70292/16331/56320/15163/21687/30794/109711/19354/213019/215280/18826/12721/93689/14360/75547/22004/12488/22240/72042/74376/11465/17925/17918/192176/432572/13144/83964/171580/59069/23789/72333"
"GO:0031253","cell projection membrane",254,0.266462173211635,1.36548934614277,0.0111396536512744,0.0749996483452137,0.0597907413278406,1701,"tags=20%, list=14%, signal=18%","11421/241226/16490/14595/319565/232566/329795/216190/121021/69538/13482/11629/50934/232237/16534/30957/18479/234839/14396/67378/104111/12496/22064/74761/65970/20778/13627/18803/70839/234779/240888/16416/70008/22288/13479/52028/18764/54393/56193/14191/11540/12351/68294/27405/11539/20509/18826/58234/13649/19271/108995/13405"
"GO:0030315","T-tubule",59,-0.385822310762718,-1.6137200221464,0.011250039863022,0.0750002657534801,0.0597912335341212,2869,"tags=39%, list=24%, signal=30%","12293/12372/19056/19684/11931/20167/13383/22782/11928/21809/19087/52331/20541/12299/56188/54378/20271/238161/20266/16514/18125/20528/108058"
"GO:0045211","postsynaptic membrane",206,0.277195776455106,1.38018369595634,0.0114065762755785,0.0753055521106151,0.0600346119767288,1819,"tags=22%, list=15%, signal=19%","241226/16490/16485/192897/18128/12259/225875/12262/93887/19206/103967/23964/12260/16971/81840/14396/18213/12288/65945/16416/170707/20353/56320/22288/504186/30794/271849/54393/14745/15529/58226/11540/53623/268890/18129/11539/58234/12802/235611/18436/54725/13405/16526/239217/11448/18187"
"GO:0070069","cytochrome complex",31,-0.473702343385718,-1.71508661852876,0.0119378783446328,0.0780553584072146,0.0622267950150395,3459,"tags=68%, list=29%, signal=48%","22273/12858/12864/66694/407790/66142/12869/110323/66576/67530/17992/12862/66594/12867/66152/12865/22272/226139/12859/17711/70383"
"GO:0001674","female germ cell nucleus",12,0.614843383469741,1.61599232800322,0.0120647916268931,0.078133888631308,0.0622894003794483,1352,"tags=42%, list=11%, signal=37%","15312/20525/15331/12812/13433"
"GO:0001527","microfibril",12,0.612417636148753,1.6096167384372,0.0125035060453872,0.080211170857201,0.0639454380672732,2322,"tags=58%, list=20%, signal=47%","224697/108075/14118/58859/76293/67532/268977"
"GO:0000421","autophagosome membrane",47,-0.40313283510259,-1.58776797318986,0.0127676411892149,0.080388851932094,0.0640870878406012,2953,"tags=38%, list=25%, signal=29%","56486/19349/67526/78610/76959/59021/70495/68953/12421/75909/22241/20014/21767/66371/16145/68942/52639/66734"
"GO:0044391","ribosomal subunit",173,-0.279453647550136,-1.38418414610286,0.0127021301716737,0.080388851932094,0.0640870878406012,3475,"tags=33%, list=29%, signal=24%","27395/56280/57808/66047/207214/94061/68499/94065/13205/56284/353242/66121/64659/66493/218506/67941/66229/22186/67212/66407/69956/66292/74600/68836/28028/79044/100502825/18100/66448/60441/64658/14548/65111/68735/75398/57312/67994/67681/64655/64656/68537/52443/50529/66163/67036/66230/66973/94064/56282/66223/94066/66419/24030/69163/121022/68611/106338"
